Frame ID	Name	Used
BCCP-BIOTIN-CO2	biotin carboxyl carrier protein (dimer)	n
CPLX0-2	reduced flavorubredoxin	n
CPLX0-2821	TorR transcriptional dual regulator	n
CPLX0-7657	BglG transcriptional antiterminator	n
CPLX0-7978	RcsB-phosphorylated DNA-binding transcriptional activator	n
CPLX0-8002	protein disulfide isomerase/protein disulfide oxidoreductase - DsbCreduced	n
CPLX0-8004	DsbGreduced	n
ENTB-CPLX	apo-EntB multimer	n
ISOCITHASE-P	isocitrate dehydrogenase	n
MONOMER0-2863	ribonucleoside-triphosphate reductase	n
PHOSPHO-ATOS	AtoS sensory histidine kinase	n
PHOSPHO-CREC	CreC sensory histidine kinase	n
PHOSPHO-ENVZ	EnvZ sensory histidine kinase	n
PHOSPHO-KDPD	KdpD sensory histidine kinase	n
PHOSPHO-PHOR	PhoR sensory histidine kinase	n
PHOSPHO-TORR	TorR transcriptional dual regulator	n
PROTEIN-NRIIP	NtrB sensory histidine kinase	n
PTSI-PHOSPHORYLATED	phosphoenolpyruvate-protein phosphotransferase PtsI, PTS enzyme I	n
PYRUVFORMLY-CPLX	pyruvate formate-lyase (inactive)	y
