"Frame ID"	"Name"	"Used"
"CHARGED-FMETV-TRNA"	"tRNAmetV"	
"CHARGED-FMETW-TRNA"	"tRNAmetW"	
"CHARGED-FMETY-TRNA"	"tRNAmetY"	
"CHARGED-FMETZ-TRNA"	"tRNAmetZ"	
"RNA0-309"	"tRNAileY"	
"RNA0-310"	"tRNAasnW"	
"RNA0-311"	"tRNAvalZ"	
"RNA0-312"	"tRNAlysY"	
"RNA0-313"	"tRNAlysZ"	
"RNA0-314"	"tRNAlysQ"	
"RNA0-319"	"tRNAmetW"	
"RNA0-321"	"tRNAmetV"	
"RNA0-322"	"tRNAmetY"	
"RNA0-323"	"tRNAmetZ"	
"charged-alaT-tRNA"	"tRNAalaT"	
"charged-alaU-tRNA"	"tRNAalaU"	
"charged-alaV-tRNA"	"tRNAalaV"	
"charged-alaW-tRNA"	"tRNAalaW"	
"charged-alaX-tRNA"	"tRNAalaX"	
"charged-argQ-tRNA"	"tRNAargQ"	
"charged-argU-tRNA"	"tRNAargU"	
"charged-argV-tRNA"	"tRNAargV"	
"charged-argW-tRNA"	"tRNAargW"	
"charged-argX-tRNA"	"tRNAargX"	
"charged-argY-tRNA"	"tRNAargY"	
"charged-argZ-tRNA"	"tRNAargZ"	
"charged-asnT-tRNA"	"tRNAasnT"	
"charged-asnU-tRNA"	"tRNAasnU"	
"charged-asnV-tRNA"	"tRNAasnV"	
"charged-aspT-tRNA"	"tRNAaspT"	
"charged-aspU-tRNA"	"tRNAaspU"	
"charged-aspV-tRNA"	"tRNAaspV"	
"charged-cysT-tRNA"	"tRNAcysT"	
"charged-glnU-tRNA"	"tRNAglnU"	
"charged-glnV-tRNA"	"tRNAglnV"	
"charged-glnW-tRNA"	"tRNAglnW"	
"charged-glnX-tRNA"	"tRNAglnX"	
"charged-gltT-tRNA"	"tRNAgltT"	
"charged-gltU-tRNA"	"tRNAgltU"	
"charged-gltV-tRNA"	"tRNAgltV"	
"charged-gltW-tRNA"	"tRNAgltW"	
"charged-glyT-tRNA"	"tRNAglyT"	
"charged-glyU-tRNA"	"tRNAglyU"	
"charged-glyV-tRNA"	"tRNAglyV"	
"charged-glyW-tRNA"	"tRNAglyW"	
"charged-glyX-tRNA"	"tRNAglyX"	
"charged-glyY-tRNA"	"tRNAglyY"	
"charged-hisR-tRNA"	"tRNAhisR"	
"charged-ileT-tRNA"	"tRNAileT"	
"charged-ileU-tRNA"	"tRNAileU"	
"charged-ileV-tRNA"	"tRNAileV"	
"charged-ileX-tRNA"	"tRNAileX"	
"charged-leuP-tRNA"	"tRNAleuP"	
"charged-leuQ-tRNA"	"tRNAleuQ"	
"charged-leuT-tRNA"	"tRNAleuT"	
"charged-leuU-tRNA"	"tRNAleuU"	
"charged-leuV-tRNA"	"tRNAleuV"	
"charged-leuW-tRNA"	"tRNAleuW"	
"charged-leuX-tRNA"	"tRNAleuX"	
"charged-leuZ-tRNA"	"tRNAleuZ"	
"charged-lysT-tRNA"	"tRNAlysT"	
"charged-lysV-tRNA"	"tRNAlysV"	
"charged-lysW-tRNA"	"tRNAlysW"	
"charged-metT-tRNA"	"tRNAmetT"	
"charged-metU-tRNA"	"tRNAmetU"	
"charged-pheU-tRNA"	"tRNApheU"	
"charged-pheV-tRNA"	"tRNApheV"	
"charged-proK-tRNA"	"tRNAproK"	
"charged-proL-tRNA"	"tRNAproL"	
"charged-proM-tRNA"	"tRNAproM"	
"charged-selC-tRNA"	"tRNAsec"	
"charged-serT-tRNA"	"tRNAserT"	
"charged-serU-tRNA"	"tRNAserU"	
"charged-serV-tRNA"	"tRNAserV"	
"charged-serW-tRNA"	"tRNAserW"	
"charged-serX-tRNA"	"tRNAserX"	
"charged-thrT-tRNA"	"tRNAthrT"	
"charged-thrU-tRNA"	"tRNAthrU"	
"charged-thrV-tRNA"	"tRNAthrV"	
"charged-thrW-tRNA"	"tRNAthrW"	
"charged-trpT-tRNA"	"tRNAtrpT"	
"charged-tyrT-tRNA"	"tRNAtyrT"	
"charged-tyrU-tRNA"	"tRNAtyrU"	
"charged-tyrV-tRNA"	"tRNAtyrV"	
"charged-valT-tRNA"	"tRNAvalT"	
"charged-valU-tRNA"	"tRNAvalU"	
"charged-valV-tRNA"	"tRNAvalV"	
"charged-valW-tRNA"	"tRNAvalW"	
"charged-valX-tRNA"	"tRNAvalX"	
"charged-valY-tRNA"	"tRNAvalY"	
"modified-charged-selC-tRNA"	"tRNAsec"	
