Enzyme Frame ID	EC	Reaction ID	Reaction stoichiometry	Direction	Forward	Units	Reverse	Units	Comments	Km
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT120	[c] : 1ddecg3p + ddcaACP --> ACP + pa120	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT140	[c] : 1tdecg3p + myrsACP --> ACP + pa140	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT141	[c] : 1tdec7eg3p + tdeACP --> ACP + pa141	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT160	[c] : 1hdecg3p + palmACP --> ACP + pa160	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT161	[c] : 1hdec9eg3p + hdeACP --> ACP + pa161	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT180	[c] : 1odecg3p + ocdcaACP --> ACP + pa180	forward only			0			null
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	AGPAT181	[c] : 1odec11eg3p + octeACP --> ACP + pa181	forward only			0			null
"[""1-PFK-MONOMER""]"	2.7.1.56	FRUK	[c] : atp + f1p --> adp + fdp + h	forward only			0			"[{""brendaLiteratureId"": ""641683"", ""substrate"": ""ATP"", ""kmValue"": ""0.12"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 37&deg;C"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""641686"", ""substrate"": ""D-Fructose 1-phosphate"", ""kmValue"": ""0.13"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 50 mM KCl"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""641683"", ""substrate"": ""D-Fructose 1-phosphate"", ""kmValue"": ""0.25"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 37&deg;C"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""641686"", ""substrate"": ""ATP"", ""kmValue"": ""0.35"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 5 mM KCl"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""641686"", ""substrate"": ""fructose 1-phosphate"", ""kmValue"": ""0.36"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the absence of KCl"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""641686"", ""substrate"": ""ATP"", ""kmValue"": ""0.6"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 50 mM KCl"", ""organism"": ""Escherichia coli""}]"
"[""2-DEHYDROPANTOATE-REDUCT-MONOMER""]"	1.1.1.169	DPR	[c] : 2dhp + h + nadph --> nadp + pant-R	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""654677"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""steady-state kinetics, pH-dependence of kinetics with different substrates, overview"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""667687"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""kinetics and thermodynamics, wild-type enzyme, overview"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""669806"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""kinetics and thermodynamics, overview"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""687675"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""kinetics of recombinant wild-type and mutant enzymes, overview"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.002"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0003, mutant E256A"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0029"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0006, mutant E256D"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0038"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0003, mutant K176C, alkylated"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""beta-NADPH"", ""kmValue"": ""0.004"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286108"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0004"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0004"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286110"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0066"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0016, mutant K176C"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286108"", ""substrate"": ""NADP+"", ""kmValue"": ""0.007"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.002"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""687675"", ""substrate"": ""NADPH"", ""kmValue"": ""0.007"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 27&deg;C, wild-type enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.016"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.003, mutant K176A"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""thio-NADPH"", ""kmValue"": ""0.018"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286110"", ""substrate"": ""NADPH"", ""kmValue"": ""0.02"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""687675"", ""substrate"": ""2-dehydropantoate"", ""kmValue"": ""0.03"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 27&deg;C, wild-type enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""alpha-NADPH"", ""kmValue"": ""0.036"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.038"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.009, mutant K176C, alkylated"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286110"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.06"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.07"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.01, mutant K176C"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""3'-NADPH"", ""kmValue"": ""0.075"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""2-oxopantoate"", ""kmValue"": ""0.12"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286108"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.008"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.008"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286110"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286108"", ""substrate"": ""Pantoate"", ""kmValue"": ""0.26"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.04"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.95"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.29, mutant E256D"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""3-methyl-2-oxo-n-valerate"", ""kmValue"": ""3.8"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""7.5"", ""kmValueMaximum"": """", ""commentary"": ""+/-2.9, mutant K256A"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""654677"", ""substrate"": ""2-oxoisovalerate"", ""kmValue"": ""8.7"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""40"", ""kmValueMaximum"": """", ""commentary"": ""+/-6, mutant K176A"", ""organism"": ""Escherichia coli""}]"
"[""2-ISOPROPYLMALATESYN-MONOMER""]"	4.1.3.12	IPPS	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	forward only			0			null
