"2-ACETO-LACTATE"	"alac-S"
"3-HYDROXYPHENYL-PROPIONATE"	"3hpppn"
"3-PHENYLPROPIONATE"	"pppn"
"ACETYLSERINE"	"acser"
"ACYL-COA"	"accoa"
"ALLANTOIN"	"altn"
"ALLOLACTOSE"	"+"
"ANTIMONITE"	"+"
"APS"	"aps"
"ARABINOSE"	"arab-L"
"ARG"	"arg-L"
"ASN"	"asn-L"
"ATP"	"atp"
"BIO-5-AMP"	"+"
"CAMP"	"camp"
"CARNITINE"	"crn"
"CHOLINE"	"chol"
"CO+2"	"cobalt2"
"CPD-10551"	"+"
"CPD-110"	"+"
"CPD-12800"	"+"
"CPD-207"	"phaccoa"
"CPD-3"	"mobd"
"CPD-6"	"+"
"CPD-622"	"2mcit"
"CPD-69"	"cyan"
"CPD-763"	"aso3"
"CPD-7970"	"+"
"CPD-8179"	"+"
"CPD0-1938"	"+"
"CPD0-2342"	"+"
"CPD0-881"	"acmum6p"
"CU+"	"cu2"
"CYTIDINE"	"cytd"
"D-SERINE"	"ser-D"
"DIACETYLCHITOBIOSE-6-PHOSPHATE"	"+"
"DIHYDROXYPENTANEDIONE"	"dhptd"
"FE+2"	"fe2"
"FORMATE"	"for"
"FRU1P"	"f1p"
"FRUCTOSE-16-DIPHOSPHATE"	"frp"
"FRUCTURONATE"	"fruur"
"FUCULOSE-1P"	"fc1p"
"GALACTOSE"	"gal"
"GLUCONATE"	"glcn"
"GLY"	"gly"
"GLYCEROL"	"glyc"
"GLYCEROL-3P"	"glyc3p"
"GLYCOLLATE"	"glyclt"
"GLYOX"	"glx"
"GUANOSINE-5DP-3DP"	"ppgpp"
"HOMO-CYS"	"hcys-L"
"HYPOXANTHINE"	"hxan"
"L-ALPHA-ALANINE"	"ala-L"
"L-ASCORBATE-6-PHOSPHATE"	"ascb6p"
"L-LACTATE"	"lac-L"
"LEU"	"leu-L"
"LYS"	"lys-L"
"MALTOTRIOSE"	"malttr"
"MANNITOL"	"mnl"
"MELIBIOSE"	"melib"
"MN+2"	"mg2"
"N-ACETYL-D-GLUCOSAMINE-6-P"	"6pgc"
"N-ACETYLNEURAMINATE"	"acnam"
"N-ETHYLMALEIMIDE"	"+"
"NA+"	"na1"
"NI+2"	"ni2"
"NITRIC-OXIDE"	"no"
"PHE"	"phe-L"
"PHOSPHO-ENOL-PYRUVATE"	"pep"
"PYRUVATE"	"pyr"
"RHAMNOSE"	"rmn"
"RIBOSE"	"rib-D"
"S-ADENOSYLMETHIONINE"	"amet"
"S-ALLANTOIN"	"alltn"
"SORBITOL"	"sbt-D"
"TARTRATE"	"tartr-L"
"THYMINE"	"thym"
"TREHALOSE-6P"	"tre6p"
"TRP"	"trp-L"
"TYR"	"tyr-L"
"URACIL"	"ura"
"XANTHOSINE"	"xtsn"
"XYLOSE"	"xyl-D"
"ZN+2"	"zn2"
