Frame ID	Name	Neutral formula	What is this?	Cofactor frame ID	Import/export frame ID
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C15H27N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H41N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H45N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	C27H49N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H53N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hoctACP	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H39N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
3ocmrs7eACP	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H43N2O9PRS	ACP	"[""EG50003-MONOMER""]"	null
