frameId	Name	Location	Composition	Composition	Modified form	Formation process	Comments
1-PFK	1-phosphofructokinase	"[""CCO-CYTOSOL""]"	[c]: (2) 1-PFK-MONOMER ==> 1-PFK	"{""reactant"": {""1-PFK-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""1-PFK"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
2OXOGLUTARATEDEH-CPLX	2-oxoglutarate dehydrogenase complex	"[""CCO-CYTOSOL""]"	[c]: E2O + E3-CPLX + E1O ==> 2OXOGLUTARATEDEH-CPLX	"{""reactant"": {""E2O"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""E3-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""E1O"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}, ""product"": {""2OXOGLUTARATEDEH-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
3-ISOPROPYLMALDEHYDROG-CPLX	3-isopropylmalate dehydrogenase	"[""CCO-CYTOSOL""]"	[c]: (2) 3-ISOPROPYLMALDEHYDROG-MONOMER ==> 3-ISOPROPYLMALDEHYDROG-CPLX	"{""reactant"": {""3-ISOPROPYLMALDEHYDROG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""3-ISOPROPYLMALDEHYDROG-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
3-ISOPROPYLMALISOM-CPLX	isopropylmalate isomerase	"[""CCO-CYTOSOL""]"	[c]: LEUC-MONOMER + LEUD-MONOMER ==> 3-ISOPROPYLMALISOM-CPLX	"{""reactant"": {""LEUC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LEUD-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}, ""product"": {""3-ISOPROPYLMALISOM-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	3-methyl-2-oxobutanoate hydroxymethyltransferase	"[""CCO-CYTOSOL""]"	[c]: (10) 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER ==> 3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	"{""reactant"": {""3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 10}}, ""product"": {""3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
3-OXOACYL-ACP-SYNTHII-CPLX	KASII	"[""CCO-CYTOSOL""]"	[c]: (2) 3-OXOACYL-ACP-SYNTHII-MONOMER ==> 3-OXOACYL-ACP-SYNTHII-CPLX	"{""reactant"": {""3-OXOACYL-ACP-SYNTHII-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""3-OXOACYL-ACP-SYNTHII-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
6PFK-1-CPX	6-phosphofructokinase I	"[""CCO-CYTOSOL""]"	[c]: (4) 6PFK-1-MONOMER ==> 6PFK-1-CPX	"{""reactant"": {""6PFK-1-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 4}}, ""product"": {""6PFK-1-CPX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
6PFK-2-CPX	6-phosphofructokinase II	"[""CCO-CYTOSOL""]"	[c]: (2) 6PFK-2-MONOMER ==> 6PFK-2-CPX	"{""reactant"": {""6PFK-2-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""6PFK-2-CPX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
6PGLUCONDEHYDROG-CPLX	6-phosphogluconate dehydrogenase (decarboxylating)	"[""CCO-CYTOSOL""]"	[c]: (2) 6PGLUCONDEHYDROG-MONOMER ==> 6PGLUCONDEHYDROG-CPLX	"{""reactant"": {""6PGLUCONDEHYDROG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""6PGLUCONDEHYDROG-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	7-&alpha;-hydroxysteroid dehydrogenase	"[""CCO-CYTOSOL""]"	[c]: (4) 7-ALPHA-HYDROXYSTEROID-DEH-MONOMER ==> 7-ALPHA-HYDROXYSTEROID-DEH-CPLX	"{""reactant"": {""7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 4}}, ""product"": {""7-ALPHA-HYDROXYSTEROID-DEH-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
7KAPSYN-CPLX	8-amino-7-oxononanoate synthase	"[""CCO-CYTOSOL""]"	[c]: (2) 7KAPSYN-MONOMER ==> 7KAPSYN-CPLX	"{""reactant"": {""7KAPSYN-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""7KAPSYN-CPLX"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-10-CPLX	ferric enterobactin ABC transporter	"[""CCO-PM-BAC-NEG""]"	FEPG-MONOMER[i] + FEPD-MONOMER[i] + (2) FEPC-MONOMER[c] + FEPB-MONOMER[p] ==> ABC-10-CPLX[i]	"{""reactant"": {""FEPG-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""FEPD-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""FEPC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""FEPB-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-10-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-11-CPLX	iron (III) hydroxamate ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) FHUC-MONOMER[c] + (2) FHUB-MONOMER[i] + FHUD-MONOMER[p] ==> ABC-11-CPLX[i]	"{""reactant"": {""FHUC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""FHUB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""FHUD-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-11-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-12-CPLX	glutamine ABC transporter	"[""CCO-PM-BAC-NEG""]"	GLNH-MONOMER[p] + (2) GLNQ-MONOMER[i] + (2) GLNP-MONOMER[i] ==> ABC-12-CPLX[i]	"{""reactant"": {""GLNH-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""GLNQ-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""GLNP-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-12-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
