(2R,3S,6S)-3-fluoro-2,6-diaminopimelate	((2R,3S,6S)-3-fluoro-2,6-diaminopimelate)	CPD0-1533	C7H13N2O4F1	(C(CC([N+])C(=O)[O-])C(F)C([N+])C(=O)[O-])
galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	(galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate)	CPD0-2219	C83H135N1O27P2	(CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP(=O)([O-])OC1(C(NC(C)=O)C(C(O)C(CO)O1)OC4(OC(C)C(O)C(OC3(OC(COC2(OC(C(O)CO)C(O)C(O)2))C(O)C(O)C(O)3))C(OC(=O)C)4)))
1,4-dihydroxy-2-naphthoyl-CoA	(1,4-dihydroxy-2-naphthoyl-CoA 1,4-dihydroxy-2-naphthoate-CoA DHNA-CoA)	CPD-9925	C32H38N7O19P3S1	(CC(COP([O-])(=O)OP([O-])(=O)OCC3(C(C(C(N2(C=NC1(C(=NC=NC=12)N)))O3)O)OP([O-])(=O)[O-]))(C)C(C(NCCC(NCCSC(C5(C=C(O)C4(C=CC=CC=4C(O)=5)))=O)=O)=O)O)
4-deoxypyridoxine	(4-deoxypyridoxine 4-deoxypyridoxol)	CPD0-1605	C8H11N1O2	(CC1(C(CO)=CN=C(C)C(O)=1))
1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol	(1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol a 1-alkyl-2-acetyl-<i>sn</i>-glycerol)	1-O-ALKYL-2-ACETYL-SN-GLYCEROL		(CC(=O)OC(CO)CO[R])
a hydroxy butyrate	(a hydroxy butyrate)	CPD0-2097		
3,4-dihydroxyphenylacetyl-CoA	(3,4-dihydroxyphenylacetyl-CoA)	34-DIHYDROXYPHENYLACETYL-COA	C29H38N7O19P3S1	(CC(C)(C(O)C(=O)NCCC(NCCSC(CC1(C=C(O)C(O)=CC=1))=O)=O)COP(=O)(OP(=O)(OCC2(OC(C(C2OP([O-])(=O)[O-])O)N4(C=NC3(C(N)=NC=NC=34))))[O-])[O-])
ribavirin-5'-monophosphate	(ribavirin-5'-monophosphate)	CPD0-1492	C8H11N4O8P1	(C(OP([O-])(=O)[O-])C1(C(O)C(O)C(O1)N2(N=C(C(=O)N)N=C2)))
quinonoid dihydro-(6H)-monapterin	(quinonoid dihydro-(6H)-monapterin)	CPD0-2052		
S-carbamylcysteine	(S-carbamylcysteine L-cysteine, S-carbamate (ester))	CPD0-1386	C4H8N2O3S1	(C(=O)([O-])C([N+])CC(=O)NS)
<i>N</i>-ethylmaleimide	(<i>N</i>-ethylmaleimide ethylmaleimide maleic acid N-ethylimide maleimide, N-ethyl- <i>N</i>-EM 1H-pyrrole-2,5-dione, 1-ethyl-)	N-ETHYLMALEIMIDE	C6H7N1O2	(CCN1(C(=O)C=CC(=O)1))
nitrofurazone	(nitrofurazone nitrofural)	CPD0-2497		
4-aza-DL-leucine	(4-aza-DL-leucine)	CPD0-1941	C5H12N2O2	(C[N+](C)CC(N)C([O-])=O)
chloroacetaldehyde	(chloroacetaldehyde 2-chloroacetaldehyde 2-chloroethanal chloroaldehyde chloroethanal monochloroacetaldehyde)	CHLOROACETALDEHYDE	C2H3O1Cl1	(C(C=O)Cl)
3-O-methyl-d-glucose	(3-O-methyl-d-glucose Methylglucose 3-methyl-glucose)	CPD0-1937	C7H14O6	(COC(C(O)C(O)C[OH])C(O)[CH]=O)
L-alaninol	(L-alaninol L-2-aminopropan-1-ol S-(+)-2-amino-1-propanol)	CPD-9374	C3H10N1O1	(CC([N+])CO)
two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)	(two linked disacharide tripeptide murein units (uncrosslinked, middle of chain))	CPD0-2272	C68H104N12O38	(CC(C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC(C(=O)[O-])[N+])C(=O)[O-])NC(=O)C(C)OC4(C(NC(=O)C)=COC(CO)C(OC3(OC(C(OC2(OC(CO)C(OC1(OC(C(O)C(O)C(NC(=O)C)1)CO))C(OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC([N+])C(=O)[O-])C(=O)[O-])C(NC(=O)C)2))C(O)C(NC(=O)C)3)CO))4))
UDP-6-deoxy-&alpha;-D-galactose	(UDP-6-deoxy-&alpha;-D-galactose)	CPD0-1898	C15H22N2O16P2	(CC1(C(O)C(O)C(O)C(O1)OP(=O)([O-])OP(=O)([O-])OCC2(C(O)C(O)C(O2)N3(C=CC(=O)NC(=O)3))))
2-deoxyglucose-6-phosphate	(2-deoxyglucose-6-phosphate)	2-DEOXYGLUCOSE-6-PHOSPHATE	C6H14O8P1	(C(CC(C(C(COP(O)(O)O)O)O)O)=O)
isoleucine tetrazole	(isoleucine tetrazole L-5(1-Amino-2-methylbutyl)tetrazole)	CPD0-1234	C6H13N5	(CCC(C)C(C1(N=N[N-]N=1))[N+])
2-dehydropantolactone	(2-dehydropantolactone 2-oxopantoyl lactone 2-dehydropantoyl lactone)	2-DEHYDROPANTOYL-LACTONE	C6H8O3	(CC1(COC(C1=O)=O)C)
3-undecyl-2-hydroxyl-1,4-naphthoquinone	(3-undecyl-2-hydroxyl-1,4-naphthoquinone UHNQ)	CPD0-1689	C22H30O2	(CCCCCCCCCCCC1(=C(C)C(C2(C(C(=O)1)=CC=CC=2))=O))
(KDO)<SUB>2</SUB>-(lauroyl)-lipid IV<SUB>A</SUB>	((KDO)<SUB>2</SUB>-(lauroyl)-lipid IV<SUB>A</SUB> lauroyl-(KDO)<SUB>2</SUB>-lipid IV (A))	KDO2-LAUROYL-LIPID-IVA	C96H170N2O38P2	(CCCCCCCCCCCC(CC(NC1(C(C(C(OC1OP([O-])(=O)[O-])COC4(OC(COC2(CC(C(C(O2)C(CO)O)O)OC3(CC(C(C(O3)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])C(OP(=O)([O-])[O-])C(OC(=O)CC(O)CCCCCCCCCCC)C(NC(=O)CC(OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)4))O)OC(CC(CCCCCCCCCCC)O)=O))=O)O)
ribose triphosphate	(ribose triphosphate)	RIBOSE-TRIPHOSPHATE	C5H9O14P3	(C(OP(OP(=O)([O-])OP(=O)([O-])[O-])(=O)[O-])C1(C(O)C(O)C(O)O1))
carbonic acid	(carbonic acid H<SUB>2</SUB>CO<SUB>3</SUB>)	H2CO3	C1H2O3	(C(O)(=O)O)
dimethylsuberimidate	(dimethylsuberimidate)	DIMETHYLSUBERIMIDATE	C10H20N2O2	(COC(=N)CCCCCCC(=N)OC)
adenosine-N1-oxide	(adenosine-N1-oxide)	CPD0-2086	C10H13N5O5	(C(C3(C(C(C(N2(C=N(C1(C(N)=NC=NC=12))=O))O3)O)O))O)
7,8-pteroylglutamate	(7,8-pteroylglutamate 7,8-pteroylglutamic acid)	CPD0-1597		
L-canavanine	(L-canavanine canavanine 2-amino-4-(guanidinooxy)butyrate 2-amino-4-(guanidinooxy)butyric acid)	CANAVANINE	C5H13N4O3	(C(CC([N+])C(=O)[O-])ONC(=[N+])N)
2-oxopent-4-enoate	(2-oxopent-4-enoate 2-oxo-4-pentenoate 2-oxopentenoate 2-keto-4-pentenoate oxopent-4-enoate 2-keto-4-pentenoic acid 2-ketopent-4-enoic acid)	OXOPENTENOATE	C5H5O3	(C=CCC(=O)C(=O)[O-])
<i>O</i>-acetyl-L-serine	(<i>O</i>-acetyl-L-serine O<sup>3</sup>-acetyl-L-serine acetylserine <i>O</i>-acetylserine)	ACETYLSERINE	C5H9N1O4	(CC(OCC([N+])C(=O)[O-])=O)
2-keto-3-deoxy-L-rhamnonate	(2-keto-3-deoxy-L-rhamnonate 2-dehydro-3-deoxy-L-rhamnonate KDR 2-dehydro-3,6-dideoxy-L-mannonate 2-dehydro-3-deoxy-L-rhamnonic acid L-2-keto-3-deoxyrhamnonate L-KDR)	DEHYDRO-3-DEOXY-L-RHAMNONATE	C6H9O5	(CC(O)C(O)CC(=O)C([O-])=O)
2-amino-2-deoxyglucitol-6-phosphate	(2-amino-2-deoxyglucitol-6-phosphate 2-amino-2-deoxy-D-glucitol 6-phosphate 2-amino-2-deoxy-glucitol 6-phosphate 2-deoxy-2-amino-D-glucitol 6-phosphate)	CPD-9051	C6H15N1O8P1	(C(O)C(C(C(C(COP(=O)([O-])[O-])O)O)O)[N+])
fluoropyruvate	(fluoropyruvate)	CPD0-1353	C3H2O3F1	(C(=O)([O-])C(=O)CF)
sebacate	(sebacate sebacic acid 1,10-decanedioic acid 1,8-Octanedicarboxylic acid n-decanedioic acid decanedioic acid decanedicarboxylic acid)	CPD-3623	C10H16O4	(C(CCCCC(=O)[O-])CCCC(=O)[O-])
acetazolamide	(acetazolamide)	CPD0-1626	C4H6N4O3S2	(CC(=O)NC1(=NN=C(S(=O)(=O)N)S1))
S-adenosyl-L-(2 hydroxyl-4-methylthio)butyrate	(S-adenosyl-L-(2 hydroxyl-4-methylthio)butyrate S-adenosyl-L-(2 hydroxyl-4-methylthio)butyric acid)	CPD0-1484	C15H21N5O6S1	(C[S+](CCC(C(=O)[O-])O)CC3(OC(N2(C=NC1(C(N)=NC=NC=12)))C(O)C(O)3))
3-carboxybenzaldehyde	(3-carboxybenzaldehyde)	CPD0-2303	C8H5O3	(C(=O)C1(=CC=CC(C(=O)[O-])=C1))
1-N6-ethenoadenine	(1-N6-ethenoadenine)	CPD0-1927	C7H5N5	(C1(N=C3(N(C=1)C=NC2(=C(N=CN2)3))))
lipol-AMP	(lipol-AMP)	LIPOL-AMP	C18H27N5O7P1S2	(C(CCCCC1(CCSS1))OP(=O)([O-])OCC4(C(O)C(O)C(N3(C2(N=CN=C(N)C=2N=C3)))O4))
3-propylcatechol	(3-propylcatechol 1,2-benzenediol, 3-propyl- 3-propylbenzene-1,2-diol)	CPD0-2477	C9H12O2	(CCCC1(C=CC=C(O)C(O)=1))
2,3-dihydroxy-5-methyl-1,4-benzoquinone	(2,3-dihydroxy-5-methyl-1,4-benzoquinone)	CPD0-955	C7H5O4	(CC1(=CC(=O)C(O)=C([O-])C(=O)1))
(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate	((2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol <i>cis</i>-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol 3-(<i>cis</i>-5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate (2<i>E</i>)-3-[(5<i>R</i>,6<i>S</i>)-5,6-dihydroxycyclohexa-1,3-dien-1-yl]prop-2-enoate)	CPD-13034	C9H9O4	(C(C=CC1(=CC=CC(C(O)1)O))(=O)[O-])
borohydride	(borohydride)	BOROHYDRIDE	H4B1	([BH4-])
1-acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	(1-acyl-sn-glycero-3-phosphoglycerol (n-C16:0))	CPD0-2162	C22H44O9P1	(CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCC(CO)O)[O-])O)
butyrylcholine	(butyrylcholine)	CPD0-1675	C9H20N1O2	(CCCC(=O)OCC[N+](C)(C)C)
6-aminohexanoate	(6-aminohexanoate epsilon-amino-N-caproate 6-aminocapronate capracid caplamin caprolisin capramol capralense aminokapron atsemin acepramine hexanoic acid, 6-amino- 6-amino-n-hexanoic acid 6-aminocaproic acid acepramin &epsilon;-aminocaproate 6-amino-n-caproic acid aminocaproic acid amicar epsilcapramine 6-amino-n-caproate 6-aminohexanoic acid &epsilon;-aminocaproic acid e-amino-n-caproic acid)	CPD-884	C6H13N1O2	(C(CCCCC(=O)[O-])[N+])
Tween 80	(Tween 80 polysorbate 80)	CPD-3563	C32H60O10	(CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1(C(C(CO1)OCCO)OCCO))OCCO)
isobutanol	(isobutanol butanol)	ISOBUTANOL	C4H10O1	(CC(C)CO)
<i>S</i>-methyl-5'-thioadenosine	(<i>S</i>-methyl-5'-thioadenosine methylthioadenosine 5'-methylthioadenosine 5'-<i>S</i>-methyl-5'-thioadenosine MTA <i>S</i>-methyl-adenosine)	5-METHYLTHIOADENOSINE	C11H15N5O3S1	(CSCC1(OC(C(C1O)O)N2(C=NC3(=C2N=CN=C3N))))
pseudouridine 5'-phosphate	(pseudouridine 5'-phosphate)	PSEUDOURIDINE-5-P	C9H11N2O9P1	(C1(=C(C(=O)NC(=O)N1)C2(OC(COP(=O)([O-])[O-])C(O)C(O)2)))
L-rhamnonate	(L-rhamnonate)	L-RHAMNONATE	C6H11O6	(CC(O)C(O)C(O)C(O)C([O-])=O)
sn-butyl-D-cysteine	(sn-butyl-D-cysteine)	CPD0-1567	C7H15N1O2S1	(CCCCSCC(C([O-])=O)[N+])
sinefungin	(sinefungin)	SINEFUNGIN	C15H24N7O5	(C1(N=C2(C(=C(N=1)N)N=CN2C3(C(C(C(O3)CC(CCC(C(=O)[O-])[N+])[N+])O)O))))
5'-D-arabinosyladenine triphosphate	(5'-D-arabinosyladenine triphosphate)	CPD0-1194		
N<sup>2</sup>-succinyl-L-glutamate 5-semialdehyde	(N<sup>2</sup>-succinyl-L-glutamate 5-semialdehyde N<sup>2</sup>-succinylglutamic-semialdehyde N<sup>2</sup>-succinylglutamate semialdehyde N<sup>2</sup>-succinylglutamic semialdehyde)	CPD-822	C9H11N1O6	(C(CCC(NC(CCC(=O)[O-])=O)C(=O)[O-])=O)
atabrine	(atabrine quinacrine mustard mepacrine chinacrin atebrin acrichine quinacrine)	ATABRINE	C23H32N3O1Cl1	(CC[N+](CCCC(NC2(C3(C([N+]=C1(C=CC(=CC1=2)OC))=CC(=CC=3)Cl)))C)CC)
lipid IV<SUB>B</SUB>	(lipid IV<SUB>B</SUB>)	CPD0-1281	C82H152N2O24P2	(CCCCCCCCCCCCCC(=O)OC(CC(NC1(C(C(C(OC1OP([O-])(=O)[O-])COC2(OC(CO)C(OP(=O)([O-])[O-])C(OC(=O)CC(O)CCCCCCCCCCC)C(NC(=O)CC(O)CCCCCCCCCCC)2))O)OC(CC(CCCCCCCCCCC)O)=O))=O)CCCCCCCCCCC)
N1-propyladenine	(N1-propyladenine)	CPD0-1922	C8H12N5	(CCC[N+]2(C=NC1(NC=NC=1C=2N)))
TpGc	(TpGc tryptamine guanosine carbamate)	CPD0-2464	C21H23N7O6	(C2(NC1(C=CC=CC=1C=2CCNC(=O)OCC5(C(C(C(N4(C=NC3(C(=O)NC(N)=NC=34)))O5)O)O))))
<i>(2S)</i>-2-amino-3-oxo-4-phosphonooxybutanoate	(<i>(2S)</i>-2-amino-3-oxo-4-phosphonooxybutanoate 2-amino-3-oxo-4-phosphonooxybutyrate L-2-amino-3-oxo-4-phosphonooxybutyrate)	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE	C4H5N1O7P1	(C(=O)([O-])C(N)C(=O)COP(=O)([O-])[O-])
1-methylguanosine	(1-methylguanosine)	CPD0-1043	C11H15N5O5	(CN1(C(=NC2(=C(C1=O)N=CN2C3(OC(C(C3O)O)CO)))N))
L-dihydrophenylalanine	(L-dihydrophenylalanine Dihydrophenylalanine L-3-(2,5-Cyclohexadienyl)alanine 1,4-Cyclohexadiene-1-propanoic acid, alpha-amino-, (S)-)	CPD0-1557	C9H13N1O2	(C(=O)(O)C(N)CC1(C=CCC=C1))
pteroyl-&gamma;-glutamyl-&gamma;-glutamylglutamate	(pteroyl-&gamma;-glutamyl-&gamma;-glutamylglutamate pteroyl-&gamma;-glutamyl-&gamma;-glutamylglutamic acid)	CPD0-1473	C30H31N9O12	(CC(CCC([O-])=O)(C(=O)[O-])NC(=O)CCC(C(=O)[O-])NC(=O)CCC(C([O-])=O)NC(=O)C1(=CC=C(C=C1)NCC2(=CN=C3(N=C(N)NC(=O)C(=N2)3))))
azide	(azide NaN3 hydrazoic acid)	CPD-2841	H1N3	(N=N#N)
3-hydroxypropionate	(3-hydroxypropionate hydroxypropionate 3-hydroxypropanoate &beta;-hydroxypropionate 3-hydroxypropanoic acid 3-hydropropionic acid hydracrylic acid)	3-HYDROXY-PROPIONATE	C3H5O3	(C(CO)C([O-])=O)
7,8-dihydromonapterin triphosphate	(7,8-dihydromonapterin triphosphate H<SUB>2</SUB>MTP 6-(L-<I>threo</I>-1',2',3'-trihydroxypropyl)-7,8-dihydropterin-3'-triphosphate dihydromonapterin-triphosphate)	DIHYDROMONAPTERIN-TRIPHOSPHATE	C9H12N5O13P3	(C1(NC2(N=C(N)NC(=O)C(N=C1C(O)C(O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])=2)))
urea	(urea bromisovalum carmol basodexan carbamide)	UREA	C1H4N2O1	(C(=O)(N)N)
