FIME	FIME	4540874	4540925	(TU183)
ILVA-RHO-TERMINATOR	ILVA-RHO-TERMINATOR	3955085	3955146	(TU0-6651 TU526 TU524 TU525)
TERM0-1082	TERM0-1082	3964328	3964358	(TU0-42518)
TERM0-1083	TERM0-1083	3964365	3964382	(TU0-42518)
TERM0-1089	TERM0-1089	3886485	3886532	(TU0-42514)
TERM0-1158	TERM0-1158	3054257	3054305	(TU0-36424 TU0-36423)
TERM01022	TERM01022	762182	762189	(TU0-42509)
TERM01023	TERM01023	757667	757673	(TU0-6702)
TERM0601	TERM0601	3346283	3346311	(TU00487)
TERM0981	TERM0981	899918	899948	(TU0-14678 TU0-14677 TU0-14676 TU00240)
TERM0982	TERM0982	898871	898888	(TU0-8161)
