ACCCT1	ACCCT1	3405308	3405324	(TU00231)
ACRFT1	ACRFT1	3416165	3416199	(TU00234)
ARCAT1	ARCAT1	4637562	4637595	(TU352 TU348 TU354 TU347 TU346 TU345 TU344)
AROF-TYRA-TERMINATOR	AROF-TYRA-TERMINATOR	2736934	2736962	(TU0-6653 TU00008)
AROGT1	AROGT1	786018	786044	(TU00009)
AROH_TERMINATOR	AROH_TERMINATOR	1787511	1787534	(TU0-14254 TU00010)
AROPT1	AROPT1	120144	120168	(TU00012 TU641)
BOLA	BOLA	454068	454089	(TU00386 TU0-14251)
DNAC	DNAC	4598162	4598180	(TU0-8869 TU0-8868)
FIST	FIST	3409615	3409648	(TU00021)
GLYA_TERMINATOR	GLYA_TERMINATOR	2682097	2682115	(TU00192)
GUSAT1	GUSAT1	2628928	2628955	(TU00205)
IHFA-TERMINATOR	IHFA-TERMINATOR	1793240	1793263	(TU00174 TU0-6626)
METYT1	METYT1	3316094	3316109	(TU0-8476 TU343)
METYT2	METYT2	3316053	3316065	(TU0-8476 TU343)
OMPC_TERMINATOR	OMPC_TERMINATOR	2309632	2309646	(TU00477 TU00476 TU00049)
PHEM-T3	PHEM-T3	1797185	1797200	(TU0-8856 TU0-8855)
PRMAT1	PRMAT1	3408051	3408064	(TU00314)
PROS-TERMINATOR	PROS-TERMINATOR	217020	217051	(TU0-6562)
PSPF	PSPF	1364842	1364937	(TU0-1805 TU0-1803 TU0-1802)
RPLT-T2	RPLT-T2	1797387	1797406	(TU0-3305 TU0-14255 TU0-6657)
RPSOT1	RPSOT1	3309394	3309420	(TU0-8474)
SPEDT1	SPEDT1	134756	134783	(TU00359)
SPY-TERMINATOR	SPY-TERMINATOR	1823081	1823150	(TU-8381)
TERM-RPST	TERM-RPST	20771	20784	(TU0-7842 TU0-7844)
TERM0-1029	TERM0-1029	4234182	4234232	(TU0-14111)
TERM0-1030	TERM0-1030	4631134	4631167	(TU00220)
TERM0-1031	TERM0-1031	2031739	2031755	(TU0-14332)
TERM0-1033	TERM0-1033	3044148	3044167	(TU0-14509 TU00170)
TERM0-1034	TERM0-1034	359477	359502	(TU0-14378)
TERM0-1035	TERM0-1035	1643058	1643073	(TU0-14381)
TERM0-1036	TERM0-1036	3398027	3398058	(TU0-14390 TU0-14389 TU0-14388)
TERM0-1039	TERM0-1039	27252	27279	(TU0-14465 TU0-14253 TU0-14395 TU0-14394 TU00291)
TERM0-1040	TERM0-1040	185090	185111	(TU0-6443)
TERM0-1041	TERM0-1041	29248	29272	(TU0-6403 TU0-14399)
TERM0-1042	TERM0-1042	4021539	4021560	(TU0-42519)
TERM0-1043	TERM0-1043	4176351	4176379	(TU00354)
TERM0-1044	TERM0-1044	1145951	1145975	(TU0-14333)
TERM0-1045	TERM0-1045	4160160	4160187	(TU00430)
TERM0-1046	TERM0-1046	3697922	3697952	(TU0-8846)
TERM0-1047	TERM0-1047	1268262	1268290	(TU305 TU306)
TERM0-1048	TERM0-1048	1896331	1896355	(TU00223)
TERM0-1050	TERM0-1050	3189738	3189757	(TU00420 TU00279)
TERM0-1054	TERM0-1054	3948343	3948494	(TU0-42517 TU0-42516)
TERM0-1055	TERM0-1055	3850858	3851005	(TU0-42513)
TERM0-1056	TERM0-1056	3718309	3718336	(TU0-1582 TU0-1581)
TERM0-1057	TERM0-1057	1320999	1321019	(TU0-42510)
TERM0-1058	TERM0-1058	2088132	2088164	(TU0-42511)
TERM0-1059	TERM0-1059	274	310	(TU0-42486)
TERM0-1061	TERM0-1061	2744231	2744263	(TU0-13680)
TERM0-1064	TERM0-1064	107501	107544	(TU0-12809)
TERM0-1065	TERM0-1065	1447061	1447087	(TU0-8795)
TERM0-1066	TERM0-1066	3320057	3320093	(TU0-14574 TU0-14573)
TERM0-1067	TERM0-1067	3058682	3058702	(TU0-1341)
TERM0-1073	TERM0-1073	256442	256474	(TU0-14680)
TERM0-1074	TERM0-1074	4374728	4374754	(TU0-14682)
TERM0-1078	TERM0-1078	4188351	4188372	(TU00399)
TERM0-1079	TERM0-1079	3374271	3374299	(TU00361)
TERM0-1081	TERM0-1081	4470449	4470468	(TU00485 TU00484)
TERM0-1084	TERM0-1084	3964514	3964536	(TU0-42518)
TERM0-1085	TERM0-1085	3964741	3964763	(TU0-42518)
TERM0-1086	TERM0-1086	3964879	3964899	(TU0-42518)
TERM0-1087	TERM0-1087	850205	850232	(TU0-8812 TU0-14688)
TERM0-1090	TERM0-1090	83574	83603	(TU0-42508)
TERM0-1093	TERM0-1093	3908466	3908496	(TU0-14692)
TERM0-1094	TERM0-1094	3906518	3906540	(TU0-14693)
TERM0-1095	TERM0-1095	3813830	3813851	(TU0-14696)
TERM0-1096	TERM0-1096	3815597	3815626	(TU0-14001)
TERM0-1097	TERM0-1097	2079365	2079393	(TU0-13488)
TERM0-1099	TERM0-1099	3851685	3851712	(TU0-6241)
TERM0-1100	TERM0-1100	3851141	3851167	(TU0-7182 TU0-7181)
TERM0-1103	TERM0-1103	2165186	2165224	(TU0-13506)
TERM0-1104	TERM0-1104	1696160	1696187	(TU00187)
TERM0-1105	TERM0-1105	1234900	1234921	(TU0-14737 TU0-8794)
TERM0-1108	TERM0-1108	3097676	3097696	(TU00075 TU0-6569)
TERM0-1109	TERM0-1109	4108731	4108753	(TU0-6485)
TERM0-1110	TERM0-1110	631269	631314	(TU0-6821 TU0-6822 TU0-6823)
TERM0-1111	TERM0-1111	2531431	2531446	(TU00079 TU0-14642)
TERM0-1113	TERM0-1113	4003838	4003859	(TU0-14046)
TERM0-1114	TERM0-1114	506484	506511	(TU0-8522)
TERM0-1115	TERM0-1115	4169783	4169826	(TU0-14528 TU0-3364 TU0-1182)
TERM0-1116	TERM0-1116	4169958	4169985	(TU0-14528 TU0-3364 TU0-1182)
TERM0-1117	TERM0-1117	3945055	3945090	(TU0-1184 TU0-1183)
TERM0-1118	TERM0-1118	2689179	2689207	(TU0-14775 TU0-13666)
TERM0-1119	TERM0-1119	3848769	3848802	(TU00032)
TERM0-1120	TERM0-1120	2519511	2519537	(TU792 TU791)
TERM0-1121	TERM0-1121	2519356	2519380	(TU792 TU791)
TERM0-1122	TERM0-1122	3774178	3774198	(TU00193)
TERM0-1123	TERM0-1123	3774212	3774232	(TU00193)
TERM0-1124	TERM0-1124	3774300	3774327	(TU00193)
TERM0-1125	TERM0-1125	3774424	3774442	(TU00193)
TERM0-1129	TERM0-1129	2654528	2654552	(TU0-42037 TU00423)
TERM0-1130	TERM0-1130	1886041	1886067	(TU0-4187)
TERM0-1132	TERM0-1132	191721	191738	(TU00345)
TERM0-1134	TERM0-1134	3326828	3326868	(TU0-14794 TU-8397)
TERM0-1139	TERM0-1139	1407241	1407273	(TU0-14795)
TERM0-1141	TERM0-1141	1620841	1620898	(TU0-14797)
TERM0-1142	TERM0-1142	1620790	1620823	(TU0-13307)
TERM0-1143	TERM0-1143	1842956	1842978	(TU0-14527 TU00356)
TERM0-1144	TERM0-1144	1842961	1842983	(TU0-14798)
TERM0-1145	TERM0-1145	1978120	1978150	(TU00391 TU00312 TU0-7722)
TERM0-1148	TERM0-1148	3348693	3348719	(TU0-8517)
TERM0-1150	TERM0-1150	3661564	3661594	(TU0-14433 TU0-14719 TU0-14718)
TERM0-1151	TERM0-1151	3813119	3813142	(TU0-42311 TU00334)
TERM0-1152	TERM0-1152	2945713	2945739	(TU00496)
TERM0-1153	TERM0-1153	2945758	2945778	(TU00496)
TERM0-1154	TERM0-1154	1314407	1314432	(TU00067)
TERM0-1155	TERM0-1155	1313809	1313839	(TU0-36408)
TERM0-1156	TERM0-1156	1312692	1312722	(TU0-41720 TU0-41719 TU0-41718 TU0-36411 TU0-13193)
TERM0-1157	TERM0-1157	1310285	1310324	(TU0-41717 TU0-13190)
TERM0-1159	TERM0-1159	3436466	3436526	(TU0-13910)
TERM0-1160	TERM0-1160	2438305	2438332	(TU0-1482)
TERM0-1161	TERM0-1161	1561300	1561325	(TU0-8478 TU0-41790)
TERM0-1162	TERM0-1162	1403686	1403717	(TU0-8760)
TERM0-1163	TERM0-1163	3921728	3921755	(TU0-14263)
TERM0-1164	TERM0-1164	1015123	1015147	(TU0-42483)
TERM0-1166	TERM0-1166	1684729	1684749	(TU00104)
TERM0-1168	TERM0-1168	1291684	1291708	(TU00139)
TERM01001	TERM01001	1944839	1944878	(TU0-8243 TU0-8241 TU0-8242)
TERM0101	TERM0101	1158548	1158569	(TU0-2581)
TERM01021	TERM01021	129366	129394	(TU00522 TU00523)
TERM01024	TERM01024	4464307	4464321	(TU0-2443 TU0-2442 TU0-2441 TU00397)
TERM0141	TERM0141	1112755	1112783	(TU00297 TU0-4143)
TERM0161	TERM0161	2595825	2595846	(TU00256 TU0-4161)
TERM0183	TERM0183	4311824	4311850	(TU0-4483)
TERM0201	TERM0201	3575645	3575675	(TU0-4523 TU0-4522 TU0-4521)
TERM0202	TERM0202	2820692	2820709	(TU00062)
TERM0221	TERM0221	1386291	1386325	(TU00068)
TERM0222	TERM0222	360436	360460	(TU0-14521 TU00142 TU0-4703 TU0-4702 TU0-4701 TU00036)
TERM0223	TERM0223	360364	360403	(TU0-14521 TU0-4703 TU0-4702 TU0-4701 TU00036)
TERM0241	TERM0241	4104384	4104402	(TU0-1041)
TERM0242	TERM0242	4240562	4240578	(TU00038)
TERM0261	TERM0261	1309839	1309870	(TU00167)
TERM0281	TERM0281	3267984	3267997	(TU543)
TERM0282	TERM0282	3268097	3268110	(TU543)
TERM0283	TERM0283	3268210	3268223	(TU543)
TERM0301	TERM0301	2922188	2922213	(TU0-4761)
TERM0322	TERM0322	2534385	2534402	(TU00483 TU00481 TU00479 TU00480 TU0-4786 TU0-4782 TU00482)
TERM0344	TERM0344	3903659	3903710	(TU0-42515)
TERM0361	TERM0361	4049264	4049303	(TU0-4822)
TERM0382	TERM0382	3573711	3573734	(TU0-42252 TU00228 TU0-4881)
TERM041	TERM041	1669727	1669744	(TU0-1701)
TERM0421	TERM0421	3575029	3575061	(TU0-42512)
TERM0441	TERM0441	4547945	4547965	(TU0-4961)
TERM0461	TERM0461	1930109	1930129	(TU00227 TU26 TU27 TU25)
TERM0503	TERM0503	498169	498204	(TU0-5421)
TERM0521	TERM0521	3662966	3662984	(TU0-5761)
