aaeB	TU0-42207	(PM0-45704)		(G7685)
aaeB	TU0-42208	(PM0-45705)		(G7685)
aaeB	TU0-42206	(PM0-45703)		(G7685)
aaeR	TU0-42209	(PM0-45706)		(G7688)
aaeR	TU0-42212	(PM0-45709)		(G7688)
aaeR	TU0-42211	(PM0-45708)		(G7688)
aaeR	TU0-8759	(PM0-36254)		(G7688)
aaeR	TU0-42210	(PM0-45707)		(G7688)
aaeXAB	TU0-13901	(PM0-36253)		(G7687 G7686 G7685)
aas-lplT	TU0-13751			(EG11679 EG12455)
aat	TU0-13077	(PM0-44662)		(EG11112)
abgABT-ogt	TU0-13222			(G6670 G6669 EG12853 EG10668)
abgR	TU0-8760		(TERM0-1162)	(G6671)
abrB	TU0-13031			(G6384)
accA	TU00230	(PM00523)		(EG11647)
accBC	TU00231	(PM00525)	(ACCCT1)	(EG10275 EG10276)
accD	TU00232	(PM00526)		(EG10217)
aceBAK	TU00001	(PM00001)		(EG10023 EG10022 EG10026)
aceEF	TU0-6634	(PM00325)	(TERM101)	(EG10025 EG10024)
aceK	TU0-14503	(PM0-9782)		(EG10026)
ackA	TU00385	(PM00524)		(EG10027)
ackA-pta	TU0-8301			(EG20173 EG10027)
acnA	TU795	(PM261)		(EG11325)
acnA	TU794	(PM262)		(EG11325)
acnA	TU0-14625	(PM0-10030)		(EG11325)
acnB	TU796	(PM263)		(EG12316)
acnB	TU0-14608	(PM0-9960)		(EG12316)
acpH	TU0-8764			(EG11095)
acpP-fabF	TU441	(PM541)		(EG12606 EG50003)
acpS	TU0-42045	(PM0-45409)		(EG10247)
acpS	TU0-42046	(PM0-45410)		(EG10247)
acpT	TU0-13947			(EG12221)
acrAB	TU00233	(PM624)		(EG11703 EG11704)
acrB	TU0-14615	(PM0-9984)		(EG11704)
acrD	TU0-14793	(PM0-10482)		(EG10014)
acrD	TU0-8021	(PM0-8401)		(EG10014)
acrEF	TU00234	(PM0-8727)	(ACRFT1)	(EG10266 EG10267)
acrR	TU0-8325	(PM0-8705)		(EG12116)
acrZ	TU0-13041	(PM0-46235)		(G6396)
acs-yjcHG	TU0-3721	(PM0-3921)		(EG11942 EG11943 EG11448)
acs-yjcHG	TU0-3723	(PM0-3923)		(EG11942 EG11943 EG11448)
actP	TU0-14786	(PM0-10473)		(EG11942)
ada-alkB	TU00072	(PM00101)		(EG10037 EG10029)
add	TU0-13350	(PM0-45010)		(EG10030)
ade	TU0-8765	(PM0-36195)		(EG11692)
ade	TU0-42321	(PM0-45888)		(EG11692)
ade	TU0-42320	(PM0-45887)		(EG11692)
adhE	TU546	(PM646)		(EG10031)
adhE	TU00198	(PM00279)		(EG10031)
adhP	TU0-13286	(PM0-44953)		(G6775)
adiA	TU00235	(PM981)	(TERM181)	(EG11501)
adiC	TU0-14134	(PM0-46012)		(EG12462)
adiY	TU821	(PM982)		(EG11966)
adk	TU0-6481	(PM00342)		(EG10032)
adrA	TU0-8872	(PM0-9308)		(EG11257)
aegA	TU0-13640			(EG12409)
aer	TU0-1546	(PM0-1727)		(G7595)
aes	TU0-5421	(PM0-5661)	(TERM0503)	(EG11101)
agaR	TU0-6582	(PM0-6882)		(G7630)
agaSYBCDI	TU0-6583	(PM0-6883)		(G7636 G7635 EG12770 EG12769 EG12768 G7634)
agp	TU0-7401	(PM0-7741)	(TERM0702)	(EG10033)
agrA	TU0-42529	(PM0-46267)	(TERM0-1175)	(G0-10751)
agrB	TU0-42530	(PM0-46268)	(TERM0-1174)	(G0-10752)
ahpCF	TU0-14761	(PM0-10408)		(EG11385 EG11384)
ahpCF	TU00074	(PM00102)		(EG11384 EG11385)
ahpF	TU-8435	(PM-8821)		(EG11385)
ahr	TU0-42411	(PM0-46059)		(EG11436)
ahr	TU0-42413	(PM0-46061)		(EG11436)
ahr	TU0-42412	(PM0-46060)		(EG11436)
aidB	TU00095	(PM00136)		(EG11811)
ais	TU0-41980	(PM0-45300)		(G7165)
ais	TU0-41979	(PM0-45299)		(G7165)
ais	TU0-8766	(PM0-45298)		(G7165)
alaA	TU0-13579	(PM0-45322)		(G7184)
alaA-yfbR	TU0-36413	(PM0-45321)		(G7185 G7184)
alaC	TU0-13612	(PM0-9593)		(G7242)
alaE	TU0-8745	(PM0-45452)		(G7399)
alaE	TU0-42065	(PM0-45453)		(G7399)
alaS	TU0-6441	(PM00424)		(EG10034)
alaWX	TU0-42015	(PM0-45360)		(EG30011 EG30012)
alaWX	TU0-42014	(PM0-45359)		(EG30011 EG30012)
alaWX	TU0-42013	(PM0-45358)		(EG30011 EG30012)
alaWX	TU00514	(PM00669)		(EG30012 EG30011)
aldA	TU102	(PM324)		(EG10035)
aldB	TU00138	(PM00187)	(TERM21)	(EG12292)
alkA	TU00002	(PM00002)		(EG11222)
alkB	TU00073	(PM00135)		(EG10037)
allA	TU0-7601	(PM0-7981)		(G6275)
allDC-ylbA	TU0-7622	(PM0-8002)		(G6284 G6285 G6286)
allE	TU0-41536	(PM0-44510)		(G6284)
allR	TU0-8873	(PM0-9309)		(G6276)
allS	TU0-7602	(PM0-7982)		(G6274)
alpA	TU0-13689			(EG12112)
alr	TU0-14120	(PM0-10178)		(EG10001)
alr	TU0-14670	(PM0-10179)		(EG10001)
alsBACE	TU0-14547	(PM0-9830)		(EG11957 EG11958 EG11959 EG12458)
alsE	TU0-42387	(PM0-46008)		(EG11957)
alsE	TU0-42388	(PM0-46009)		(EG11957)
alsK	TU0-14293	(PM0-46007)		(EG11956)
alsRBACE	TU0-4504	(PM0-4744)		(EG11957 EG11958 EG11959 EG12458 G7821)
alsRBACE	TU0-4502	(PM0-4742)		(EG11957 EG11958 EG11959 EG12458 G7821)
alx	TU0-42159	(PM0-45630)		(G7607)
alx	TU0-13859	(PM0-45628)		(G7607)
alx	TU0-42158	(PM0-45629)		(G7607)
amiA-hemF	TU0-2741	(PM0-2921)		(EG12189 EG11823)
amiC	TU0-42079	(PM0-45487)		(G7458)
amiC	TU0-8767	(PM0-45486)		(G7458)
amn	TU0-6422	(PM00391)		(EG10039)
ampC	TU243	(PM00501)	(TERM81)	(EG10040)
ampDE	TU0-41440	(PM0-44354)		(EG10042 EG10041)
ampDE	TU00237	(PM0-36222)		(EG10041 EG10042)
ampG	TU0-41518	(PM0-44481)		(EG12183)
ampG	TU0-41517	(PM0-44480)		(EG12183)
ampG	TU0-12926	(PM0-44479)		(EG12183)
ampH	TU0-14612	(PM0-9973)		(EG12867)
ampH	TU0-8768	(PM0-9972)		(EG12867)
amyA	TU0-7461	(PM0-7803)	(TERM0761)	(EG11387)
anmK	TU0-13355	(PM0-45016)		(G6880)
ansA-pncA	TU00238			(EG11135 EG10045)
ansB	TU00075	(PM00103)	(TERM0-1108)	(EG10046)
ansB	TU0-6569	(PM00430)	(TERM0-1108)	(EG10046)
ansP	TU0-8147	(PM0-8527)		(G6764)
ansP	TU0-8148	(PM0-8528)		(G6764)
apaGH	TU0-5202	(PM0-5442)		(EG10048 EG10047)
apaH	TU0-41436	(PM0-44348)		(EG10048)
apbE	TU0-13561	(PM0-45283)		(EG12073)
aphA	TU0-14121			(EG11934)
appA	TU00461	(PM00616)		(EG10049)
appCBA-yccB	TU00097	(PM00138)		(G0-10588 EG11380 EG11379 EG10049)
appY	TU0-42454	(PM0-46131)		(EG10050)
appY	TU0-8479	(PM0-8915)		(EG10050)
apt	TU0-12947	(PM0-9608)		(EG10051)
aqpZ	TU0-41611	(PM0-44659)		(EG13270)
aqpZ	TU0-1106	(PM0-44658)		(EG13270)
araBAD	TU00214	(PM00003)	(TERM68)	(EG10055 EG10052 EG10053)
araC	TU00003	(PM00004)		(EG10054)
araE	TU00076	(PM00104)		(EG10056)
araFGH	TU0-42451	(PM0-46128)		(EG10059 EG10058 EG10057)
araFGH	TU00098	(PM00139)		(EG10059 EG10058 EG10057)
araH	TU0-41898	(PM0-45152)		(EG10059)
araJ	TU00099	(PM00140)		(EG10060)
arcA	TU344	(PM195)	(ARCAT1)	(EG10061)
arcA	TU347	(PM202)	(ARCAT1)	(EG10061)
