"Name"	"Blattner number"	"Location E coli B"
"thrL"	"b0001"	"C"
"thrA"	"b0002"	"C"
"thrB"	"b0003"	"C"
"thrC"	"b0004"	"C"
"yaaX"	"b0005"	"P"
"yaaA"	"b0006"	"C"
"yaaJ"	"b0007"	"IM"
"talB"	"b0008"	"C"
"mogA"	"b0009"	"C"
"yaaH"	"b0010"	"IM"
"yaaI"	"b0013"	"P"
"dnaK"	"b0014"	"C"
"dnaJ"	"b0015"	"C"
"insL-1"		"C"
"mokC"	"b0018"	"IM"
"nhaA"	"b0019"	"IM"
"nhaR"	"b0020"	"C"
		"IM"
		"OM"
		"C"
"insA-1"		"C"
"insB-1"		"C"
		"C"
		"C"
"rpsT"	"b0023"	"C"
"yaaY"	"b0024"	"C"
"ribF"	"b0025"	"C"
"ileS"	"b0026"	"C"
"lspA"	"b0027"	"IM"
"fkpB"	"b0028"	"C"
"ispH"	"b0029"	"C"
"rihC"	"b0030"	"C"
"dapB"	"b0031"	"C"
"carA"	"b0032"	"C"
"carB"	"b0033"	"C"
"caiF"	"b0034"	"C"
"caiE"	"b0035"	"C"
"caiD"	"b0036"	"C"
"caiC"	"b0037"	"C"
"caiA"	"b0039"	"C"
"caiT"	"b0040"	"IM"
"fixA"	"b0041"	"C"
"fixB"	"b0042"	"C"
"fixC"	"b0043"	"C"
"fixX"	"b0044"	"C"
"yaaU"	"b0045"	"IM"
"yabF"	"b0046"	"C"
"kefC"	"b0047"	"IM"
"folA"	"b0048"	"C"
"apaH"	"b0049"	"C"
"apaG"	"b0050"	"C"
"ksgA"	"b0051"	"C"
"pdxA"	"b0052"	"C"
"surA"	"b0053"	"P"
"imp"	"b0054"	"OM"
"djlA"	"b0055"	"IM"
"rluA"	"b0058"	"C"
"hepA"	"b0059"	"C"
"polB"	"b0060"	"C"
"araD"	"b0061"	"C"
"araA"	"b0062"	"C"
"araB"	"b0063"	"C"
"araC"	"b0064"	"C"
"yabI"	"b0065"	"IM"
"yabJ"	"b0066"	"C"
"thiP"	"b0067"	"IM"
"tbpA"	"b0068"	"P"
"yabN"	"b0069"	"C"
"setA"	"b0070"	"IM"
"leuD"	"b0071"	"C"
"leuC"	"b0072"	"C"
"leuB"	"b0073"	"C"
"leuA"	"b0074"	"C"
"leuL"	"b0075"	"C"
"leuO"	"b0076"	"C"
"ilvI"	"b0077"	"C"
"ilvH"	"b0078"	"C"
"fruR"	"b0080"	"IM"
"yabB"	"b0081"	"C"
"mraW"	"b0082"	"C"
"ftsL"	"b0083"	"C"
"ftsI"	"b0084"	"IM"
"murE"	"b0085"	"C"
"murF"	"b0086"	"C"
"mraY"	"b0087"	"IM"
"murD"	"b0088"	"C"
"ftsW"	"b0089"	"IM"
"murG"	"b0090"	"C"
"murC"	"b0091"	"C"
"ddlB"	"b0092"	"C"
"ftsQ"	"b0093"	"IM"
"ftsA"	"b0094"	"C"
"ftsZ"	"b0095"	"C"
"lpxC"	"b0096"	"C"
"yacA"	"b0097"	"P"
"secA"	"b0098"	"C"
"mutT"	"b0099"	"C"
"yacG"	"b0101"	"C"
"yacF"	"b0102"	"C"
"coaE"	"b0103"	"C"
"guaC"	"b0104"	"C"
"hofC"	"b0106"	"IM"
"hofB"	"b0107"	"C"
"ppdD"	"b0108"	"IM"
"nadC"	"b0109"	"C"
"ampD"	"b0110"	"C"
"ampE"	"b0111"	"IM"
"aroP"	"b0112"	"IM"
"pdhR"	"b0113"	"C"
"aceE"	"b0114"	"C"
"aceF"	"b0115"	"C"
"lpdA"	"b0116"	"C"
"yacH"	"b0117"	"IM"
"acnB"	"b0118"	"C"
"yacL"	"b0119"	"C"
"speD"	"b0120"	"C"
"speE"	"b0121"	"C"
"yacC"	"b0122"	"P"
"cueO"	"b0123"	"P"
"gcd"	"b0124"	"P"
"hpt"	"b0125"	"C"
"yadF"	"b0126"	"C"
"yadG"	"b0127"	"IM"
"yadH"	"b0128"	"IM"
"yadI"	"b0129"	"C"
"yadE"	"b0130"	"P"
"panD"	"b0131"	"C"
"yadD"	"b0132"	"C"
"panC"	"b0133"	"C"
"panB"	"b0134"	"C"
"yadC"	"b0135"	"F"
"yadK"	"b0136"	"F"
"yadL"	"b0137"	"F"
"yadM"	"b0138"	"F"
"htrE"	"b0139"	"OM"
"ecpD"	"b0140"	"P"
"yadN"	"b0141"	"F"
"folK"	"b0142"	"C"
