# id = reaction id, values = flux mmol/L/s
"id"	"average"	"distribution"
"TRANS-RXN0-579"	2.525577964457914e-25	"[]"
"3.6.3.39-RXN-CPD0-936/ATP/WATER//CPD0-936/ADP/Pi/PROTON.43."	0.0	"[]"
"TRANS-RXN0-590"	0.0	"[]"
"TRANS-RXN0-591"	0.0	"[]"
"TRANS-RXN0-592"	0.0	"[]"
"TRANS-RXN-108-5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON//5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON.87."	0.0	"[]"
"TRANS-RXN0-266"	0.0	"[]"
"TRANS-RXN0-264"	0.0	"[]"
"TRANS-RXN0-268"	0.0	"[]"
"TRANS-RXN0-269"	0.0	"[]"
"TRANS-RXN0-267-L-ALA-GAMMA-D-GLU-DAP/PROTON//L-ALA-GAMMA-D-GLU-DAP/PROTON.59."	0.0	"[]"
"ABC-42-RXN-CPD-15629/ATP/WATER//CPD-15629/ADP/Pi/PROTON.45."	0.0	"[]"
"TRANS-RXN-40-CPD-12045/PROTON//CPD-12045/PROTON.35."	0.0	"[]"
"TRANS-RXN0-265-CPD-3729//CPD-3729.19."	0.0	"[]"
"TRANS-RXN-106D-CPD-660/PROTON//CPD-660/PROTON.31."	0.0	"[]"
"TRANS-RXN-81-CPD-12537/PROTON//CPD-12537/PROTON.35."	0.0	"[]"
"ABC-8-RXN-ATP/ALA-GLY/WATER//ADP/ALA-GLY/Pi/PROTON.41."	0.0	"[]"
"TRANS-RXN0-468-DEOXYURIDINE//DEOXYURIDINE.27."	0.0	"[]"
"TRANS-RXN-237-HEPTOSYL-KDO2-LIPID-IVA//HEPTOSYL-KDO2-LIPID-IVA.49."	0.0	"[]"
"TRANS-RXN0-569-CPD-404//CPD-404.17."	0.0	"[]"
"TRANS-RXN0-265-TRP//TRP.9."	0.0	"[]"
"TRANS-RXN0-265-TYR//TYR.9."	0.0	"[]"
"TRANS-RXN0-469"	0.0	"[]"
"TRANS-RXN0-460"	8.441659800076608e-08	"[]"
