Object ID	Display Name	Synonyms
EG11979_REPLICATION	rfbC replication	['rfbC replication', 'rfbD replication', 'rmlC replication', 'b2038 replication', 'ECK2032 replication']
EG11991_REPLICATION	yehE replication	['yehE replication', 'b2112 replication', 'ECK2105 replication']
EG12302_REPLICATION	tmk replication	['tmk replication', 'ycfG replication', 'b1098 replication', 'ECK1084 replication']
EG12320_REPLICATION	yadG replication	['yadG replication', 'b0127 replication', 'ECK0126 replication']
EG11428_REPLICATION	sthA replication	['sthA replication', 'sth replication', 'udhA replication', 'b3962 replication', 'ECK3954 replication']
EG10649_REPLICATION	ndh replication	['ndh replication', 'b1109 replication', 'ECK1095 replication']
EG11650_REPLICATION	yafD replication	['yafD replication', 'b0209 replication', 'ECK0209 replication']
EG11045_REPLICATION	udp replication	['udp replication', 'b3831 replication', 'ECK3825 replication']
EG10818_REPLICATION	rbsK replication	['rbsK replication', 'b3752 replication', 'ECK3746 replication']
EG11257_REPLICATION	dgcC replication	['dgcC replication', 'yaiC replication', 'adrA replication', 'b0385 replication', 'ECK0380 replication']
EG10566_REPLICATION	manA replication	['manA replication', 'pmi replication', 'b1613 replication', 'ECK1608 replication']
G7468_REPLICATION	yqeJ replication	['yqeJ replication', 'b2848 replication', 'ECK2846 replication']
EG10413_REPLICATION	gpp replication	['gpp replication', 'gppA replication', 'b3779 replication', 'ECK3771 replication']
EG10290_REPLICATION	fecE replication	['fecE replication', 'b4287 replication', 'ECK4277 replication']
EG12411_REPLICATION	rfbD replication	['rfbD replication', 'rmlD replication', 'b2040 replication', 'ECK2034 replication']
EG10468_REPLICATION	hyaA replication	['hyaA replication', 'b0972 replication', 'ECK0963 replication']
G7015_REPLICATION	yobB replication	['yobB replication', 'b1843 replication', 'ECK1844 replication']
EG11971_REPLICATION	nupC replication	['nupC replication', 'cru replication', 'b2393 replication', 'ECK2388 replication']
EG10053_REPLICATION	araB replication	['araB replication', 'b0063 replication', 'ECK0064 replication']
G6273_REPLICATION	ylbG replication	['ylbG replication', 'b0502 replication', 'ECK0495 replication']
EG11789_REPLICATION	gmm replication	['gmm replication', 'nudD replication', 'wcaH replication', 'yefC replication', 'b2051 replication', 'ECK2045 replication']
G6742_REPLICATION	ydcL replication	['ydcL replication', 'b1431 replication', 'ECK1424 replication']
EG10994_REPLICATION	tdk replication	['tdk replication', 'b1238 replication', 'ECK1233 replication']
G6423_REPLICATION	ybiT replication	['ybiT replication', 'b0820 replication', 'ECK0810 replication']
EG11060_REPLICATION	ushA replication	['ushA replication', 'b0480 replication', 'ECK0474 replication']
EG11227_REPLICATION	fdnG replication	['fdnG replication', 'b1474 replication', 'ECK1468 replication']
G6354_REPLICATION	ybeT replication	['ybeT replication', 'b0647 replication', 'ECK0640 replication']
EG10810_REPLICATION	pyrG replication	['pyrG replication', 'b2780 replication', 'ECK2774 replication']
M009_REPLICATION	hcaE replication	['hcaE replication', 'yfhU replication', 'digA replication', 'phdC1 replication', 'hcaA replication', 'hcaA1 replication', 'b2538 replication', 'ECK2535 replication']
EG11181_REPLICATION	bfd replication	['bfd replication', 'yheA replication', 'b3337 replication', 'ECK3324 replication']
EG10161_REPLICATION	cpsB replication	['cpsB replication', 'rfbM replication', 'manC replication', 'mni replication', 'b2049 replication', 'ECK2043 replication']
EG12448_REPLICATION	ybcH replication	['ybcH replication', 'b0567 replication', 'ECK0559 replication']
EG10223_REPLICATION	deoR replication	['deoR replication', 'nucR replication', 'b0840 replication', 'ECK0830 replication']
EG12275_REPLICATION	xylG replication	['xylG replication', 'b3567 replication', 'ECK3556 replication']
EG12412_REPLICATION	rfbB replication	['rfbB replication', 'som replication', 'rmlB replication', 'b2041 replication', 'ECK2035 replication']
EG10318_REPLICATION	fldA replication	['fldA replication', 'b0684 replication', 'ECK0672 replication']
EG11882_REPLICATION	yiiX replication	['yiiX replication', 'b3937 replication', 'ECK3929 replication']
EG11700_REPLICATION	pnuC replication	['pnuC replication', 'b0751 replication', 'ECK0740 replication']
G6710_REPLICATION	paaB replication	['paaB replication', 'ynbF replication', 'b1389 replication', 'ECK1386 replication']
EG11889_REPLICATION	dctR replication	['dctR replication', 'yhiF replication', 'b3507 replication', 'ECK3491 replication']
EG11978_REPLICATION	rfbA replication	['rfbA replication', 'rmlA replication', 'som replication', 'b2039 replication', 'ECK2033 replication']
EG11464_REPLICATION	yigF replication	['yigF replication', 'b3817 replication', 'ECK3811 replication']
EG10835_REPLICATION	relA replication	['relA replication', 'RC replication', 'b2784 replication', 'ECK2778 replication']
EG10771_REPLICATION	proV replication	['proV replication', 'osrA replication', 'proU replication', 'b2677 replication', 'ECK2671 replication']
G6390_REPLICATION	lysY replication	['lysY replication', 'lysTg replication', 'lysTgamma replication', 'b0747 replication', 'ECK0736 replication']
EG10932_REPLICATION	sdhB replication	['sdhB replication', 'dhsB replication', 'b0724 replication', 'ECK0713 replication']
G7861_REPLICATION	yjfY replication	['yjfY replication', 'b4199 replication', 'ECK4195 replication']
EG10795_REPLICATION	purH replication	['purH replication', 'b4006 replication', 'ECK3998 replication']
G6094_REPLICATION	ldcC replication	['ldcC replication', 'ldc replication', 'ldcH replication', 'b0186 replication', 'ECK0185 replication']
G7689_REPLICATION	tldD replication	['tldD replication', 'yhdO replication', 'b3244 replication', 'ECK3233 replication']
EG30101_REPLICATION	thrT replication	['thrT replication', 'b3979 replication', 'ECK3970 replication']
G7349_REPLICATION	yfiP replication	['yfiP replication', 'b2583 replication', 'ECK2581 replication']
EG10220_REPLICATION	deoB replication	['deoB replication', 'tlr replication', 'drm replication', 'thyR replication', 'b4383 replication', 'ECK4375 replication']
EG10678_REPLICATION	oppF replication	['oppF replication', 'b1247 replication', 'ECK1241 replication']
EG30058_REPLICATION	metT replication	['metT replication', 'metTalpha replication', 'b0673 replication', 'ECK0661 replication']
EG11858_REPLICATION	fdoG replication	['fdoG replication', 'b3894 replication', 'ECK3887 replication']
G6994_REPLICATION	yoaC replication	['yoaC replication', 'b1810 replication', 'ECK1808 replication']
EG10361_REPLICATION	gabT replication	['gabT replication', 'b2662 replication', 'ECK2656 replication']
EG12286_REPLICATION	sgbU replication	['sgbU replication', 'yiaR replication', 'b3582 replication', 'ECK3571 replication']
G7571_REPLICATION	mqsA replication	['mqsA replication', 'ygiT replication', 'b3021 replication', 'ECK3012 replication']
EG30042_REPLICATION	hisR replication	['hisR replication', 'hisT replication', 'b3797 replication', 'ECK3790 replication']
G6668_REPLICATION	ynaJ replication	['ynaJ replication', 'b1332 replication', 'ECK1328 replication']
EG11329_REPLICATION	gabD replication	['gabD replication', 'b2661 replication', 'ECK2655 replication']
G7341_REPLICATION	yphE replication	['yphE replication', 'b2547 replication', 'ECK2544 replication']
EG30024_REPLICATION	aspU replication	['aspU replication', 'b0206 replication', 'ECK0206 replication']
EG12656_REPLICATION	mdaB replication	['mdaB replication', 'mda66 replication', 'b3028 replication', 'ECK3019 replication']
G6331_REPLICATION	ybdN replication	['ybdN replication', 'b0602 replication', 'ECK0596 replication']
EG12386_REPLICATION	csiR replication	['csiR replication', 'ygaE replication', 'gabC replication', 'b2664 replication', 'ECK2658 replication']
EG11845_REPLICATION	yihS replication	['yihS replication', 'squS replication', 'b3880 replication', 'ECK3873 replication']
EG11390_REPLICATION	uspA replication	['uspA replication', 'b3495 replication', 'ECK3480 replication']
EG30008_REPLICATION	alaT replication	['alaT replication', 'talA replication', 'b3853 replication', 'ECK3845 replication']
EG12421_REPLICATION	ybiI replication	['ybiI replication', 'b0803 replication', 'ECK0792 replication']
G7502_REPLICATION	guaD replication	['guaD replication', 'ygfP replication', 'b2883 replication', 'ECK2879 replication']
EG12801_REPLICATION	mlaF replication	['mlaF replication', 'vpsA(S.f.) replication', 'yrbF replication', 'b3195 replication', 'ECK3184 replication']
EG30114_REPLICATION	valY replication	['valY replication', 'valUgamma replication', 'b2403 replication', 'ECK2397 replication']
EG11801_REPLICATION	hybC replication	['hybC replication', 'b2994 replication', 'ECK2988 replication']
EG11807_REPLICATION	yebF replication	['yebF replication', 'b1847 replication', 'ECK1848 replication']
G7293_REPLICATION	maeB replication	['maeB replication', 'ypfF replication', 'b2463 replication', 'ECK2458 replication']
EG10350_REPLICATION	fucK replication	['fucK replication', 'b2803 replication', 'ECK2798 replication']
G6749_REPLICATION	hicB replication	['hicB replication', 'ydcQ replication', 'b1438 replication', 'ECK1432 replication']
EG30095_REPLICATION	serV replication	['serV replication', 'supD replication', 'b2695 replication', 'ECK2690 replication']
EG11155_REPLICATION	ygdB replication	['ygdB replication', 'b2824 replication', 'ECK2820 replication']
G7040_REPLICATION	yedL replication	['yedL replication', 'b1932 replication', 'ECK1931 replication']
EG11959_REPLICATION	alsA replication	['alsA replication', 'yjcW replication', 'b4087 replication', 'ECK4080 replication']
EG30055_REPLICATION	lysT replication	['lysT replication', 'supL replication', 'supG replication', 'sua replication', 'lysTalpha replication', 'Su[beta] replication', 'b0743 replication', 'ECK0732 replication']
EG10469_REPLICATION	hyaB replication	['hyaB replication', 'b0973 replication', 'ECK0964 replication']
G7746_REPLICATION	yhgF replication	['yhgF replication', 'b3407 replication', 'ECK3394 replication']
EG12164_REPLICATION	ytjC replication	['ytjC replication', 'gpmB replication', 'b4395 replication', 'ECK4387 replication']
G7723_REPLICATION	frlB replication	['frlB replication', 'yhfN replication', 'b3371 replication', 'ECK3359 replication']
G6337_REPLICATION	rnk replication	['rnk replication', 'b0610 replication', 'ECK0603 replication']
EG30039_REPLICATION	glyW replication	['glyW replication', 'ins replication', 'mutC replication', 'suA58 replication', 'suA78 replication', 'b1911 replication', 'ECK1910 replication']
G7261_REPLICATION	yfeS replication	['yfeS replication', 'b2420 replication', 'ECK2415 replication']
EG11699_REPLICATION	gpmA replication	['gpmA replication', 'gpm replication', 'b0755 replication', 'ECK0744 replication']
EG10558_REPLICATION	malK replication	['malK replication', 'malB replication', 'b4035 replication', 'ECK4027 replication']
EG30021_REPLICATION	asnU replication	['asnU replication', 'b1986 replication', 'ECK1981 replication']
EG11228_REPLICATION	fdnH replication	['fdnH replication', 'b1475 replication', 'ECK1469 replication']
G6955_REPLICATION	ynjH replication	['ynjH replication', 'b1760 replication', 'ECK1758 replication']
EG11685_REPLICATION	yicI replication	['yicI replication', 'b3656 replication', 'ECK3646 replication']
G6986_REPLICATION	dmlA replication	['dmlA replication', 'ttuC replication', 'yeaU replication', 'b1800 replication', 'ECK1798 replication']
EG10949_REPLICATION	sfsA replication	['sfsA replication', 'sfs replication', 'sfs1 replication', 'b0146 replication', 'ECK0145 replication']
EG30111_REPLICATION	valV replication	['valV replication', 'b1665 replication', 'ECK1661 replication']
G6624_REPLICATION	ymgE replication	['ymgE replication', 'tag replication', 'b1195 replication', 'ECK1183 replication']
EG11517_REPLICATION	glpX replication	['glpX replication', 'b3925 replication', 'ECK3917 replication']
G6800_REPLICATION	lsrA replication	['lsrA replication', 'ego replication', 'ydeX replication', 'b1513 replication', 'ECK1506 replication']
EG30092_REPLICATION	selC replication	['selC replication', 'fdhC replication', 'b3658 replication', 'ECK3648 replication']
G7429_REPLICATION	casB replication	['casB replication', 'ygcK replication', 'cse2 replication', 'b2759 replication', 'ECK2754 replication']
G6194_REPLICATION	yahO replication	['yahO replication', 'b0329 replication', 'ECK0327 replication']
EG11447_REPLICATION	csrA replication	['csrA replication', 'zfiA replication', 'b2696 replication', 'ECK2691 replication']
G6653_REPLICATION	ycjS replication	['ycjS replication', 'b1315 replication', 'ECK1310 replication']
G7715_REPLICATION	yheO replication	['yheO replication', 'b3346 replication', 'ECK3333 replication']
EG30052_REPLICATION	leuW replication	['leuW replication', 'feeB replication', 'b0672 replication', 'ECK0660 replication']
EG12225_REPLICATION	yhiJ replication	['yhiJ replication', 'b3488 replication', 'ECK3473 replication']
EG11245_REPLICATION	yggF replication	['yggF replication', 'yggK replication', 'b2930 replication', 'ECK2926 replication']
EG12627_REPLICATION	dppD replication	['dppD replication', 'b3541 replication', 'ECK3528 replication']
EG30036_REPLICATION	glyT replication	['glyT replication', 'sumA replication', 'sup15B replication', 'supA36 replication', 'b3978 replication', 'ECK3969 replication']
EG11398_REPLICATION	hdeA replication	['hdeA replication', 'yhiB replication', 'yhhC replication', 'b3510 replication', 'ECK3494 replication']
EG11749_REPLICATION	yadE replication	['yadE replication', 'b0130 replication', 'ECK0129 replication']
EG11239_REPLICATION	ybhA replication	['ybhA replication', 'b0766 replication', 'ECK0755 replication']
EG12734_REPLICATION	uxaA replication	['uxaA replication', 'ygjW replication', 'b3091 replication', 'ECK3082 replication']
EG11731_REPLICATION	ravA replication	['ravA replication', 'yieN replication', 'b3746 replication', 'ECK3740 replication']
EG30018_REPLICATION	argY replication	['argY replication', 'argVbeta replication', 'b2693 replication', 'ECK2688 replication']
EG11127_REPLICATION	yciG replication	['yciG replication', 'b1259 replication', 'ECK1253 replication']
EG10948_REPLICATION	maeA replication	['maeA replication', 'sfcA replication', 'b1479 replication', 'ECK1473 replication']
EG11630_REPLICATION	potG replication	['potG replication', 'b0855 replication', 'ECK0846 replication']
G7991_REPLICATION	cysT replication	['cysT replication', 'b1910 replication', 'ECK1909 replication']
G7426_REPLICATION	casE replication	['casE replication', 'ygcH replication', 'cse3 replication', 'cas6e replication', 'b2756 replication', 'ECK2751 replication']
G7651_REPLICATION	yhbT replication	['yhbT replication', 'b3157 replication', 'ECK3145 replication']
EG10759_REPLICATION	ppsA replication	['ppsA replication', 'pps replication', 'b1702 replication', 'ECK1700 replication']
EG11957_REPLICATION	alsE replication	['alsE replication', 'yjcU replication', 'b4085 replication', 'ECK4078 replication']
G7595_REPLICATION	aer replication	['aer replication', 'yqjJ replication', 'air replication', 'b3072 replication', 'ECK3062 replication']
EG30108_REPLICATION	tyrV replication	['tyrV replication', 'tyrTbeta replication', 'b1230 replication', 'ECK1225 replication']
G7180_REPLICATION	yfbN replication	['yfbN replication', 'b2273 replication', 'ECK2267 replication']
EG10703_REPLICATION	pgk replication	['pgk replication', 'b2926 replication', 'ECK2922 replication']
EG10452_REPLICATION	hisP replication	['hisP replication', 'b2306 replication', 'ECK2300 replication']
EG30066_REPLICATION	proK replication	['proK replication', 'proV replication', 'b3545 replication', 'ECK3532 replication']
EG10571_REPLICATION	mazE replication	['mazE replication', 'chpAI replication', 'chpR replication', 'b2783 replication', 'ECK2777 replication']
G6928_REPLICATION	ydiY replication	['ydiY replication', 'b1722 replication', 'ECK1720 replication']
EG10702_REPLICATION	pgi replication	['pgi replication', 'b4025 replication', 'ECK4017 replication']
EG11708_REPLICATION	glvG replication	['glvG replication', 'yidM replication', 'b3681 replication', 'ECK3673 replication']
EG11431_REPLICATION	yfeC replication	['yfeC replication', 'b2398 replication', 'ECK2392 replication']
EG30049_REPLICATION	leuT replication	['leuT replication', 'b3798 replication', 'ECK3791 replication']
G6549_REPLICATION	ymdA replication	['ymdA replication', 'b1044 replication', 'ECK1030 replication']
EG10688_REPLICATION	pck replication	['pck replication', 'pckA replication', 'b3403 replication', 'ECK3390 replication']
G6752_REPLICATION	ydcT replication	['ydcT replication', 'b1441 replication', 'ECK1435 replication']
EG30033_REPLICATION	gltU replication	['gltU replication', 'tgtC replication', 'b3757 replication', 'ECK3751 replication']
EG12634_REPLICATION	cas3 replication	['cas3 replication', 'ygcB replication', 'b2761 replication', 'ECK2756 replication']
G0-16640_REPLICATION	ytiA replication	['ytiA replication', 'b4715 replication', 'ECK4572 replication']
EG10576_REPLICATION	mdh replication	['mdh replication', 'b3236 replication', 'ECK3225 replication']
EG10016_REPLICATION	garL replication	['garL replication', 'yhaF replication', 'b3126 replication', 'ECK3114 replication']
G6936_REPLICATION	cedA replication	['cedA replication', 'ydjP replication', 'b1731 replication', 'ECK1729 replication']
EG30015_REPLICATION	argV replication	['argV replication', 'argValpha replication', 'b2694 replication', 'ECK2689 replication']
EG12119_REPLICATION	ychJ replication	['ychJ replication', 'b1233 replication', 'ECK1228 replication']
EG10374_REPLICATION	ggt replication	['ggt replication', 'b3447 replication', 'ECK3431 replication']
EG12347_REPLICATION	tcyN replication	['tcyN replication', 'yecC replication', 'b1917 replication', 'ECK1916 replication']
EG30105_REPLICATION	trpT replication	['trpT replication', 'su7 replication', 'su8 replication', 'su9 replication', 'supU replication', 'supV replication', 'b3761 replication', 'ECK3755 replication']
G7430_REPLICATION	casA replication	['casA replication', 'ygcL replication', 'cse1 replication', 'b2760 replication', 'ECK2755 replication']
EG11662_REPLICATION	yedK replication	['yedK replication', 'yedG replication', 'b1931 replication', 'ECK1930 replication']
EG10368_REPLICATION	epd replication	['epd replication', 'gapB replication', 'gap2 replication', 'b2927 replication', 'ECK2923 replication']
G6721_REPLICATION	paaY replication	['paaY replication', 'ydbZ replication', 'b1400 replication', 'ECK1397 replication']
G6444_REPLICATION	rcdA replication	['rcdA replication', 'ybjK replication', 'b0846 replication', 'ECK0836 replication']
EG30062_REPLICATION	metZ replication	['metZ replication', 'metZalpha replication', 'b2814 replication', 'ECK2810 replication']
G7604_REPLICATION	ygjP replication	['ygjP replication', 'b3085 replication', 'ECK3075 replication']
EG10367_REPLICATION	gapA replication	['gapA replication', 'gad replication', 'gap1 replication', 'b1779 replication', 'ECK1777 replication']
EG10295_REPLICATION	fepC replication	['fepC replication', 'b0588 replication', 'ECK0581 replication']
EG30046_REPLICATION	ileX replication	['ileX replication', 'b3069 replication', 'ECK3059 replication']
G7427_REPLICATION	casD replication	['casD replication', 'ygcI replication', 'cas5e replication', 'b2757 replication', 'ECK2752 replication']
G7152_REPLICATION	yfaP replication	['yfaP replication', 'b2225 replication', 'ECK2218 replication']
EG10283_REPLICATION	fbp replication	['fbp replication', 'fdp replication', 'b4232 replication', 'ECK4227 replication']
EG12419_REPLICATION	gatY replication	['gatY replication', 'yegF replication', 'b2096 replication', 'ECK2089 replication']
EG20044_REPLICATION	dctA replication	['dctA replication', 'b3528 replication', 'ECK3513 replication']
EG30030_REPLICATION	glnW replication	['glnW replication', 'glnU-beta replication', 'glnUbeta replication', 'b0668 replication', 'ECK0658 replication']
G6844_REPLICATION	ynfD replication	['ynfD replication', 'b1586 replication', 'ECK1581 replication']
EG10258_REPLICATION	eno replication	['eno replication', 'b2779 replication', 'ECK2773 replication']
G6429_REPLICATION	gsiA replication	['gsiA replication', 'yliA replication', 'b0829 replication', 'ECK0819 replication']
EG30012_REPLICATION	alaX replication	['alaX replication', 'alaWbeta replication', 'b2396 replication', 'ECK2390 replication']
EG11250_REPLICATION	chpS replication	['chpS replication', 'chpBI replication', 'yjfB replication', 'b4224 replication', 'ECK4220 replication']
G6469_REPLICATION	ycaP replication	['ycaP replication', 'b0906 replication', 'ECK0897 replication']
EG11162_REPLICATION	fumE replication	['fumE replication', 'yggD replication', 'b2929 replication', 'ECK2925 replication']
EG12253_REPLICATION	kdgK replication	['kdgK replication', 'yhjI replication', 'b3526 replication', 'ECK3511 replication']
G6391_REPLICATION	lysZ replication	['lysZ replication', 'b0748 replication', 'ECK0737 replication']
