Object ID	Display Name	Synonyms
EG11979_TRANSLATION	rfbC translation	['rfbC translation', 'rfbD translation', 'rmlC translation', 'b2038 translation', 'ECK2032 translation']
EG11991_TRANSLATION	yehE translation	['yehE translation', 'b2112 translation', 'ECK2105 translation']
EG12302_TRANSLATION	tmk translation	['tmk translation', 'ycfG translation', 'b1098 translation', 'ECK1084 translation']
EG12320_TRANSLATION	yadG translation	['yadG translation', 'b0127 translation', 'ECK0126 translation']
EG11428_TRANSLATION	sthA translation	['sthA translation', 'sth translation', 'udhA translation', 'b3962 translation', 'ECK3954 translation']
EG10649_TRANSLATION	ndh translation	['ndh translation', 'b1109 translation', 'ECK1095 translation']
EG11650_TRANSLATION	yafD translation	['yafD translation', 'b0209 translation', 'ECK0209 translation']
EG11045_TRANSLATION	udp translation	['udp translation', 'b3831 translation', 'ECK3825 translation']
EG10818_TRANSLATION	rbsK translation	['rbsK translation', 'b3752 translation', 'ECK3746 translation']
EG11257_TRANSLATION	dgcC translation	['dgcC translation', 'yaiC translation', 'adrA translation', 'b0385 translation', 'ECK0380 translation']
EG10566_TRANSLATION	manA translation	['manA translation', 'pmi translation', 'b1613 translation', 'ECK1608 translation']
G7468_TRANSLATION	yqeJ translation	['yqeJ translation', 'b2848 translation', 'ECK2846 translation']
EG10413_TRANSLATION	gpp translation	['gpp translation', 'gppA translation', 'b3779 translation', 'ECK3771 translation']
EG10290_TRANSLATION	fecE translation	['fecE translation', 'b4287 translation', 'ECK4277 translation']
EG12411_TRANSLATION	rfbD translation	['rfbD translation', 'rmlD translation', 'b2040 translation', 'ECK2034 translation']
EG10468_TRANSLATION	hyaA translation	['hyaA translation', 'b0972 translation', 'ECK0963 translation']
G7015_TRANSLATION	yobB translation	['yobB translation', 'b1843 translation', 'ECK1844 translation']
EG11971_TRANSLATION	nupC translation	['nupC translation', 'cru translation', 'b2393 translation', 'ECK2388 translation']
EG10053_TRANSLATION	araB translation	['araB translation', 'b0063 translation', 'ECK0064 translation']
G6273_TRANSLATION	ylbG translation	['ylbG translation', 'b0502 translation', 'ECK0495 translation']
EG11789_TRANSLATION	gmm translation	['gmm translation', 'nudD translation', 'wcaH translation', 'yefC translation', 'b2051 translation', 'ECK2045 translation']
G6742_TRANSLATION	ydcL translation	['ydcL translation', 'b1431 translation', 'ECK1424 translation']
EG10994_TRANSLATION	tdk translation	['tdk translation', 'b1238 translation', 'ECK1233 translation']
G6423_TRANSLATION	ybiT translation	['ybiT translation', 'b0820 translation', 'ECK0810 translation']
EG11060_TRANSLATION	ushA translation	['ushA translation', 'b0480 translation', 'ECK0474 translation']
EG11227_TRANSLATION	fdnG translation	['fdnG translation', 'b1474 translation', 'ECK1468 translation']
G6354_TRANSLATION	ybeT translation	['ybeT translation', 'b0647 translation', 'ECK0640 translation']
EG10810_TRANSLATION	pyrG translation	['pyrG translation', 'b2780 translation', 'ECK2774 translation']
M009_TRANSLATION	hcaE translation	['hcaE translation', 'yfhU translation', 'digA translation', 'phdC1 translation', 'hcaA translation', 'hcaA1 translation', 'b2538 translation', 'ECK2535 translation']
EG11181_TRANSLATION	bfd translation	['bfd translation', 'yheA translation', 'b3337 translation', 'ECK3324 translation']
EG10161_TRANSLATION	cpsB translation	['cpsB translation', 'rfbM translation', 'manC translation', 'mni translation', 'b2049 translation', 'ECK2043 translation']
EG12448_TRANSLATION	ybcH translation	['ybcH translation', 'b0567 translation', 'ECK0559 translation']
EG10223_TRANSLATION	deoR translation	['deoR translation', 'nucR translation', 'b0840 translation', 'ECK0830 translation']
EG12275_TRANSLATION	xylG translation	['xylG translation', 'b3567 translation', 'ECK3556 translation']
EG12412_TRANSLATION	rfbB translation	['rfbB translation', 'som translation', 'rmlB translation', 'b2041 translation', 'ECK2035 translation']
EG10318_TRANSLATION	fldA translation	['fldA translation', 'b0684 translation', 'ECK0672 translation']
EG11882_TRANSLATION	yiiX translation	['yiiX translation', 'b3937 translation', 'ECK3929 translation']
EG11700_TRANSLATION	pnuC translation	['pnuC translation', 'b0751 translation', 'ECK0740 translation']
G6710_TRANSLATION	paaB translation	['paaB translation', 'ynbF translation', 'b1389 translation', 'ECK1386 translation']
EG11889_TRANSLATION	dctR translation	['dctR translation', 'yhiF translation', 'b3507 translation', 'ECK3491 translation']
EG11978_TRANSLATION	rfbA translation	['rfbA translation', 'rmlA translation', 'som translation', 'b2039 translation', 'ECK2033 translation']
EG11464_TRANSLATION	yigF translation	['yigF translation', 'b3817 translation', 'ECK3811 translation']
EG10835_TRANSLATION	relA translation	['relA translation', 'RC translation', 'b2784 translation', 'ECK2778 translation']
EG10771_TRANSLATION	proV translation	['proV translation', 'osrA translation', 'proU translation', 'b2677 translation', 'ECK2671 translation']
G6390_TRANSLATION	lysY translation	['lysY translation', 'lysTg translation', 'lysTgamma translation', 'b0747 translation', 'ECK0736 translation']
EG10932_TRANSLATION	sdhB translation	['sdhB translation', 'dhsB translation', 'b0724 translation', 'ECK0713 translation']
G7861_TRANSLATION	yjfY translation	['yjfY translation', 'b4199 translation', 'ECK4195 translation']
EG10795_TRANSLATION	purH translation	['purH translation', 'b4006 translation', 'ECK3998 translation']
G6094_TRANSLATION	ldcC translation	['ldcC translation', 'ldc translation', 'ldcH translation', 'b0186 translation', 'ECK0185 translation']
G7689_TRANSLATION	tldD translation	['tldD translation', 'yhdO translation', 'b3244 translation', 'ECK3233 translation']
EG30101_TRANSLATION	thrT translation	['thrT translation', 'b3979 translation', 'ECK3970 translation']
G7349_TRANSLATION	yfiP translation	['yfiP translation', 'b2583 translation', 'ECK2581 translation']
EG10220_TRANSLATION	deoB translation	['deoB translation', 'tlr translation', 'drm translation', 'thyR translation', 'b4383 translation', 'ECK4375 translation']
EG10678_TRANSLATION	oppF translation	['oppF translation', 'b1247 translation', 'ECK1241 translation']
EG30058_TRANSLATION	metT translation	['metT translation', 'metTalpha translation', 'b0673 translation', 'ECK0661 translation']
EG11858_TRANSLATION	fdoG translation	['fdoG translation', 'b3894 translation', 'ECK3887 translation']
G6994_TRANSLATION	yoaC translation	['yoaC translation', 'b1810 translation', 'ECK1808 translation']
EG10361_TRANSLATION	gabT translation	['gabT translation', 'b2662 translation', 'ECK2656 translation']
EG12286_TRANSLATION	sgbU translation	['sgbU translation', 'yiaR translation', 'b3582 translation', 'ECK3571 translation']
G7571_TRANSLATION	mqsA translation	['mqsA translation', 'ygiT translation', 'b3021 translation', 'ECK3012 translation']
EG30042_TRANSLATION	hisR translation	['hisR translation', 'hisT translation', 'b3797 translation', 'ECK3790 translation']
G6668_TRANSLATION	ynaJ translation	['ynaJ translation', 'b1332 translation', 'ECK1328 translation']
EG11329_TRANSLATION	gabD translation	['gabD translation', 'b2661 translation', 'ECK2655 translation']
G7341_TRANSLATION	yphE translation	['yphE translation', 'b2547 translation', 'ECK2544 translation']
EG30024_TRANSLATION	aspU translation	['aspU translation', 'b0206 translation', 'ECK0206 translation']
EG12656_TRANSLATION	mdaB translation	['mdaB translation', 'mda66 translation', 'b3028 translation', 'ECK3019 translation']
G6331_TRANSLATION	ybdN translation	['ybdN translation', 'b0602 translation', 'ECK0596 translation']
EG12386_TRANSLATION	csiR translation	['csiR translation', 'ygaE translation', 'gabC translation', 'b2664 translation', 'ECK2658 translation']
EG11845_TRANSLATION	yihS translation	['yihS translation', 'squS translation', 'b3880 translation', 'ECK3873 translation']
EG11390_TRANSLATION	uspA translation	['uspA translation', 'b3495 translation', 'ECK3480 translation']
EG30008_TRANSLATION	alaT translation	['alaT translation', 'talA translation', 'b3853 translation', 'ECK3845 translation']
EG12421_TRANSLATION	ybiI translation	['ybiI translation', 'b0803 translation', 'ECK0792 translation']
G7502_TRANSLATION	guaD translation	['guaD translation', 'ygfP translation', 'b2883 translation', 'ECK2879 translation']
EG12801_TRANSLATION	mlaF translation	['mlaF translation', 'vpsA(S.f.) translation', 'yrbF translation', 'b3195 translation', 'ECK3184 translation']
EG30114_TRANSLATION	valY translation	['valY translation', 'valUgamma translation', 'b2403 translation', 'ECK2397 translation']
EG11801_TRANSLATION	hybC translation	['hybC translation', 'b2994 translation', 'ECK2988 translation']
EG11807_TRANSLATION	yebF translation	['yebF translation', 'b1847 translation', 'ECK1848 translation']
G7293_TRANSLATION	maeB translation	['maeB translation', 'ypfF translation', 'b2463 translation', 'ECK2458 translation']
EG10350_TRANSLATION	fucK translation	['fucK translation', 'b2803 translation', 'ECK2798 translation']
G6749_TRANSLATION	hicB translation	['hicB translation', 'ydcQ translation', 'b1438 translation', 'ECK1432 translation']
EG30095_TRANSLATION	serV translation	['serV translation', 'supD translation', 'b2695 translation', 'ECK2690 translation']
EG11155_TRANSLATION	ygdB translation	['ygdB translation', 'b2824 translation', 'ECK2820 translation']
G7040_TRANSLATION	yedL translation	['yedL translation', 'b1932 translation', 'ECK1931 translation']
EG11959_TRANSLATION	alsA translation	['alsA translation', 'yjcW translation', 'b4087 translation', 'ECK4080 translation']
EG30055_TRANSLATION	lysT translation	['lysT translation', 'supL translation', 'supG translation', 'sua translation', 'lysTalpha translation', 'Su[beta] translation', 'b0743 translation', 'ECK0732 translation']
EG10469_TRANSLATION	hyaB translation	['hyaB translation', 'b0973 translation', 'ECK0964 translation']
G7746_TRANSLATION	yhgF translation	['yhgF translation', 'b3407 translation', 'ECK3394 translation']
EG12164_TRANSLATION	ytjC translation	['ytjC translation', 'gpmB translation', 'b4395 translation', 'ECK4387 translation']
G7723_TRANSLATION	frlB translation	['frlB translation', 'yhfN translation', 'b3371 translation', 'ECK3359 translation']
G6337_TRANSLATION	rnk translation	['rnk translation', 'b0610 translation', 'ECK0603 translation']
EG30039_TRANSLATION	glyW translation	['glyW translation', 'ins translation', 'mutC translation', 'suA58 translation', 'suA78 translation', 'b1911 translation', 'ECK1910 translation']
G7261_TRANSLATION	yfeS translation	['yfeS translation', 'b2420 translation', 'ECK2415 translation']
EG11699_TRANSLATION	gpmA translation	['gpmA translation', 'gpm translation', 'b0755 translation', 'ECK0744 translation']
EG10558_TRANSLATION	malK translation	['malK translation', 'malB translation', 'b4035 translation', 'ECK4027 translation']
EG30021_TRANSLATION	asnU translation	['asnU translation', 'b1986 translation', 'ECK1981 translation']
EG11228_TRANSLATION	fdnH translation	['fdnH translation', 'b1475 translation', 'ECK1469 translation']
G6955_TRANSLATION	ynjH translation	['ynjH translation', 'b1760 translation', 'ECK1758 translation']
EG11685_TRANSLATION	yicI translation	['yicI translation', 'b3656 translation', 'ECK3646 translation']
G6986_TRANSLATION	dmlA translation	['dmlA translation', 'ttuC translation', 'yeaU translation', 'b1800 translation', 'ECK1798 translation']
EG10949_TRANSLATION	sfsA translation	['sfsA translation', 'sfs translation', 'sfs1 translation', 'b0146 translation', 'ECK0145 translation']
EG30111_TRANSLATION	valV translation	['valV translation', 'b1665 translation', 'ECK1661 translation']
G6624_TRANSLATION	ymgE translation	['ymgE translation', 'tag translation', 'b1195 translation', 'ECK1183 translation']
EG11517_TRANSLATION	glpX translation	['glpX translation', 'b3925 translation', 'ECK3917 translation']
G6800_TRANSLATION	lsrA translation	['lsrA translation', 'ego translation', 'ydeX translation', 'b1513 translation', 'ECK1506 translation']
EG30092_TRANSLATION	selC translation	['selC translation', 'fdhC translation', 'b3658 translation', 'ECK3648 translation']
G7429_TRANSLATION	casB translation	['casB translation', 'ygcK translation', 'cse2 translation', 'b2759 translation', 'ECK2754 translation']
G6194_TRANSLATION	yahO translation	['yahO translation', 'b0329 translation', 'ECK0327 translation']
EG11447_TRANSLATION	csrA translation	['csrA translation', 'zfiA translation', 'b2696 translation', 'ECK2691 translation']
G6653_TRANSLATION	ycjS translation	['ycjS translation', 'b1315 translation', 'ECK1310 translation']
G7715_TRANSLATION	yheO translation	['yheO translation', 'b3346 translation', 'ECK3333 translation']
EG30052_TRANSLATION	leuW translation	['leuW translation', 'feeB translation', 'b0672 translation', 'ECK0660 translation']
EG12225_TRANSLATION	yhiJ translation	['yhiJ translation', 'b3488 translation', 'ECK3473 translation']
EG11245_TRANSLATION	yggF translation	['yggF translation', 'yggK translation', 'b2930 translation', 'ECK2926 translation']
EG12627_TRANSLATION	dppD translation	['dppD translation', 'b3541 translation', 'ECK3528 translation']
EG30036_TRANSLATION	glyT translation	['glyT translation', 'sumA translation', 'sup15B translation', 'supA36 translation', 'b3978 translation', 'ECK3969 translation']
EG11398_TRANSLATION	hdeA translation	['hdeA translation', 'yhiB translation', 'yhhC translation', 'b3510 translation', 'ECK3494 translation']
EG11749_TRANSLATION	yadE translation	['yadE translation', 'b0130 translation', 'ECK0129 translation']
EG11239_TRANSLATION	ybhA translation	['ybhA translation', 'b0766 translation', 'ECK0755 translation']
EG12734_TRANSLATION	uxaA translation	['uxaA translation', 'ygjW translation', 'b3091 translation', 'ECK3082 translation']
EG11731_TRANSLATION	ravA translation	['ravA translation', 'yieN translation', 'b3746 translation', 'ECK3740 translation']
EG30018_TRANSLATION	argY translation	['argY translation', 'argVbeta translation', 'b2693 translation', 'ECK2688 translation']
EG11127_TRANSLATION	yciG translation	['yciG translation', 'b1259 translation', 'ECK1253 translation']
EG10948_TRANSLATION	maeA translation	['maeA translation', 'sfcA translation', 'b1479 translation', 'ECK1473 translation']
EG11630_TRANSLATION	potG translation	['potG translation', 'b0855 translation', 'ECK0846 translation']
G7991_TRANSLATION	cysT translation	['cysT translation', 'b1910 translation', 'ECK1909 translation']
G7426_TRANSLATION	casE translation	['casE translation', 'ygcH translation', 'cse3 translation', 'cas6e translation', 'b2756 translation', 'ECK2751 translation']
G7651_TRANSLATION	yhbT translation	['yhbT translation', 'b3157 translation', 'ECK3145 translation']
EG10759_TRANSLATION	ppsA translation	['ppsA translation', 'pps translation', 'b1702 translation', 'ECK1700 translation']
EG11957_TRANSLATION	alsE translation	['alsE translation', 'yjcU translation', 'b4085 translation', 'ECK4078 translation']
G7595_TRANSLATION	aer translation	['aer translation', 'yqjJ translation', 'air translation', 'b3072 translation', 'ECK3062 translation']
EG30108_TRANSLATION	tyrV translation	['tyrV translation', 'tyrTbeta translation', 'b1230 translation', 'ECK1225 translation']
