This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
J04423	2438.15	2962.19	2614.23
J04423	379	403	368
X03453	145.584	173.106	174.611
X03453	110.451	115.552	125.227
L38424	401.06	489.395	460.971
L38424	153.363	198.24	195.67
L38424	206.827	277.852	265.728
X17013	40.4182	57.8081	42.3266
X17013	55.6635	61.7391	56.729
X17013	32.0834	60.5737	57.4629
M24537B	182.831	182.046	182.868
M24537B	396.411	435.849	366.469
M24537B	218.031	274.186	248.345
X04603	346.592	379.652	302.006
X04603	246.973	243.805	270.1
X04603	242.219	271.631	273.98
K01391	834.827	783.054	762.348
K01391	149.807	193.411	188.538
K01391	269.614	360.596	336.581
K03455.1	14.4999	32.9942	18.103
K03455.1	38.1612	50.4281	48.2798
K03455.1	32.211	48.3149	47.8222
	1046.4	918.126	1069.03
	100.767	101.642	111.609
b0001	2269.57	2880.54	3945.92
	1140.45	1166.67	1149.37
b0002	4180.99	5050.84	6021.02
b0003	2672.31	3182.65	3823.63
b0004	3024.22	3472.13	4034.8
	476.051	329.006	321.65
b0005	347.468	408.006	446.079
	97.7151	88.5536	88.0584
b0006	433.411	413.316	551.813
	56.685	33.1747	25.8468
b0007	324.84	337.369	386.07
	243.806	248.841	243.933
b0008	3867.93	4439.91	5269.27
	170.741	108.119	140.923
b0009	548.706	595.784	785.248
	17.1647	14.4725	23.6519
b0010	451.579	404.126	578.623
	59.5463	52.418	53.5156
b0011	238.483	196.663	326.668
b0012	8.91214	13.8108	17.2851
	2924.66	3335.4	3847.35
b0013	166.383	194.903	253.611
	650.011	457.857	473.86
b0014	3474.6	3813.14	4375.62
	1127.57	1151.85	1263.46
b0015	2244.65	2329.55	2735.09
	1573.63	1096.75	916.66
b0016	965.689	856.719	956.61
b0017	434.627	419.635	516.795
	378.201	351.115	392.444
	238.339	183.105	210.657
b0018	133.245	156.685	144.668
	53.6125	46.1466	36.4051
b0019	868.023	869.436	941.521
	211.366	136.929	142.906
b0020	580.687	588.651	639.175
	213.344	186.779	205.733
b0022	550.298	402.506	409.15
	308.797	268.312	224.868
b0023	3382.46	3778.9	4410.54
	250.43	172.192	170.024
b0024	54.1026	50.2721	76.2306
b0025	2201.13	2153.17	2505.81
	4006.83	3422.26	3702.54
b0026	2136.28	2205.37	2577.23
b0027	1407.73	1400.5	1577.45
	1726.31	1520.49	1506.97
b0028	1339.77	1310.43	1442.38
b0029	964.98	880.618	1001.18
	142.068	109.527	110.605
b0030	532.001	527.657	632.307
	533.307	496.032	477.008
b0031	2254.9	2092.63	2493.77
	57.3674	46.7663	40.9752
b0032	3695.75	3438.34	4151.08
b0033	3543.35	3561.93	4000.02
	431.854	169.128	220.334
b0034	612.987	621.294	696.758
	240.661	183.537	211.59
b0035	61.6742	100.427	107.361
b0036	1048.52	1340.06	1239.73
b0037	287.701	353.553	366.133
	207.201	234.73	244.867
b0038	520.12	630.475	522.95
	1357.86	1245.72	1255.84
b0039	525.169	679.79	685.369
b0040	65.7965	77.3888	105.48
	349.018	359.128	377.707
b0041	647.219	691.047	664.748
b0042	509.487	614.264	557.352
	113.294	101.691	98.2951
b0043	191.358	258.295	249.048
b0044	218.672	228.229	271.411
	175.948	160.298	180.551
b0045	1837.27	2176.44	2930.6
	-3.72295	15.5874	23.644
b0046	308.613	351.885	375.074
