"Gene Name"	"Accession-1"	"Object ID"
G7602	"b3083"	"G7602"
EG11001	"b1719"	"EG11001"
EG10335	"b0172"	"EG10335"
EG11087	"b0097"	"EG11087"
EG11255	"b0637"	"EG11255"
G7211	"b2340"	"G7211"
EG11207	"b4012"	"EG11207"
EG12658	"b3026"	"EG12658"
EG10850	"b4373"	"EG10850"
EG12007	"b2126"	"EG12007"
EG10724	"b4093"	"EG10724"
G7345	"b2556"	"G7345"
EG10443	"b1507"	"EG10443"
EG11211	"b4155"	"EG11211"
G6318	"b0570"	"G6318"
EG12270	"b3550"	"EG12270"
G7836	"b4146"	"G7836"
G7350	"b2584"	"G7350"
G6344	"b0618"	"G6344"
EG11132	"b1703"	"EG11132"
EG10026	"b4016"	"EG10026"
EG12385	"b2216"	"EG12385"
G0-10617	"b4662"	"G0-10617"
G812	"b4237"	"G812"
EG12314	"b0101"	"EG12314"
G6905	"b1679"	"G6905"
EG12854	"b0742"	"EG12854"
EG10811	"b4244"	"EG10811"
G7851	"b4188"	"G7851"
EG11682	"b3204"	"EG11682"
EG10170	"b3806"	"EG10170"
G6550	"b1045"	"G6550"
EG11238	"b0773"	"EG11238"
G6116	"b0232"	"G6116"
G0-10473	"b4566"	"G0-10473"
G7953	"b4379"	"G7953"
EG12194	"b0999"	"EG12194"
G7313	"b2496"	"G7313"
EG11835	"b3866"	"EG11835"
EG10255	"b2209"	"EG10255"
G6991	"b1807"	"G6991"
EG11260	"b3765"	"EG11260"
G7579	"b3032"	"G7579"
EG12121	"b1235"	"EG12121"
G0-8863	"b4431"	"G0-8863"
G0-9941	"b4577"	"G0-9941"
G0-10671	"b4698"	"G0-10671"
G0-9606	"b4422"	"G0-9606"
G0-9042	"b4454"	"G0-9042"
G0-8878	"b4438"	"G0-8878"
G0-8866	"b4442"	"G0-8866"
G0-10677	"b4699"	"G0-10677"
G0-9608	"b4424"	"G0-9608"
G0-9581	"b4413"	"G0-9581"
G0-8899	"b4426"	"G0-8899"
G0-8872	"b4451"	"G0-8872"
G0-17009	"b4764"	"G0-17009"
G0-9611	"b4429"	"G0-9611"
G0-10202		"G0-10202"
G0-9603	"b4420"	"G0-9603"
EG30098	"b3864"	"EG30098"
G0-8901	"b4427"	"G0-8901"
G0-8873	"b4456"	"G0-8873"
G7885	"b4255"	"G7885"
G7610	"b3096"	"G7610"
G7063	"b1976"	"G7063"
G6925	"b1707"	"G6925"
G6603	"b1163"	"G6603"
G0-8910	"b4441"	"G0-8910"
G0-8867	"b4443"	"G0-8867"
G0-8785	"b4408"	"G0-8785"
G0-16700	"b4758"	"G0-16700"
G0-16649	"b4716"	"G0-16649"
G0-10699	"b4719"	"G0-10699"
G0-10580	"b4637"	"G0-10580"
