Gene	mRNA level (RPKM)	Translation efficiency (AU)
aaeA	[6]	NA
aaeB	6	0.22
aaeR	21	0.73
aaeX	[6]	NA
aas	26	0.56
aat	31	0.37
abgA	[1]	NA
abgB	[1]	NA
abgR	[3]	NA
abgT	[1]	NA
abrB	[5]	NA
accA	506	1.54
accB	1225	2.17
accC	1138	0.94
accD	511	1.32
aceA	64	1.79
aceB	73	0.62
aceE	3442	1.49
aceF	2857	1.62
aceK	16	0.04
ackA	1108	2.47
acnA	18	1.04
acnB	377	1.59
acpH	14	1.04
acpP	9325	2.95
acpS	51	0.56
acpT	51	0.72
acrA	251	1.18
acrB	253	0.63
acrD	7	0.59
acrE	[1]	NA
acrF	4	0.1
acrR	17	1.08
acs	6	1.83
actP	5	0.22
ada	10	0.16
add	24	2.32
ade	28	2.04
adhE	141	1.9
adhP	[4]	NA
adiA	[2]	NA
adiC	[1]	NA
adiY	[1]	NA
adk	473	3.35
adrA	[1]	NA
adrB	[1]	NA
aegA	[2]	NA
aer	[4]	NA
aes	[2]	NA
afuC	[2]	NA
agaB	[0]	NA
agaC	[1]	NA
agaD	[0]	NA
agaI	[1]	NA
agaR	88	0.55
agaS	[0]	NA
agaV	[2]	NA
agp	[4]	NA
ahpC	1828	3.89
ahpF	223	1.97
aidB	[4]	NA
ais	[6]	NA
alaA	104	1.67
alaC	48	1.93
alaS	501	1.3
aldA	28	1.51
aldB	[1]	NA
alkA	[4]	NA
alkB	[4]	NA
allA	[7]	NA
allB	[1]	NA
allC	[4]	NA
allD	[0]	NA
allR	88	1.54
allS	[1]	NA
alpA	[1]	NA
alr	91	0.49
alsA	[1]	NA
alsB	[4]	NA
alsC	[1]	NA
alsE	[2]	NA
alsK	[3]	NA
alx	33	0.8
amiA	64	0.81
amiB	69	0.38
amiC	68	0.46
amiD	26	0.41
amn	23	1.74
ampC	23	1.97
ampD	19	1.09
ampE	21	0.46
ampG	83	0.24
ampH	29	1.23
amtB	[5]	NA
amyA	[4]	NA
anmK	17	0.96
ansA	91	1.43
ansB	[7]	NA
ansP	27	0.82
apaG	140	0.06
apaH	33	1.05
apbE	25	0.59
aphA	12	1.77
appA	[2]	NA
appB	[3]	NA
appC	[2]	NA
appY	13	0.52
apt	483	2.46
aqpZ	[9]	NA
araA	[2]	NA
araB	[0]	NA
araC	16	0.52
araD	[1]	NA
araE	15	0.13
araF	[1]	NA
araG	[1]	NA
araH	[2]	NA
araJ	11	0.28
arcA	394	1.56
arcB	29	0.61
argA	[5]	NA
argB	12	0.82
argC	10	0.45
argD	44	1.13
argE	20	1.43
argF	10	1.62
argG	42	2.36
argH	20	1.31
argI	[2]	NA
argK	[1]	NA
argO	28	1.16
argP	33	1.86
argR	181	1.53
argS	195	1.93
argT	28	1.16
ariR	[6]	NA
arnA	9	0.64
arnB	10	0.82
arnC	[7]	NA
arnD	[4]	NA
arnE	[2]	NA
arnF	[1]	NA
arnT	[2]	NA
aroA	77	1.24
aroB	443	0.13
aroC	128	0.75
aroD	17	2.59
aroE	141	0.62
aroF	43	0.64
aroG	153	2.5
aroH	73	1.42
aroK	744	1.31
aroL	67	0.45
aroM	33	0.72
aroP	88	0.73
arpA	[0]	NA
arrD	[6]	NA
arrQ	[0]	NA
arsB	7	0.5
arsC	[8]	NA
arsR	[9]	NA
artI	128	2
artJ	14	2.94
artM	76	0.49
artP	100	1.07
artQ	86	0.46
ascB	[5]	NA
ascF	[4]	NA
ascG	18	0.93
asd	263	2.07
aslA	[2]	NA
aslB	[3]	NA
asmA	43	0.25
asnA	216	1.83
asnB	63	2.23
asnC	21	2.49
asnS	718	1.87
aspA	118	0.73
aspC	139	2.48
aspS	366	1.75
asr	[1]	NA
astA	[0]	NA
astB	[1]	NA
astC	[1]	NA
astD	[1]	NA
astE	[1]	NA
atoA	[0]	NA
atoB	[1]	NA
atoC	[2]	NA
atoD	[0]	NA
atoE	[0]	NA
atoS	[1]	NA
atpA	2724	0.87
atpB	1695	0.48
atpC	2193	0.45
atpD	2177	1.08
atpE	4114	2.11
atpF	3109	0.44
atpG	1914	0.4
atpH	2938	0.24
atpI	764	0.02
avtA	117	1.26
azoR	27	4.28
azuC	350	1.72
bacA	112	1.19
baeR	28	1.55
baeS	[4]	NA
bamA	378	0.79
bamB	311	0.76
bamC	342	0.6
bamD	268	1.9
bamE	351	1.25
barA	22	0.49
basR	47	1.08
basS	31	0.6
bax	113	0.49
bcp	279	2.73
bcr	61	0.3
bcsA	7	0.1
bcsB	8	0.83
bcsC	10	0.3
bcsE	53	0.48
bcsF	[38]	NA
bcsG	32	0.7
bcsZ	8	0.39
bdm	[0]	NA
betA	15	0.69
betB	27	0.95
betI	44	0.1
betT	19	0.33
bfd	[14]	NA
bfr	20	0.74
bglA	101	2.24
bglB	[1]	NA
bglF	[1]	NA
bglG	[1]	NA
bglH	[1]	NA
bglJ	[1]	NA
bglX	56	1.05
bhsA	40	4.39
bioA	106	1.43
bioB	193	1.98
bioC	126	0.34
bioD	109	1.66
bioF	156	0.4
bioH	36	1.43
birA	66	0.6
bisC	30	0.63
blc	[2]	NA
blr	77	0.83
bolA	94	1.59
borD	798	2.02
brnQ	248	1.1
bsmA	[9]	NA
bssR	[1]	NA
bssS	104	0.11
btuB	126	1.4
btuC	25	0.25
btuD	27	0.31
btuE	30	0.98
btuF	36	0.31
btuR	25	0.78
cadA	[1]	NA
cadB	[1]	NA
cadC	[2]	NA
caiA	10	0.38
caiB	[4]	NA
caiC	[4]	NA
caiD	[2]	NA
caiE	[2]	NA
caiF	[5]	NA
caiT	[1]	NA
can	370	1.69
carA	33	1.06
carB	28	1.48
casA	[1]	NA
casB	[2]	NA
casC	[2]	NA
casD	[4]	NA
casE	[5]	NA
cbl	[1]	NA
cbpA	22	1.77
cbpM	29	1.27
cbrA	[3]	NA
cbrB	[7]	NA
cbrC	[13]	NA
cca	42	0.47
ccmA	[11]	NA
ccmB	[11]	NA
ccmC	21	0.63
ccmD	[21]	NA
ccmE	20	0.62
ccmF	16	0.23
ccmG	[13]	NA
ccmH	15	0.43
cdaR	[6]	NA
cdd	16	1.47
cdh	40	1.01
cdsA	213	0.27
cedA	[32]	NA
cfa	67	1.2
chaA	45	0.73
chaB	[3]	NA
chaC	[11]	NA
chbA	[7]	NA
chbB	[15]	NA
chbC	[6]	NA
chbF	[2]	NA
chbG	[8]	NA
chbR	[4]	NA
cheA	[2]	NA
cheB	[1]	NA
cheR	[0]	NA
cheW	[4]	NA
cheY	[2]	NA
cheZ	[3]	NA
chiA	10	0.74
chiP	[3]	NA
chiQ	[5]	NA
cho	[7]	NA
chpB	30	0.29
chpS	[23]	NA
cirA	8	0.78
citC	[0]	NA
citD	[0]	NA
citE	[0]	NA
citF	[1]	NA
citG	[0]	NA
citT	[2]	NA
citX	[0]	NA
