Generated by runscripts/reflect/model_inspection.py on Wed Jul 10 14:47:07 2019
Gene	RNA ID	Monomer ID	Process
aas	EG11679_RNA	AAS-MONOMER	Metabolism
aat	EG11112_RNA	EG11112-MONOMER	Metabolism
accA	EG11647_RNA	CARBOXYL-TRANSFERASE-ALPHA-MONOMER	Metabolism
accC	EG10276_RNA	BIOTIN-CARBOXYL-MONOMER	Metabolism
accD	EG10217_RNA	CARBOXYL-TRANSFERASE-BETA-MONOMER	Metabolism
aceE	EG10024_RNA	E1P-MONOMER	Metabolism
aceF	EG10025_RNA	E2P-MONOMER	Metabolism
ackA	EG10027_RNA	ACETATEKINA-MONOMER	Metabolism
acnA	EG11325_RNA	ACONITASE-MONOMER	Metabolism
acnB	EG12316_RNA	ACONITATEDEHYDRB-MONOMER	Metabolism
acpH	EG11095_RNA	EG11095-MONOMER	Metabolism
acpS	EG10247_RNA	HOLO-ACP-SYNTH-MONOMER	Metabolism
acpT	EG12221_RNA	EG12221-MONOMER	Metabolism
acrA	EG11703_RNA	EG11703-MONOMER	Metabolism
acrB	EG11704_RNA	ACRB-MONOMER	Metabolism
acs	EG11448_RNA	ACS-MONOMER	Metabolism
add	EG10030_RNA	ADENODEAMIN-MONOMER	Metabolism
ade	EG11692_RNA	EG11692-MONOMER	Metabolism
adhE	EG10031_RNA	ADHE-MONOMER	Metabolism
adhP	G6775_RNA	ADHP-MONOMER	Metabolism
adiA	EG11501_RNA	ARGDECARBOXDEG-MONOMER	Metabolism
adk	EG10032_RNA	ADENYL-KIN-MONOMER	Metabolism
ahr	EG11436_RNA	EG11436-MONOMER	Metabolism
aidB	EG11811_RNA	EG11811-MONOMER	Metabolism
alaA	G7184_RNA	G7184-MONOMER	Metabolism
alaC	G7242_RNA	G7242-MONOMER	Metabolism
alaE	G7399_RNA	G7399-MONOMER	Metabolism
alaS	EG10034_RNA	ALAS-MONOMER	Metabolism
aldA	EG10035_RNA	LACTALDDEHYDROG-MONOMER	Metabolism
aldB	EG12292_RNA	ALDDEHYDROGB-MONOMER	Metabolism
allB	G6281_RNA	G6281-MONOMER	Metabolism
allC	G6285_RNA	G6285-MONOMER	Metabolism
allE	G6284_RNA	G6284-MONOMER	Metabolism
alr	EG10001_RNA	ALARACEBIOSYN-MONOMER	Metabolism
alsA	EG11959_RNA	YJCW-MONOMER	Metabolism
