Generated by runscripts/reflect/model_inspection.py on Wed Jul 10 14:47:07 2019
Metabolite	Source
2-3-DIHYDROXYBENZOATE[c]	Bennett et al. 2009
2-KETOGLUTARATE[c]	Bennett et al. 2009
4-hydroxybenzoate[c]	Bennett et al. 2009
ACETOACETYL-COA[c]	Bennett et al. 2009
ACETYL-COA[c]	Bennett et al. 2009
ACETYL-P[c]	Bennett et al. 2009
ADENINE[c]	Bennett et al. 2009
ADENOSINE[c]	Bennett et al. 2009
ADP-D-GLUCOSE[c]	Bennett et al. 2009
ADP[c]	Bennett et al. 2009
AMP[c]	Bennett et al. 2009
ANTHRANILATE[c]	Bennett et al. 2009
APS[c]	Bennett et al. 2009
ARG[c]	Bennett et al. 2009
ASN[c]	Bennett et al. 2009
ATP[c]	Bennett et al. 2009
BIOTIN[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CA+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CA+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CARBAMYUL-L-ASPARTATE[c]	Bennett et al. 2009
CHORISMATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CIS-ACONITATE[c]	Bennett et al. 2009
CIT[c]	Bennett et al. 2009
CL-[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CMP[c]	Bennett et al. 2009
CO+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CO+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CO-A[c]	Bennett et al. 2009
CPD-12115[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12261[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12575[c]	Bennett et al. 2009
CPD-12819[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12824[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-13469[c]	Bennett et al. 2009
CPD-2961[c]	Bennett et al. 2009
CPD-8260[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-9956[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD0-939[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CTP[c]	Bennett et al. 2009
CYS[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CYTIDINE[c]	Bennett et al. 2009
CYTOSINE[c]	Bennett et al. 2009
DAMP[c]	Bennett et al. 2009
DATP[c]	Bennett et al. 2009
DCTP[c]	Bennett et al. 2009
DEOXYADENOSINE[c]	Bennett et al. 2009
DEOXYGUANOSINE[c]	Bennett et al. 2009
DGMP[c]	Bennett et al. 2009
DGTP[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
DI-H-OROTATE[c]	Bennett et al. 2009
DIHYDROXY-ACETONE-PHOSPHATE[c]	Bennett et al. 2009
ENTEROBACTIN[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FAD[c]	Bennett et al. 2009
FE+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FE+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FRUCTOSE-16-DIPHOSPHATE[c]	Bennett et al. 2009
FUM[c]	Bennett et al. 2009
G3P[c]	Bennett et al. 2009
GDP[c]	Bennett et al. 2009
GLC-D-LACTONE[c]	Bennett et al. 2009
GLN[c]	Bennett et al. 2009
GLT[c]	Bennett et al. 2009
GLUCONATE[c]	Bennett et al. 2009
GLUTATHIONE[c]	Bennett et al. 2009
GLYCERATE[c]	Bennett et al. 2009
GLYCEROL-3P[c]	Bennett et al. 2009
GLY[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
GMP[c]	Bennett et al. 2009
GTP[c]	Bennett et al. 2009
GUANINE[c]	Bennett et al. 2009
GUANOSINE[c]	Bennett et al. 2009
HISTIDINOL[c]	Bennett et al. 2009
HIS[c]	Bennett et al. 2009
HOMO-CYS[c]	Bennett et al. 2009
ILE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
K+[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
L-ALPHA-ALANINE[c]	Bennett et al. 2009
L-ASPARTATE[c]	Bennett et al. 2009
L-CITRULLINE[c]	Bennett et al. 2009
L-ORNITHINE[c]	Bennett et al. 2009
L-SELENOCYSTEINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
LEU[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
LYS[c]	Bennett et al. 2009
MALONYL-COA[c]	Bennett et al. 2009
MAL[c]	Bennett et al. 2009
METHYLENE-THF[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MET[c]	Bennett et al. 2009
MG+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MN+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MN+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
N-ACETYL-D-GLUCOSAMINE-1-P[c]	Bennett et al. 2009
N-ALPHA-ACETYLORNITHINE[c]	Bennett et al. 2009
NADH[c]	Bennett et al. 2009
NADPH[c]	Bennett et al. 2009
NADP[c]	Bennett et al. 2009
NAD[c]	Bennett et al. 2009
NI+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
NI+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
OXYGEN-MOLECULE[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PHENYL-PYRUVATE[c]	Bennett et al. 2009
PHE[c]	Bennett et al. 2009
PHOSPHO-ENOL-PYRUVATE[c]	Bennett et al. 2009
PI[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PI[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PPI[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PROPIONYL-COA[c]	Bennett et al. 2009
PROTOHEME[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PROTON[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PRO[c]	Bennett et al. 2009
PUTRESCINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PYRIDOXAL_PHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
QUINOLINATE[c]	Bennett et al. 2009
REDUCED-MENAQUINONE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
RIBOFLAVIN[c]	Bennett et al. 2009
S-ADENOSYLMETHIONINE[c]	Bennett et al. 2009
SER[c]	Bennett et al. 2009
SHIKIMATE[c]	Bennett et al. 2009
SIROHEME[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
SPERMIDINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
SUC-COA[c]	Bennett et al. 2009
SUC[c]	Bennett et al. 2009
TDP[c]	Bennett et al. 2009
THF[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
THIAMINE-PYROPHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
THR[c]	Bennett et al. 2009
TRP[c]	Bennett et al. 2009
TTP[c]	Bennett et al. 2009
TYR[c]	Bennett et al. 2009
UDP-GLUCURONATE[c]	Bennett et al. 2009
UDP-N-ACETYL-D-GLUCOSAMINE[c]	Bennett et al. 2009
UDP[c]	Bennett et al. 2009
UMP[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
UNDECAPRENYL-DIPHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
URIDINE[c]	Bennett et al. 2009
UTP[c]	Bennett et al. 2009
VAL[c]	Bennett et al. 2009
WATER[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ZN+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ZN+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
glycogen-monomer[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
