EG11530	fadD
EG10170	cyaA
EG10134	carA
EG10139	cdsA
EG10109	betA
EG10219	deoA
EG10124	bisC
EG10437	hflX
EG10743	pnp
EG10858	rnd
EG11140	uvrY
EG11149	gcvR
EG11179	rimP
EG11255	rsfS
EG11371	pgpC
EG11372	tadA
EG11373	mltF
EG11437	plsX
EG11591	lipB
EG11777	ybfG
EG12051	yejO
EG12205	cspF
EG12226	yhiK
EG12298	yibQ
EG12372	ygdG
EG12373	ygdH
EG12867	ampH
EG11284	fabZ
G6113	lfhA
G6133	ykfC
G6137	afuB
G6225	yaiU
G6316	ybcY
G6377	N/A
G6464	ftsK
G6493	ycbZ
G6510	cspH
G6551	ymdC
G6634	yciV
G6730	ynbD
G6768	N/A
G6808	yneF
G6882	slyA
G6927	arpB_2
G7053	yedS_2
G7061	zinT
G7078	yoeE
G7227	yfdO
G7228	yfdP
G7272	intZ
G7313	hda
G7345	glrK
EG12442	yfjD
G7366	rnlB
G7376	ypjM_1
G7484	ygeR
G7549	yghQ
G7579	cpdA
G7596	N/A
G7721	yhfK
G7823	yjcZ
G7832	fxsA
G7841	rsgA
G7899	yjgZ
G7903	yjhE
G7938	yjiT
G7952	yjjV
G8208	molR_2
G8209	molR_3
EG10524	lacA
EG12629	gntK
EG10418	gshA
EG10498	ilvG_1
G0-10555	N/A
G0-10558	N/A
G0-10605	N/A
EG10649	ndh
EG20257	nrdE
EG10819	rbsR
EG12591	mdoB
EG10775	psd
EG11893	dacD
EG10962	speD
EG10966	spoT
G6620	cvrA
G6987	yeaV
G7070	yeeO
