"Object ID"	"Primary Name"	"Synonyms"
"G6805-MONOMER"	"LsrG"	"[LsrG, YneC, phospho-AI-2 isomerase]"
"LCTP-MONOMER"	"Lct"	"[Lct, LctP, LldP]"
"G6284-MONOMER"	"UghY"	"[UghY, AllE, YlbA]"
"GLYCOGEN-BRANCH-MONOMER"	"GlgB"	"[GlgB]"
"DMK-MONOMER"	"YiiW"	"[YiiW, MenA]"
"G6912-MONOMER"	"MenI"	"[MenI, YdiI]"
"NAPHTHOATE-SYN-MONOMER"	"MenB"	"[MenB]"
"EG10041-MONOMER"	"AmpD"	"[AmpD]"
"PRIBFAICARPISOM-MONOMER"	"HisA"	"[HisA]"
"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER"	"ParF"	"[ParF, PlsC, LPAAT]"
"DXPREDISOM-MONOMER"	"YaeM"	"[YaeM, IspC, Dxr]"
"THIG-MONOMER"	"ThiB"	"[ThiB, ThiG]"
"DXS-MONOMER"	"YajP"	"[YajP, Dxs]"
"G6236-MONOMER"	"YajO"	"[YajO]"
"EG11081-MONOMER"	"YaaE"	"[YaaE, LytB, IspH]"
"EG10370-MONOMER"	"GcpE"	"[GcpE, IspG]"
"1-PFK-MONOMER"	"Fpk"	"[Fpk, FruF, FruK]"
"EG11268-MONOMER"	"Ftm"	"[Ftm, YhdD, Fmt]"
"G7641-MONOMER"	"RsmI"	"[RsmI, YraL, ribosomal RNA small subunit methyltransferase I]"
"G7950-MONOMER"	"YjjT"	"[YjjT, RsmC, ribosomal RNA small subunit methyltransferase C]"
"EG12233-MONOMER"	"RsmJ"	"[RsmJ, YhiQ]"
"EG10343-MONOMER"	"YhhF"	"[YhhF, RsmD]"
"EG12366-MONOMER"	"YggJ"	"[YggJ, RsmE]"
"EG11085-MONOMER"	"RsmH"	"[RsmH, YabC, MraW]"
"G7008-MONOMER"	"YebU"	"[YebU, RsmF, ribosomal RNA small subunit methyltransferase F]"
"EG12163-MONOMER"	"YhdB"	"[YhdB, RsmB, Fmv, Fmu, RrmB, Sun]"
"EG10523-MONOMER"	"KsgA"	"[KsgA, RsmA, ribosomal RNA small subunit methyltransferase A, rRNA small subunit methyltransferase A]"
"EG10376-MONOMER"	"GidB"	"[GidB, RsmG, rRNA small subunit 7-methylguanosine (m7G) methyltransferase, ribosomal RNA small subunit methyltransferase G]"
"EG12044-MONOMER"	"YejD"	"[YejD, RsuA]"
"CPDB-MONOMER"	"CpdB"	"[CpdB]"
"GPMA-MONOMER"	"Gpm"	"[Gpm, GpmA]"
"PGMI-MONOMER"	"GpmI"	"[GpmI, GpmC, GpmM, YibO, PgmI]"
"G7490-MONOMER"	"YgeX"	"[YgeX]"
"ENTA-MONOMER"	"EntA"	"[EntA]"
"PHENPRODIOLDEHYDROG-MONOMER"	"YfhX"	"[YfhX, PhdD, HcaB]"
"ENTE-MONOMER"	"EntE"	"[EntE]"
"EG12279-MONOMER"	"YiaK"	"[YiaK]"
"MONOMER0-422"	"YiaM"	"[YiaM]"
"EG12282-MONOMER"	"YiaN"	"[YiaN]"
"EG12283-MONOMER"	"YiaO"	"[YiaO]"
"DIENOYLCOAREDUCT-MONOMER"	"YgjL"	"[YgjL, FadH]"
"AKBLIG-MONOMER"	"Kbl"	"[Kbl]"
"H2PTERIDINEPYROPHOSPHOKIN-MONOMER"	"HPPK"	"[HPPK, FolK]"
"EG11870-MONOMER"	"YiiM"	"[YiiM, protein involved in base analog detoxification]"
"EG11816-MONOMER"	"YgbB"	"[YgbB, IspF]"
"G7423-MONOMER"	"YgbP"	"[YgbP, IspD, 4-diphosphocytidyl-2C-methyl-D-erythritol synthase]"
"DEHYDDEOXPHOSGALACT-ALDOL-MONOMER"	"YidU"	"[YidU, DgoA]"
"KDGT-MONOMER"	"KdgT"	"[KdgT]"
"DEHYDDEOXGALACTKIN-MONOMER"	"YidV"	"[YidV, DgoK]"
