"Object ID"	"Primary Name"	"Synonyms"
"GLYCOGENSYN-RXN"	"GLYCOGENSYN-ENZRXN"	"[GLYCOGENSYN-ENZRXN]"
"MALTODEXGLUCOSID-RXN"	"MALTODEXGLUCOSID-ENZRXN"	"[MALTODEXGLUCOSID-ENZRXN]"
"RXN0-5184"	"MALDEXPHOSPHORYL-ENZRXN"	"[MALDEXPHOSPHORYL-ENZRXN]"
"O-SUCCINYLBENZOATE-COA-SYN-RXN"	"O-SUCCINYLBENZOATE-COA-SYN-ENZRXN"	"[O-SUCCINYLBENZOATE-COA-SYN-ENZRXN]"
"RXN0-2381"	"ENZRXN0-3381"	"[ENZRXN0-3381]"
"TRYPSYN-RXN"	"TRYPSYN-ENZRXN"	"[TRYPSYN-ENZRXN]"
"RXN-17962"	"ENZRXN-25001"	"[ENZRXN-25001]"
"RXN-12071"	"ENZRXN-18610"	"[ENZRXN-18610]"
"DIENOYLCOAREDUCT-RXN"	"DIENOYLCOAREDUCT-ENZRXN"	"[DIENOYLCOAREDUCT-ENZRXN]"
"RXN-17785"	"ENZRXN0-8272"	"[ENZRXN0-8272, ENZRXN0-8259]"
"RXN0-5391"	"ENOYL-COA-DELTA-ISOM-ENZRXN"	"[ENOYL-COA-DELTA-ISOM-ENZRXN]"
"RXN-8992"	"ENZRXN-14556"	"[ENZRXN-14556]"
"RXN-8999"	"ENZRXN-17618"	"[ENZRXN-17618]"
"RXN-11776"	"ENZRXN0-8072"	"[ENZRXN0-8072]"
"RXN-17780"	"ENZRXN0-8274"	"[ENZRXN0-8274, ENZRXN0-8257]"
"RXN-17789"	"ENZRXN0-8271"	"[ENZRXN0-8271, ENZRXN0-8260]"
"DIHYDROXYISOVALDEHYDRAT-RXN"	"DIHYDROXYISOVALDEHYDRAT-ENZRXN"	"[DIHYDROXYISOVALDEHYDRAT-ENZRXN]"
"ACETOLACTREDUCTOISOM-RXN"	"ACETOLACTREDUCTOISOM-ENZRXN"	"[ACETOLACTREDUCTOISOM-ENZRXN]"
"4.2.1.99-RXN"	"ENZRXN0-1505"	"[ENZRXN0-1505]"
"METHYLISOCITRATE-LYASE-RXN"	"ENZRXN0-1521"	"[ENZRXN0-1521]"
"RXN-13163"	"3-ISOPROPYLMALISOM-ENZRXN"	"[3-ISOPROPYLMALISOM-ENZRXN]"
"3-ISOPROPYLMALDEHYDROG-RXN"	"ENZRXN0-7894"	"[ENZRXN0-7894, 3-ISOPROPYLMALDEHYDROG-ENZRXN]"
"TRANS-RXN0-453"	"ENZRXN0-7403"	"[ENZRXN0-7403]"
"TRANS-RXN0-454"	"ENZRXN0-7404"	"[ENZRXN0-7404]"
"DHBDEHYD-RXN"	"DHBDEHYD-ENZRXN"	"[DHBDEHYD-ENZRXN]"
"2-METHYLCITRATE-DEHYDRATASE-RXN"	"ENZRXN0-1501"	"[ENZRXN0-1501]"
"MHPCHYDROL-RXN"	"MHPCHYDROL-ENZRXN"	"[MHPCHYDROL-ENZRXN]"
"RXN-12070"	"ENZRXN-18609"	"[ENZRXN-18609]"
"RXN0-5390"	"ENZRXN0-6541"	"[ENZRXN0-6541]"
"PSERTRANSAMPYR-RXN"	"PSERTRANSAMPYR-ENZRXN"	"[PSERTRANSAMPYR-ENZRXN]"
"3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN"	"ENZRXN0-2421"	"[ENZRXN0-2421]"
"RXN-14255"	"ENZRXN-23128"	"[ENZRXN-23128]"
"RXN1-42"	"ENZRXN0-8129"	"[ENZRXN0-8129]"
"RXN-2425"	"ENZRXN0-8203"	"[ENZRXN0-8203]"
"RXN0-2044"	"ENZRXN0-2606"	"[ENZRXN0-2606]"
"RXN-14394"	"ENZRXN0-8293"	"[ENZRXN0-8293, ENZRXN0-7690]"
"RXN-13990"	"4OH2OXOGLUTARALDOL-ENZRXN"	"[4OH2OXOGLUTARALDOL-ENZRXN]"
"RXN-15216"	"ENZRXN0-7902"	"[ENZRXN0-7902]"
"RXN-17796"	"ENZRXN0-8248"	"[ENZRXN0-8248]"
"RXN-17782"	"ENZRXN0-8294"	"[ENZRXN0-8294, ENZRXN0-8287]"
"RXN-17783"	"ENZRXN0-8244"	"[ENZRXN0-8244]"
"RXN-17778"	"ENZRXN0-8296"	"[ENZRXN0-8296, ENZRXN0-8288]"
"RXN-17779"	"ENZRXN0-8243"	"[ENZRXN0-8243]"
"RXN-17792"	"ENZRXN0-8247"	"[ENZRXN0-8247]"
"RXN-17809"	"ENZRXN-24879"	"[ENZRXN-24879]"
"3.1.11.2-RXN"	"ENZRXN0-6299"	"[ENZRXN0-6299]"
"RXN-15878"	"ENZRXN0-7890"	"[ENZRXN0-7890]"
"TRANS-RXN0-279"	"ENZRXN0-6602"	"[ENZRXN0-6602]"
"RXN-14570"	"ENZRXN0-7984"	"[ENZRXN0-7984]"
"RXN-8655"	"ENZRXN0-1085"	"[ENZRXN0-1085]"
"TRANS-RXN-146"	"TRANS-ENZRXN-146"	"[TRANS-ENZRXN-146]"
"EXOPOLYPHOSPHATASE-RXN"	"PPX-ENZRXN"	"[PPX-ENZRXN]"
"AMINOPROPDEHYDROG-RXN"	"AMINOPROPDEHYDROG-ENZRXN"	"[AMINOPROPDEHYDROG-ENZRXN]"
"DIHYDROXYMETVALDEHYDRAT-RXN"	"DIHYDROXYMETVALDEHYDRAT-ENZRXN"	"[DIHYDROXYMETVALDEHYDRAT-ENZRXN]"
"ACETOOHBUTREDUCTOISOM-RXN"	"ACETOOHBUTREDUCTOISOM-ENZRXN"	"[ACETOOHBUTREDUCTOISOM-ENZRXN]"
"KETOGLUTREDUCT-RXN"	"KETOGLUTREDUCT-ENZRXN"	"[KETOGLUTREDUCT-ENZRXN]"
"P-PANTOCYSLIG-RXN"	"P-PANTOCYSLIG-ENZRXN"	"[P-PANTOCYSLIG-ENZRXN]"
"P-PANTOCYSDECARB-RXN"	"P-PANTOCYSDECARB-ENZRXN"	"[P-PANTOCYSDECARB-ENZRXN]"
"RXN-15743"	"ENZRXN-23022"	"[ENZRXN-23022]"
"DLACTDEHYDROGFAD-RXN"	"DLACTDEHYDROGFAD-ENZRXN"	"[DLACTDEHYDROGFAD-ENZRXN]"
"GLYOXIII-RXN"	"ENZRXN0-8125"	"[ENZRXN0-8125, GLYOXIII-ENZRXN]"
"DLACTDEHYDROGNAD-RXN"	"DLACTDEHYDROGNAD-ENZRXN"	"[DLACTDEHYDROGNAD-ENZRXN]"
"TRANS-RXN0-515"	"ENZRXN0-7560"	"[ENZRXN0-7560, ENZRXN0-7558]"
"1.1.1.83-RXN"	"ENZRXN0-6288"	"[ENZRXN0-6288]"
"TRANS-RXN0-451"	"ENZRXN0-7346"	"[ENZRXN0-7346]"
"METHYLMALONYL-COA-EPIM-RXN"	"METHYLMALONYL-COA-EPIM-ENZRXN"	"[METHYLMALONYL-COA-EPIM-ENZRXN]"
"METHYLMALONYL-COA-MUT-RXN"	"METHYLMALONYL-COA-MUT-ENZRXN"	"[METHYLMALONYL-COA-MUT-ENZRXN]"
"RXN0-310"	"ENZRXN0-249"	"[ENZRXN0-249]"
"RXN-12752"	"ENZRXN0-7484"	"[ENZRXN0-7484]"
"RXN-13142"	"ENZRXN-20099"	"[ENZRXN-20099]"
"2-DEHYDROPANTOATE-REDUCT-RXN"	"ENZRXN0-7696"	"[ENZRXN0-7696, 2-DEHYDROPANTOATE-REDUCT-ENZRXN]"
"1.1.1.168-RXN"	"DEHYDROPANTLACRED-ENZRXN"	"[DEHYDROPANTLACRED-ENZRXN]"
"PANTOTHENATE-KIN-RXN"	"PANTOTHENATE-KIN-ENZRXN"	"[PANTOTHENATE-KIN-ENZRXN]"
"GLYOXI-RXN"	"GLYOXI-ENZRXN"	"[GLYOXI-ENZRXN]"
"GLYOXII-RXN"	"ENZRXN0-7926"	"[ENZRXN0-7926, ENZRXN0-6200, GLYOXII-ENZRXN]"
