"Object ID"	"Primary Name"	"Synonyms"
"RRSG-RRNA"	"rrsG"	"[rrsG, rrsG 16S ribosomal RNA]"
"RRSC-RRNA"	"rrsC"	"[rrsC, rrsC 16S ribosomal RNA]"
"RRSH-RRNA"	"rrsH"	"[rrsH, rrsH 16S ribosomal RNA]"
"RRSD-RRNA"	"rrsD"	"[rrsD, rrsD 16S ribosomal RNA]"
"RRSA-RRNA"	"rrsA"	"[rrsA, 16S ribosomal RNA (rrsA)]"
"RRSE-RRNA"	"rrsE"	"[rrsE, rrsE 16S ribosomal RNA]"
"RRSB-RRNA"	"rrsB"	"[rrsB, rrsB 16S ribosomal RNA]"
"RRLG-RRNA"	"rrlG"	"[rrlG, rrlG 23S ribosomal RNA]"
"RRLC-RRNA"	"rrlC"	"[rrlC, rrlC 23S ribosomal RNA]"
"RRLH-RRNA"	"rrlH"	"[rrlH, rrlH 23S ribosomal RNA]"
"RRLD-RRNA"	"rrlD"	"[rrlD, rrlD 23S ribosomal RNA]"
"RRLA-RRNA"	"rrlA"	"[rrlA, 23S ribosomal RNA (rrlA)]"
"RRLE-RRNA"	"rrlE"	"[rrlE, rrlE 23S ribosomal RNA]"
"RRLB-RRNA"	"rrlB"	"[rrlB, rrlB 23S ribosomal RNA]"
"RRFD-RRNA"	"rrfD"	"[rrfD, rrfD 5S ribosomal RNA]"
"RRFA-RRNA"	"rrfA"	"[rrfA, 5S ribosomal RNA (rrfA)]"
"RRFH-RRNA"	"rrfH"	"[rrfH, rrfH 5S ribosomal RNA]"
"RRFE-RRNA"	"rrfE"	"[rrfE, rrfE 5S ribosomal RNA]"
"RRFB-RRNA"	"rrfB"	"[rrfB, rrfB 5S ribosomal RNA]"
"RRFF-RRNA"	"rrfF"	"[rrfF, rrfF 5S ribosomal RNA]"
"RRFC-RRNA"	"rrfC"	"[rrfC, rrfC 5S ribosomal RNA]"
"RRFG-RRNA"	"rrfG"	"[rrfG, rrnG, rrfG 5S ribosomal RNA]"
"6S-RNA"	"SsrS"	"[SsrS, Ssr]"
"RDLD-RNA"	"RdlD"	"[RdlD, RdlD antisense regulatory RNA of the LdrD-RdlD toxin-antitoxin system]"
"RNA0-165"	"SokB"	"[SokB]"
"RNA0-141"	"sof"	"[sof, SokC]"
"RNA0-385"	"RalA"	"[RalA, RalA antitoxin of the RalRA toxin-antitoxin system]"
"RNA0-358"	"I001"	"[I001, EyeA]"
"D-TRP-TRNATRP"	"D-Trp-tRNA<sup>Trp</sup>"	"[D-Trp-tRNA<sup>Trp</sup>]"
"D-TYROSYL-TRNATYR"	"D-Tyr-tRNA<sup>Tyr</sup>"	"[D-Tyr-tRNA<sup>Tyr</sup>]"
"RNA0-161"	"RdlA"	"[RdlA, RdlA antisense RNA, putative regulator of LdrA]"
"T44-RNA"	"T44"	"[T44, Tff, T44 putative small RNA or attenuator]"
"DICF-RNA"	"DicF"	"[DicF]"
"RNPB-RNA"	"RnpB"	"[RnpB, RnpB RNA, M1 ribozyme, RNase P ribozyme, ribonuclease P ribozyme, RNase P RNA, M1 RNA, RNase P catalytic RNA subunit, ribonuclease P catalytic RNA component, catalytic subunit of RNase P]"
