# M9 media + fumarate.
# fumarate concentration unknown
# M9 recipe from: Maniatis, T., Fritsch, E. F., & Sambrook, J. (1982).
# Molecular cloning: a laboratory manual (Vol. 545). Cold Spring Harbor, NY: Cold spring harbor laboratory.
"molecule id"	"concentration (units.mmol / units.L)"
"FUM[p]"	Infinity
"OXYGEN-MOLECULE[p]"	Infinity
"AMMONIUM[c]"	18.695
"NA+[p]"	103.7
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	Infinity
"CA+2[p]"	Infinity
"CL-[p]"	27.25
"CO+2[p]"	Infinity
"MG+2[p]"	2
"MN+2[p]"	Infinity
"NI+2[p]"	Infinity
"ZN+2[p]"	Infinity
"WATER[p]"	Infinity
"CARBON-DIOXIDE[p]"	Infinity
"CPD0-1958[p]"	Infinity
"L-SELENOCYSTEINE[c]"	Infinity
"GLC-D-LACTONE[c]"	Infinity
"CYTOSINE[c]"	Infinity
