# M9 media + 0.4pct. glucose + amino acids (5x Supplement EZ without VA Vitamin Solution).
# F. C. Neidhardt, P. L. Bloch, D. F. Smith, Journal of bacteriology 119, 736 (1974).
# https://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-76
"molecule id"	"concentration (units.mmol / units.L)"
"GLC[p]"	22.203
"OXYGEN-MOLECULE[p]"	Infinity
"AMMONIUM[c]"	18.695
"NA+[p]"	103.7
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	Infinity
"CA+2[p]"	Infinity
"CL-[p]"	27.25
"CO+2[p]"	Infinity
"MG+2[p]"	2
"MN+2[p]"	Infinity
"NI+2[p]"	Infinity
"ZN+2[p]"	Infinity
"WATER[p]"	Infinity
"CARBON-DIOXIDE[p]"	Infinity
"CPD0-1958[p]"	Infinity
"L-SELENOCYSTEINE[c]"	Infinity
"GLC-D-LACTONE[c]"	Infinity
"CYTOSINE[c]"	Infinity
"L-ALPHA-ALANINE[p]"	0.8
"ARG[p]"	5.2
"ASN[p]"	0.4
"L-ASPARTATE[p]"	0.4
"CYS[p]"	0.1
"GLT[p]"	0.6
"GLN[p]"	0.6
"GLY[p]"	0.8
"HIS[p]"	0.2
"ILE[p]"	0.4
"LEU[p]"	0.8
"LYS[p]"	0.4
"MET[p]"	0.2
"PHE[p]"	0.4
"PRO[p]"	0.4
"SER[p]"	10.0
"THR[p]"	0.4
"TRP[p]"	0.1
"TYR[p]"	0.2
"VAL[p]"	0.6
