# TODO: add multiple nutrients (eg succinate and fumarate for DcuR and succinate, acetate, anaerobic, etc for Crp and CreB)
# TODO: add CreB 2CS
"TF"	"active TF"	"active nutrients"	"active genotype perturbations"	"inactive nutrients"	"inactive genotype perturbations"	"TF type"
"trpR"	"CPLX-125"	"minimal_plus_amino_acids"	{}	"minimal"	{}	"1CS"
"argR"	"CPLX0-228"	"minimal_plus_amino_acids"	{}	"minimal"	{}	"1CS"
"argP"	"CPLX0-7669"	"minimal"	{}	"minimal_plus_amino_acids"	{}	"1CS"
"lrp"	"MONOMER0-155"	"minimal_plus_amino_acids"	{}	"minimal"	{}	"1CS"
"tyrR"	"MONOMER0-162"	"minimal_plus_amino_acids"	{}	"minimal"	{}	"1CS"
"putA"	"PUTA-CPLX"	"minimal"	{}	"minimal_plus_amino_acids"	{}	"1CS"
"araC"	"CPLX-172"	"minimal_plus_arabinose"	{}	"minimal"	{}	"1CS"
"bglJ"	"CPLX0-7916"	"minimal"	{}	"minimal"	{"G7948_RNA": 0}	"0CS"
"dnaA"	"MONOMER0-160"	"minimal"	{}	"minimal"	{"EG10235_RNA": 0}	"1CS"
"fis"	"CPLX0-7705"	"minimal"	{}	"minimal"	{"EG10317_RNA": 0}	"0CS"
"hns"	"PD00288"	"minimal"	{}	"minimal"	{"EG10457_RNA": 0}	"0CS"
"ihfA"	"PC00027"	"minimal"	{}	"minimal"	{"EG10440_RNA": 0}	"0CS"
"leuO"	"PD00519"	"minimal"	{}	"minimal"	{"EG10531_RNA": 0}	"0CS"
"lexA"	"PC00010"	"minimal"	{}	"minimal"	{"EG10533_RNA": 0}	"0CS"
"metJ"	"CPLX0-7796"	"minimal_plus_amino_acids"	{}	"minimal"	{}	"1CS"
"cytR"	"CPLX0-7740"	"minimal"	{}	"minimal_plus_cytidine"	{}	"1CS"
"fnr"	"FNR-4FE-4S-CPLX"	"minimal_minus_oxygen"	{"EG10061_RNA": 0}	"minimal"	{"EG10061_RNA": 0}	"1CS"
"arcA"	"PHOSPHO-ARCA"	"minimal_minus_oxygen"	{"EG10325_RNA": 0}	"minimal"	{"EG10325_RNA": 0}	"2CS"
"baeR"	"PHOSPHO-BAER"	"minimal_plus_indole"	{}	"minimal"	{}	"2CS"
"basR"	"PHOSPHO-BASR"	"minimal_plus_ferric"	{}	"minimal"	{}	"2CS"
"dcuR"	"PHOSPHO-DCUR"	"minimal_succinate"	{}	"minimal"	{}	"2CS"
"narL"	"PHOSPHO-NARL"	"minimal_plus_nitrate"	{}	"minimal"	{}	"2CS"
"crp"	"CPLX0-226"	"minimal_acetate"	{}	"minimal"	{}	"1CS"
"lrhA"	"EG12123-MONOMER"	"minimal"	{}	"minimal_plus_amino_acids"	{}	"0CS"
