"TF"	"Target"	"_comments"
"crp"	"cyaA"	"Disabled because of negative feedback in acetate - cyaA -> cAMP -> cAMP-crp"
"bglJ"	"leuO"	"Remove feedback loop between bglJ <-> leuO"
"leuO"	"bglJ"	"Remove feedback loop between bglJ <-> leuO"
"fnr"	"arcA"	"Remove to get expression of arcA"
"fis"	"gltX"	"Remove for more stable growth with ppGpp"
"arcA"	"rpsC"	"Remove r-Proteins for more stable growth"
"arcA"	"rpsJ"	"Remove r-Proteins for more stable growth"
"arcA"	"rpsQ"	"Remove r-Proteins for more stable growth"
"arcA"	"rpsS"	"Remove r-Proteins for more stable growth"
"argR"	"rpsO"	"Remove r-Proteins for more stable growth"
"crp"	"rpsF"	"Remove r-Proteins for more stable growth"
"crp"	"rpsI"	"Remove r-Proteins for more stable growth"
"crp"	"rpsO"	"Remove r-Proteins for more stable growth"
"crp"	"rpsR"	"Remove r-Proteins for more stable growth"
"fis"	"rpsO"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsC"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsI"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsJ"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsP"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsQ"	"Remove r-Proteins for more stable growth"
"fnr"	"rpsS"	"Remove r-Proteins for more stable growth"
"csiR"	"rpsF"	"Remove r-Proteins for more stable growth"
"lexA"	"rpsU"	"Remove r-Proteins for more stable growth"
"lrp"	"rpsH"	"Remove r-Proteins for more stable growth"
"arcA"	"rpmC"	"Remove r-Proteins for more stable growth"
"fnr"	"rpmC"	"Remove r-Proteins for more stable growth"
"mlrA"	"rpmA"	"Remove r-Proteins for more stable growth"
"nac"	"rpmH"	"Remove r-Proteins for more stable growth"
"nsrR"	"rpmI"	"Remove r-Proteins for more stable growth"
"arcA"	"rplB"	"Remove r-Proteins for more stable growth"
"arcA"	"rplC"	"Remove r-Proteins for more stable growth"
"arcA"	"rplD"	"Remove r-Proteins for more stable growth"
"arcA"	"rplP"	"Remove r-Proteins for more stable growth"
"arcA"	"rplV"	"Remove r-Proteins for more stable growth"
"arcA"	"rplW"	"Remove r-Proteins for more stable growth"
"crp"	"rplI"	"Remove r-Proteins for more stable growth"
"crp"	"rplM"	"Remove r-Proteins for more stable growth"
"fnr"	"rplB"	"Remove r-Proteins for more stable growth"
"fnr"	"rplC"	"Remove r-Proteins for more stable growth"
"fnr"	"rplD"	"Remove r-Proteins for more stable growth"
"fnr"	"rplM"	"Remove r-Proteins for more stable growth"
"fnr"	"rplP"	"Remove r-Proteins for more stable growth"
"fnr"	"rplS"	"Remove r-Proteins for more stable growth"
"fnr"	"rplV"	"Remove r-Proteins for more stable growth"
"fnr"	"rplW"	"Remove r-Proteins for more stable growth"
"lrp"	"rplF"	"Remove r-Proteins for more stable growth"
"lrp"	"rplR"	"Remove r-Proteins for more stable growth"
"mlrA"	"rplU"	"Remove r-Proteins for more stable growth"
"nac"	"rplU"	"Remove r-Proteins for more stable growth"
"nsrR"	"rplT"	"Remove r-Proteins for more stable growth"
