name	value	units	source	comments
avgCellCellCycleProgress	0.44			
avgCellDryMass	258	units.fg		
avgCellToInitalCellConvFactor	1.356604327			
avgCellWaterMass	602	units.fg		
cellDryMassFraction	0.3			
cellWaterMassFraction	0.7			
rrna23s_mass_sub_fraction	0.525		Neidhardt	'"This is the fraction of RNA that is 23S rRNA"'
rrna16s_mass_sub_fraction	0.271		Neidhardt	'"This is the fraction of RNA that is 16S rRNA"'
rrna5s_mass_sub_fraction	0.017		Neidhardt	'"This is the fraction of RNA that is 5S rRNA"'
trna_mass_sub_fraction	0.146		Neidhardt	'"This is the fraction of RNA that is tRNA"'
mrna_mass_sub_fraction	0.041		Neidhardt	'"This is the fraction of RNA that is mRNA"'




avgCellDryMassInit	190.180729	units.fg		
avgCellWaterMassInit	443.7550344	units.fg		
