"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"1.1.1.127-RXN"	{"2-DEHYDRO-3-DEOXY-D-GLUCONATE[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"CPD-343[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"BOTH"	["KDUD-MONOMER"]	
"1.1.1.215-RXN"	{"GLUCONATE[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"CPD-377[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-235"]	
"1.1.1.251-RXN"	{"GALACTITOL-1-PHOSPHATE[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"CPD-15826[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"BOTH"	["CPLX0-8186"]	
"1.1.1.271-RXN"	{"CPD-13118[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-3881"]	
"1.1.1.274-RXN"	{"CPD-377[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"25-DIDEHYDRO-D-GLUCONATE[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	[]	
"1.1.1.283-RXN"	{"LACTALD[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"METHYL-GLYOXAL[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["METHYLGLYREDUCT-MONOMER"]	
"1.1.1.39-RXN"	{"MAL[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"PYRUVATE[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1}	"L2R"	["MALIC-NAD-CPLX"]	
"1.1.1.83-RXN"	{"CPD-660[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"PYRUVATE[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1}	"L2R"	["G6986-MONOMER"]	
"1.11.1.15-RXN"	{"Red-Thioredoxin[CCO-CYTOSOL]":-1,"Alkyl-Hydro-Peroxides[CCO-CYTOSOL]":-1,"Ox-Thioredoxin[CCO-CYTOSOL]":1,"Alcohols[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-7747", "EG10108-MONOMER", "CPLX0-8157"]	
"1.13.11.16-RXN"	{"2-3-DIHYDROXYPHENYL-PROPIONATE[CCO-CYTOSOL]":-1,"OXYGEN-MOLECULE[CCO-CYTOSOL]":-1,"CPD-157[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["DHPDIOXYGEN-CPLX"]	
