# Generated by runscripts/reconstruction/metabolism_kinetics/convert_to_flat.py on Tue Feb  4 16:51:54 2020
reactionID	enzymeID	substrateIDs	Temp	rateEquationType	direction	kcat (1/units.s)	kM (units.umol/units.L)	kI (units.umol/units.L)	customRateEquation	customParameters	customParameterConstants	customParameterConstantValues	customParameterVariables	Pubmed ID
"1.1.1.215-RXN"	"CPLX0-235"	["CPD-377"]	25	"standard"		[40.7]	[1500]	[]						"11237876"
"1.1.1.262-RXN"	"CPLX0-7847"	["4-PHOSPHONOOXY-THREONINE"]	37	"standard"		[1.4]	[]	[]						"10225425"
"1.1.1.39-RXN"	"MALIC-NAD-CPLX"	["MAL","NAD"]	30	"standard"		[82.7]	[660,68.8]	[]						"17557829"
"1.1.1.39-RXN"	"MALIC-NAD-CPLX"	["PYRUVATE"]	30	"standard"		[2.93]	[2590]	[]						"17557829"
"1.1.1.83-RXN"	"G6986-MONOMER"	["CPD-660","NAD"]	25	"standard"		[11.7]	[96,94]	[]						"25160617"
"1.13.11.16-RXN"	"DHPDIOXYGEN-CPLX"	["2-3-DIHYDROXYPHENYL-PROPIONATE"]		"standard"		[29]	[26]	[]						"8399388"
"1.5.1.20-RXN"	"METHYLENETHFREDUCT-CPLX"	["METHYLENE-THF","NADH"]		"standard"		[23.5]	[3.9,17]	[]						"10201405"
"1.5.1.20-RXN"	"METHYLENETHFREDUCT-CPLX"	["METHYLENE-THF","NADH"]	4	"custom"		[]	[]	[]	"kcat*E*M*NADH/(KmM*NADH*(1+NADH/KiN)+KmN*M*(1+M/KiM)+M*NADH)"	["kcat","KmM","KiM","KmN","KiN","E","M","NADH"]	["kcat","KmM","KiM","KmN","KiN"]	[2.2,0.40,61,3.5,14]	{"E":"METHYLENETHFREDUCT-CPLX","M":"METHYLENE-THF","NADH":"NADH"}	"15865426"
"1.5.1.20-RXN"	"METHYLENETHFREDUCT-CPLX"	["METHYLENE-THF","NADH"]	25	"custom"		[]	[]	[]	"kcat*E*N*M/(KmN*M+KmM*N*(1+N/KiN)+N*M)"	["kcat","KmN","KmM","KiN","E","N","M"]	["kcat","KmN","KmM","KiN"]	[10.4,20,0.5,320]	{"E":"METHYLENETHFREDUCT-CPLX","N":"NADH","M":"METHYLENE-THF"}	"19610625"
"1.8.4.13-RXN"	"EG11433-MONOMER"	["CPD-8989","Red-Thioredoxin"]	25	"standard"		[3.7]	[1900,10]	[]						"11604533"
"1.8.4.13-RXN"	"EG11433-MONOMER"	["CPD-8989"]	37	"standard"		[0.333]	[170]	[]						"11677230"
"1.8.4.13-RXN"	"EG11433-MONOMER"	["CPD-8989","Red-Thioredoxin"]	25	"standard"		[3.7]	[1900,10]	[]						"15680231"
"1.8.4.13-RXN"	"EG11433-MONOMER"	["RED-THIOREDOXIN-MONOMER"]	25	"standard"		[3.1]	[6]	[]						"21570393"
"1.8.4.13-RXN"	"EG11433-MONOMER"	["RED-THIOREDOXIN2-MONOMER"]	25	"standard"		[2.7]	[37]	[]						"21570393"
"1.8.4.13-RXN"	"EG12394-MONOMER"	["RED-THIOREDOXIN-MONOMER"]	25	"standard"		[0.14]	[7]	[]						"21570393"
"1.8.4.13-RXN"	"EG12394-MONOMER"	["RED-THIOREDOXIN2-MONOMER"]	25	"standard"		[0.16]	[26]	[]						"21570393"
"1.8.4.13-RXN"	"G7005-MONOMER"	["RED-THIOREDOXIN-MONOMER"]	25	"standard"		[6.6]	[16]	[]						"21570393"
"1.8.4.14-RXN"	"EG12394-MONOMER"	["Red-Thioredoxin"]	25	"standard"		[1.1]	[58]	[]						"15680231"
"1.8.4.14-RXN"	"G7005-MONOMER"	["CPD-8990","Red-Thioredoxin"]		"standard"		[6.9]	[3900,9.8]	[]						"17535911"
"1.8.4.8-RXN"	"PAPSSULFOTRANS-CPLX"	["PAPS","RED-THIOREDOXIN-MONOMER"]	35	"standard"		[3.5]	[22.5,13.7]	[]						"10075658"
"1.8.4.8-RXN"	"PAPSSULFOTRANS-CPLX"	["RED-THIOREDOXIN2-MONOMER"]	35	"standard"		[3.5]	[34.2]	[]						"10075658"
"1.8.4.8-RXN"	"PAPSSULFOTRANS-CPLX"	["RED-GLUTAREDOXIN"]	35	"standard"		[3.5]	[14.9]	[]						"10075658"
"1PFRUCTPHOSN-RXN"	"1-PFK-MONOMER"	["FRU1P","ATP"]	30	"standard"		[167]	[160,200]	[]						"7575542"
"2-DEHYDROPANTOATE-REDUCT-RXN"	"2-DEHYDROPANTOATE-REDUCT-MONOMER"	["2-DEHYDROPANTOATE","NADPH"]	37	"standard"		[40]	[60,20]	[]						"11724562"
"2-DEHYDROPANTOATE-REDUCT-RXN"	"CPLX0-7643"	["2-DEHYDROPANTOATE"]	37	"standard"		[0.194]	[170]	[]						"15654896"
"2-DEHYDROPANTOATE-REDUCT-RXN"	"2-DEHYDROPANTOATE-REDUCT-MONOMER"	["2-DEHYDROPANTOATE","NADPH"]	27	"standard"		[25]	[30,7.3]	[]						"17229734"
"2-OXOPENT-4-ENOATE-HYDRATASE-RXN"	"CPLX0-7951"	["OXOPENTENOATE","OXALATE","PYRUVATE"]	25	"custom"		[450]	[41]	[4.9,2900]	"kcat*E*S/(km*(1+I1/ki1)+S)*(1/(1+I2/ki2))"	["kcat","km","ki1","ki2","E","S","I1","I2"]	["kcat","km","ki1","ki2"]	[450,41,4.9,2900]	{"E":"CPLX0-7951","S":"OXOPENTENOATE","I1":"OXALATE","I2":"PYRUVATE"}	"9492273"
"2.1.1.79-RXN"	"CFA-CPLX"	["S-ADENOSYLMETHIONINE"]	37	"standard"		[0.12]	[89.4]	[]						"15491158"
"2.1.1.79-RXN"	"CFA-CPLX"	["S-ADENOSYLMETHIONINE"]		"standard"		[2.2]	[90]	[]						"15606764"
"2.1.1.79-RXN"	"CFA-CPLX"	["S-ADENOSYLMETHIONINE"]	37	"standard"		[0.042]	[70]	[]						"16216082"
"2.1.1.79-RXN"	"CFA-CPLX"	["S-ADENOSYLMETHIONINE","ADENOSYL-HOMO-CYS","SINEFUNGIN","CPD0-1631"]	37	"standard"		[0.067]	[80]	[30,0.22,11]						"16872920"
"2.3.1.157-RXN"	"NAG1P-URIDYLTRANS-CPLX"	["ACETYL-COA"]	37	"standard"		[1350]	[]	[]						"11084021"
"2.5.1.19-RXN"	"AROA-MONOMER"	["SHIKIMATE-5P"]		"custom"	"forward"	[56.6]	[3.1999998]	[]	"kcat*E*S_1*S_2/(K_ia*K_b*(1+S_2/K_i)+K_a*S_2*(1+S_2/K_i)+K_b*S_1+S_1*S_2)"	["kcat","K_ia","K_b","K_i","K_a","S_1","S_2","E"]	["kcat","K_ia","K_b","K_i","K_a"]	[56.6,31,200,8200,3.6]	{"E":"AROA-MONOMER","S_1":"SHIKIMATE-5P","S_2":"PHOSPHO-ENOL-PYRUVATE"}	"1344882"
"2.5.1.19-RXN"	"AROA-MONOMER"	["PHOSPHO-ENOL-PYRUVATE"]	25	"standard"		[26.4]	[100]	[]						"18567546"
"2.5.1.19-RXN"	"AROA-MONOMER"	["SHIKIMATE-5P","PHOSPHO-ENOL-PYRUVATE"]	25	"standard"		[14]	[140,160]	[]						"19271774"
"2.5.1.64-RXN"	"CPLX0-7525"	["ISOCHORISMATE"]	22	"standard"		[0.05]	[0.053]	[]						"17760421"
"2.5.1.64-RXN"	"CPLX0-7525"	["2-KETOGLUTARATE"]	22	"standard"		[0.075]	[1.5]	[]						"17760421"
"2.5.1.64-RXN"	"CPLX0-7525"	["2-KETOGLUTARATE"]	25	"standard"		[0.28]	[9.9]	[]						"21928762"
"2.6.1.57-RXN"	"TYRB-DIMER"	["TRP","2-KETOGLUTARATE"]	25	"standard"		[160]	[500,590]	[]						"8218300"
"2.6.1.57-RXN"	"TYRB-DIMER"	["PHE","2-KETOGLUTARATE"]	25	"standard"		[250]	[260,1700]	[]						"8218300"
"2.6.1.57-RXN"	"TYRB-DIMER"	["TRP"]	25	"standard"		[350]	[680]	[]						"8639626"
"2.6.1.7-RXN"	"ASPAMINOTRANS-DIMER"	["CPD-14736"]	50	"standard"		[5.27]	[3000]	[]						"11736651"
"2.7.7.60-RXN"	"CPLX0-234"	["CTP","2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE"]	37	"standard"		[9]	[3,131]	[]						"10841550"
"2.7.7.60-RXN"	"CPLX0-234"	["2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE"]	30	"standard"		[16.8]	[32]	[]						"11408165"
"2.7.7.60-RXN"	"CPLX0-234"	["2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE"]	23	"standard"		[48.4]	[370]	[]						"15379557"
"2.7.7.60-RXN"	"CPLX0-234"	["CTP"]	23	"custom"	"forward"	[54.1]	[760]	[]	"kcat*E*S/(S+Km+(S**2/Ki))"	["kcat","Km","Ki","E","S"]	["kcat","Km","Ki"]	[54.1,760,19600]	{"E":"CPLX0-234","S":"CTP"}	"15379557"
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX"	["DETHIOBIOTIN"]	37	"standard"		[13.89]	[]	[]						"11686925"
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX"	["DETHIOBIOTIN"]	37	"standard"		[0.0000389]	[]	[]						"12471501"
"2.9.1.1-RXN"	"CPLX0-1141"	["SEPO3"]		"standard"		[0.0217]	[0.3]	[]						"9688279"
"3-DEHYDROQUINATE-SYNTHASE-RXN"	"AROB-MONOMER"	["3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P"]	20	"standard"		[150]	[0.6]	[]						"2514789"
"3-DEHYDROQUINATE-SYNTHASE-RXN"	"AROB-MONOMER"	["3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P"]	25	"standard"		[16]	[5.7]	[]						"21387027"
"3-ISOPROPYLMALDEHYDROG-RXN"	"3-ISOPROPYLMALDEHYDROG-CPLX"	["2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE","NAD"]	40	"standard"		[69]	[105,321]	[]						"9003442"
"3-ISOPROPYLMALDEHYDROG-RXN"	"G6986-MONOMER"	["2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE","NAD"]	25	"standard"		[0.102]	[24,70]	[]						"25160617"
"3-NUCLEOTID-RXN"	"APHA-CPLX"	["CPD-3708"]	37	"standard"		[39]	[1.7]	[]						"16297670"
"3-NUCLEOTID-RXN"	"APHA-CPLX"	["CPD-3724"]	37	"standard"		[61]	[1.2]	[]						"16297670"
"3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Dodecanoyl-ACPs/PROTON//ACP/3-oxo-myristoyl-ACPs/CARBON-DIOXIDE.76."	"3-OXOACYL-ACP-SYNTHII-CPLX"	["MALONYL-ACP"]	25	"standard"		[0.029]	[8.2]	[]						"22017312"
"3.1.3.68-RXN"	"G6932-MONOMER"	["2-DEOXY-D-GLUCOSE-6-PHOSPHATE"]		"standard"		[33]	[610]	[]						"16990279"
"3.1.3.68-RXN"	"G6932-MONOMER"	["MANNOSE-6P"]		"standard"		[11]	[4700]	[]						"16990279"
"3.1.3.68-RXN"	"G6932-MONOMER"	["DEOXY-RIBOSE-5P"]		"standard"		[9.4]	[2500]	[]						"16990279"
"3.1.3.68-RXN"	"G6932-MONOMER"	["RIBOSE-5P"]		"standard"		[2.8]	[2600]	[]						"16990279"
"3.1.3.68-RXN"	"G6932-MONOMER"	["GLC-6-P"]		"standard"		[25]	[3600]	[]						"16990279"
"3.1.3.74-RXN"	"EG11239-MONOMER"	["PYRIDOXAL_PHOSPHATE"]		"standard"		[1]	[370]	[]						"16990279"
"3.1.3.74-RXN"	"EG11470-MONOMER"	["PYRIDOXAL_PHOSPHATE"]		"standard"		[12]	[1500]	[]						"16990279"
"3.1.3.74-RXN"	"G6246-MONOMER"	["PYRIDOXAL_PHOSPHATE"]		"standard"		[0.58]	[680]	[]						"16990279"
"3.1.3.74-RXN"	"G6246-MONOMER"	["2-DEOXYGLUCOSE-6-PHOSPHATE"]		"standard"		[0.50]	[2500]	[]						"16990279"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]		"standard"		[1.16]	[214.4]	[]						"10419973"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	30	"standard"		[39]	[]	[]						"12755633"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]		"standard"		[20.2]	[860]	[]						"12849997"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	22	"standard"		[22.5]	[350]	[]						"14976199"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	30	"standard"		[18.3]	[3000]	[]						"16844071"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	30	"standard"		[3.9]	[50]	[]						"16963780"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]		"standard"		[18.3]	[3200]	[]						"18855426"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	30	"standard"		[84]	[1000]	[]						"18952013"
"3.4.11.18-RXN"	"EG10570-MONOMER"	["Protein-With-N-Terminal-Met"]	30	"standard"		[18.3]	[3000]	[]						"19019076"
"3.4.13.9-RXN"	"EG10698-MONOMER"	["Dipeptides-With-Proline-Carboxy"]	25	"standard"		[281]	[460]	[]						"15313226"
"3.4.21.83-RXN"	"EG11004-MONOMER"	["OLIGOPEPTIDES"]		"standard"		[0.024]	[250]	[]						"1769955"
"3.4.21.83-RXN"	"EG11004-MONOMER"	["OLIGOPEPTIDES"]		"standard"		[0.044]	[920]	[]						"1769955"
"3.4.21.89-RXN"	"EG10530-MONOMER"	["Peptides-with-Leader-Sequence"]		"standard"		[8.73]	[16.5]	[]						"7837264"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]	30	"standard"		[2100]	[19000]	[]						"9610360"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]	37	"standard"		[5.6]	[70000]	[]						"9665853"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]		"standard"		[1030]	[950]	[]						"9888804"
