"mw"	"location"	"id"	"is_aa"	"is_ntp"	"is_dntp"	"is_end"
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.0785, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ALA-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 157.1957, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ARG-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 114.1034, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ASN-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 114.0796, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ASP-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 103.1385, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized CYS-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 128.1064, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized GLU-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 128.1302, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized GLN-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 57.0517, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized GLY"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 137.1413, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized HIS-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 113.1589, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ILE-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 113.1589, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized LEU-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 129.1817, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized LYS-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 131.1921, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized MET-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 147.1761, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized PHE-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 97.1163, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized PRO-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 87.0775, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized SER-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 101.1043, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized THR-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 186.213, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized TRP-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 163.1751, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized TYR-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 149.0252, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized SEC-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99.1321, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized VAL-L"	true	false	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.0148, 0.0, 0.0, 0.0, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polypeptide terminal hydroxyl"	true	false	false	true
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 328.1999]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized ADN"	false	true	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 304.1739]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized CYTD"	false	true	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 344.1989]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized GSN"	false	true	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 305.158]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized URI"	false	true	false	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 174.9489]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Nucleic acid terminal pyrophosphate"	false	true	true	true
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 312.2009, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized DAD-2"	false	false	true	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 288.1749, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized DCYT"	false	false	true	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 328.1999, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized DGSN"	false	false	true	false
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 303.1858, 0.0]	["n", "j", "w", "c", "e", "m", "o", "p", "l", "i"]	"Polymerized THYMD"	false	false	true	false
