"molecule id"	"mean flux (units.dmol / units.L / units.s)"	"mean log10 flux (units.dmol / units.L / units.s)"	"standard deviation (units.dmol / units.L / units.s)"
"2-3-DIHYDROXYBENZOATE[c]"	2.79072886025e-07	-6.554564387	1.00490411004e-08
"2-KETOGLUTARATE[c]"	8.77405593108e-07	-6.05694984169	2.30875033066e-08
"4-hydroxybenzoate[c]"	1.03587028892e-07	-6.98595725292	7.86504665098e-09
"ACETOACETYL-COA[c]"	4.40733225114e-08	-7.36275245834	7.76596384671e-09
"ACETYL-COA[c]"	1.21625067215e-06	-5.91512237291	3.14989410341e-08
"ACETYL-P[c]"	2.19362226832e-06	-5.65897927347	5.59591785707e-08
"ADENINE[c]"	3.04151692673e-09	-8.36616446341	7.3685301594e-09
"ADENOSINE[c]"	3.17153102099e-10	-8.41380150809	7.25709355734e-09
"ADP-D-GLUCOSE[c]"	8.55858789867e-09	-8.17142743354	7.4522029104e-09
"ADP[c]"	1.11674452966e-06	-5.95219268803	2.90309186449e-08
"AMP[c]"	-4.17127885251e-05	-4.39420883125	1.08907018912e-05
"ANTHRANILATE[c]"	7.00724946344e-09	-8.23387635748	7.43632687201e-09
"APS[c]"	1.32594577425e-08	-7.97260599482	7.87951375549e-09
"ARG[c]"	0.000155020690224	-3.81003210235	6.82944093964e-06
"ASN[c]"	0.000127085326667	-3.89632912169	5.6109366589e-06
"ATP[c]"	0.000119512188197	-3.92284693541	4.13754368291e-06
"BIOTIN[c]"	3.41730854594e-08	-7.477303514	7.42663078386e-09
"CA+2[c]"	4.28802842349e-06	-5.36788061936	1.0829042211e-07
"CARBAMYUL-L-ASPARTATE[c]"	1.17654387487e-06	-5.92953970454	3.07210860291e-08
"CHORISMATE[c]"	1.6942770005e-07	-6.77156972312	8.54842182497e-09
"CIS-ACONITATE[c]"	3.19178118606e-08	-7.50896863998	7.50724729099e-09
"CIT[c]"	3.98815076381e-06	-5.39936664078	1.00698796954e-07
"CL-[c]"	4.28805714201e-06	-5.36787728212	1.08123446813e-07
"CMP[c]"	-4.15376446967e-05	-4.39843273961	1.16880035977e-05
"CO+2[c]"	2.09137589803e-08	-7.71497642644	7.45155742076e-09
"CO+2[p]"	1.99537728831e-07	-6.70042350427	9.05445254837e-09
"CO-A[c]"	2.7918003263e-06	-5.55425454752	7.06604842892e-08
"CPD-12115[c]"	1.69365020612e-07	-6.77174015728	8.61363514416e-09
"CPD-12261[p]"	3.1264374379e-06	-5.50508914184	7.91265405791e-08
"CPD-12575[c]"	4.98540116851e-06	-5.30243789122	1.257937403e-07
"CPD-12819[c]"	6.96965969407e-05	-4.15692608467	1.75624669909e-06
"CPD-12824[c]"	4.64591699705e-06	-5.33306650793	1.17198942304e-07
"CPD-13469[c]"	2.39313953779e-06	-5.62117163459	6.07393352156e-08
"CPD-2961[c]"	7.57746477962e-06	-5.12061407944	1.91178386087e-07
"CPD-8260[c]"	1.67257070998e-05	-4.77675317336	4.21465859292e-07
"CPD-9956[c]"	1.69206249892e-07	-6.77215448354	8.65374640963e-09
"CPD0-939[c]"	6.39618360051e-06	-5.19421687958	1.61258370326e-07
"CTP[c]"	0.000102525863816	-3.98943642048	3.6214975864e-06
"CYS[c]"	2.22653894438e-05	-4.65301852045	1.21577428805e-06
"CYTIDINE[c]"	5.35704662046e-09	-8.29049567805	7.64050097994e-09
"CYTOSINE[c]"	-8.04715445288e-23	-25.0	4.94163430504e-21
"DAMP[c]"	1.76338647291e-08	-7.80706841861	7.38617738229e-09
"DATP[c]"	1.00558140454e-05	-5.62105442945	6.5970030387e-06
"DCTP[c]"	1.04456073583e-05	-5.50866783137	6.88457568491e-06
"DEOXYADENOSINE[c]"	5.44701528666e-09	-8.28704809195	7.55229313931e-09
"DEOXYGUANOSINE[c]"	1.1894026063e-09	-8.39985901731	7.44351439948e-09
"DGMP[c]"	1.01649080867e-07	-6.9941863643	7.80283066684e-09
"DGTP[c]"	1.04078512929e-05	-5.61193733573	6.88409708693e-06
"DI-H-OROTATE[c]"	2.40691332942e-08	-7.6439274325	7.49816429619e-09
"DIHYDROXY-ACETONE-PHOSPHATE[c]"	7.37743834941e-07	-6.13225090684	1.98122508733e-08
"ENTEROBACTIN[c]"	1.69157455368e-07	-6.77226355558	8.53413778696e-09
"FAD[c]"	3.39173537765e-07	-6.46981562236	1.12190884268e-08
"FE+2[c]"	5.53149057361e-06	-5.2572959725	1.39629462817e-07
"FE+2[p]"	1.99253367227e-07	-6.70103217062	8.92595096692e-09
"FRUCTOSE-16-DIPHOSPHATE[c]"	2.9911991809e-05	-4.52429233478	7.53765224422e-07
"FUM[c]"	2.39204078531e-07	-6.62158508705	9.64320991193e-09
"G3P[c]"	2.99104883289e-06	-5.52431533951	7.5698584114e-08
"GDP[c]"	1.35606385512e-06	-5.86786469363	3.50470706737e-08
"GLC-D-LACTONE[c]"	1.28754471246e-21	-25.0	3.50441856392e-19
"GLN[c]"	0.000122844061696	-3.91116432513	5.99784959184e-06
"GLT[c]"	0.000383105255189	-3.41681732683	9.57655579197e-06
"GLUCONATE[c]"	8.37768866886e-08	-7.0787425738	7.7301261156e-09
