# Generated by reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat.py on Mon May  9 13:39:16 2022
"id"	"half_life (units.min)"
"2-ISOPROPYLMALATESYN-MONOMER"	171.5
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	158.0
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	5000.0
"3-ISOPROPYLMALDEHYDROG-MONOMER"	5000.0
"3-OXOACYL-ACP-REDUCT-MONOMER"	4757.5
"6PFK-1-MONOMER"	288.3
"6PFK-2-MONOMER"	624.5
"6PGLUCONDEHYDROG-MONOMER"	390.7
"6PGLUCONOLACT-MONOMER"	297.4
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	546.4
"AAS-MONOMER"	5000.0
"ABC-MONOMER"	386.9
"ACETATEKINA-MONOMER"	5000.0
"ACETOLACTSYNIII-HCHAIN-MONOMER"	224.3
"ACETOLACTSYNIII-ICHAIN-MONOMER"	465.0
"ACETYLGLUTKIN-MONOMER"	306.2
"ACETYLORNDEACET-MONOMER"	376.6
"ACETYLORNTRANSAM-MONOMER"	498.0
"ACONITASE-MONOMER"	32.3
"ACONITATEDEHYDRB-MONOMER"	53.5
"ACRB-MONOMER"	254.4
"ACS-MONOMER"	84.4
"ACSERLYA-MONOMER"	5000.0
"ACSERLYB-MONOMER"	138.3
"ADENPRIBOSYLTRAN-MONOMER"	90.4
"ADENYL-KIN-MONOMER"	203.1
"ADENYLOSUCCINATE-SYN-MONOMER"	5000.0
"ADENYLYLSULFKIN-MONOMER"	46.9
"ADHC-MONOMER"	126.0
"ADHE-MONOMER"	5000.0
"AGMATIN-MONOMER"	165.8
"AICARTRANSIMPCYCLO-CPLX"	372.1
"AIRS-MONOMER"	144.6
"ALAS-MONOMER"	742.2
"ALDOSE1EPIM-MONOMER"	5000.0
"ALKAPHOSPHA-MONOMER"	84.8
"ALPHA-AMYL-CYTO-MONOMER"	398.4
"ALPHACOMP-MONOMER"	14.9
"AMP-NUCLEOSID-MONOMER"	142.4
"AMYLOMALT-MONOMER"	5000.0
"ANSB-MONOMER"	5000.0
"ANTHRANSYNCOMPI-MONOMER"	5000.0
"APHA-MONOMER"	5000.0
"ARCB-MONOMER"	145.9
"ARGDECARBOXBIO-MONOMER"	70.2
"ARGS-MONOMER"	338.7
"ARGSUCCINLYA-MONOMER"	1471.6
"ARGSUCCINSYN-MONOMER"	108.3
"ARGT-MONOMER"	156.7
"AROA-MONOMER"	275.1
"AROB-MONOMER"	98.7
"AROC-MONOMER"	5000.0
"AROD-MONOMER"	5000.0
"AROE-MONOMER"	304.4
"AROF-MONOMER"	1408.2
"AROG-MONOMER"	5000.0
"AROH-MONOMER"	3926.9
"AROK-MONOMER"	558.6
"AROL-MONOMER"	5000.0
"ARTI-MONOMER"	398.0
"ARTJ-MONOMER"	411.5
"ASL-MONOMER"	349.2
"ASNS-MONOMER"	3740.0
"ASNSYNA-MONOMER"	5000.0
"ASNSYNB-MONOMER"	5000.0
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	5000.0
"ASPAMINOTRANS-MONOMER"	602.9
"ASPARTASE-MONOMER"	5000.0
"ASPCARBCAT-MONOMER"	62.7
"ASPCARBREG-MONOMER"	24.9
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	5000.0
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	5000.0
"ASPS-MONOMER"	325.3
"ATPA-MONOMER"	186.6
"ATPC-MONOMER"	154.1
"ATPD-MONOMER"	387.1
"ATPF-MONOMER"	212.2
"ATPG-MONOMER"	272.2
"ATPH-MONOMER"	294.3
"ATPPHOSRIBOSTRANS-MONOMER"	560.7
"B0899-MONOMER"	102.9
"B1596-MONOMER"	5000.0
"BADH-MONOMER"	5000.0
"BCCP-MONOMER"	9.5
"BETACOMP-MONOMER"	51.8
"BIOTIN-CARBOXYL-MONOMER"	1953.8
"BIOTIN-SYN-MONOMER"	13.3
"BTUE-MONOMER"	127.7
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	792.8
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	211.5
"CARBPSYN-LARGE"	74.5
"CFA-MONOMER"	14.2
"CHAINF-MONOMER"	41.9
"CHAINI-MONOMER"	72.9
"CHEW-MONOMER"	689.6
"CHEY-MONOMER"	5000.0
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	5000.0
"CHORISMUTPREPHENDEHYDROG-MONOMER"	5000.0
"CITSYN-MONOMER"	206.4
"CPDB-MONOMER"	4416.0
"CPXR-MONOMER"	410.4
"CRR-MONOMER"	582.6
"CTPSYN-MONOMER"	221.1
"CYCLASE-MONOMER"	5000.0
"CYDA-MONOMER"	257.4
"CYDD-MONOMER"	5000.0
"CYOA-MONOMER"	388.8
"CYOB-MONOMER"	93.7
"CYSD-MONOMER"	59.2
"CYSN-MONOMER"	159.8
"CYSP-MONOMER"	160.0
"CYSS-MONOMER"	107.4
"CYSTATHIONINE-BETA-LYASE-MONOMER"	233.0
"CYTDEAM-MONOMER"	18.7
"CYTIDEAM-MONOMER"	3785.0
"DALADALALIGA-MONOMER"	5000.0
"DCTP-DEAM-MONOMER"	352.6
"DCYSDESULF-MONOMER"	202.2
"DEOA-MONOMER"	246.0
"DEOD-MONOMER"	265.1
"DEOXYGLUCONOKIN-MONOMER"	5000.0
"DEOXYRIBOSE-P-ALD-MONOMER"	277.2
"DHHB-METHYLTRANSFER-MONOMER"	5000.0
"DIHYDRODIPICSYN-MONOMER"	121.4
"DIHYDROOROT-MONOMER"	154.2
"DIHYDROOROTOX-MONOMER"	82.0
"DIHYDROPICRED-MONOMER"	127.1
"DIHYDROPTERIREDUCT-MONOMER"	642.9
"DIHYDROXYACIDDEHYDRAT-MONOMER"	175.8
"DISULFOXRED-MONOMER"	305.6
"DLACTDEHYDROGFAD-MONOMER"	515.2
"DLACTDEHYDROGNAD-MONOMER"	456.6
"DPPA-MONOMER"	397.6
"DPPD-MONOMER"	112.4
"DPPF-MONOMER"	86.4
"DSBC-MONOMER"	292.6
"DSBD-MONOMER"	124.1
"DSBG-MONOMER"	212.4
"DSERDEAM-MONOMER"	5000.0
"DTDPDEHYRHAMREDUCT-MONOMER"	197.0
"DTDPGLUCDEHYDRAT-MONOMER"	129.6
"DTDPGLUCDEHYDRAT2-MONOMER"	78.6
"DTMPKI-MONOMER"	154.0
"DXS-MONOMER"	433.1
"E1O-MONOMER"	83.3
"E1P-MONOMER"	316.1
"E2O-MONOMER"	108.0
"E2P-MONOMER"	521.2
"EG10011-MONOMER"	5000.0
"EG10015-MONOMER"	381.9
"EG10021-MONOMER"	5000.0
"EG10044-MONOMER"	83.8
"EG10108-MONOMER"	5000.0
"EG10113-MONOMER"	7.4
"EG10124-MONOMER"	5000.0
"EG10126-MONOMER"	175.6
"EG10155-MONOMER"	767.9
"EG10156-MONOMER"	14.2
"EG10159-MONOMER"	76.4
"EG10168-MONOMER"	835.9
"EG10201-MONOMER"	222.6
"EG10202-MONOMER"	237.2
"EG10203-MONOMER"	212.9
