"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN"	{"ACYL-SN-GLYCEROL-3P[CCO-CYTOSOL]":-1,"ACYL-ACP[CCO-CYTOSOL]":-1,"L-PHOSPHATIDATE[CCO-CYTOSOL]":1,"ACP[CCO-CYTOSOL]":1}	"L2R"	["1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER"]	
"1.3.1.9-RXN"	{"ACYL-ACP[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"TRANS-D2-ENOYL-ACP[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8006"]	
"1.7.2.2-RXN-a-reduced-NrfB-protein/NITRITE/PROTON//AMMONIUM/an-oxidized-NrfB-protein/WATER.79."	{"a-reduced-NrfB-protein[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"an-oxidized-NrfB-protein[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-a-reduced-TorC-protein/NITRITE/PROTON//AMMONIUM/an-oxidized-TorC-protein/WATER.79."	{"a-reduced-TorC-protein[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"an-oxidized-TorC-protein[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-A-REDUCED-TORY-PROTEIN/NITRITE/PROTON//AMMONIUM/an-oxidized-TorY-protein/WATER.79."	{"A-REDUCED-TORY-PROTEIN[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"an-oxidized-TorY-protein[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-Cytochromes-C-Reduced/NITRITE/PROTON//AMMONIUM/Cytochromes-C-Oxidized/WATER.76."	{"Cytochromes-C-Reduced[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"Cytochromes-C-Oxidized[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-Cytochromes-c3-Reduced/NITRITE/PROTON//AMMONIUM/Cytochromes-c3-Oxidized/WATER.78."	{"Cytochromes-c3-Reduced[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"Cytochromes-c3-Oxidized[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-Cytochromes-C550-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C550-Ox/WATER.72."	{"Cytochromes-C550-Red[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"Cytochromes-C550-Ox[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-Cytochromes-C552-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C552-Ox/WATER.72."	{"Cytochromes-C552-Red[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"Cytochromes-C552-Ox[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
"1.7.2.2-RXN-Cytochromes-C554-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C554-Ox/WATER.72."	{"Cytochromes-C554-Red[CCO-PERI-BAC]":-6,"NITRITE[CCO-PERI-BAC]":-1,"PROTON[CCO-PERI-BAC]":-8,"AMMONIUM[CCO-PERI-BAC]":1,"Cytochromes-C554-Ox[CCO-PERI-BAC]":6,"WATER[CCO-PERI-BAC]":2}	"L2R"	[]	
