"id"	"ourLocation"	"comments"	"ecocycLocations"
"G6660-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["z"]
"FHUC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10315-MONOMER"	["j"]	"Location information from Han 2011."	["s"]
"EG11009-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"E3-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["i"]
"G8221-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"ANSB-MONOMER"	["p"]	"Location information from Han 2011."	["z"]
"G361-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["s"]
"FRUB-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"MONOMER0-282"	["o"]	"Location information from Han 2011."	["e"]
"G6545-MONOMER"	["p"]	"Location information from Han 2011."	["e"]
"GPT-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7659-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["i"]
"G7500-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"YHBN-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["e"]
"HYCBSMALL-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"SDH-FLAVO"	["c"]	"Location information from Han 2011."	["i"]
"EG12180-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"MODC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G377-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["i"]
"EG12026-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G6845-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"EG12371-MONOMER"	["p"]	"Location information from Han 2011."	["s"]
"EG12878-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10126-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["e"]
"EG10671-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"HMP-KIN-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["c"]
"NAPG-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"EG10658-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"DHPDIOXYGEN-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"FDOG-MONOMER"	["p"]	"Location information from Han 2011."	["z"]
"TAUB-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"FECE-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7572-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G7682-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["i"]
"MEND-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"YRBF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11568-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7348-MONOMER"	["o"]	"Location information from Han 2011."	["p"]
"EG10314-MONOMER"	["j"]	"Location information from Han 2011."	["s"]
"G7499-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"PHND-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G7365-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"G6720-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["c"]
"EG10483-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10859-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G6157-MONOMER"	["c"]	"Location information from Han 2011."	["p"]
"G6261-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"MONOMER0-150"	["i"]	"Location information from Han 2011."	["x"]
"MONOMER0-151"	["p"]	"Location information from Han 2011."	["x"]
"MONOMER0-152"	["i"]	"Location information from Han 2011."	["x"]
"EG11346-MONOMER"	["j"]	"Localization generated from unambiguous Ecocyc data."	["s"]
