# Created with runscripts/reconstruction/metabolite_concentrations/convert_to_flat.py on Thu May 21 20:47:41 2020
Metabolite	minimal	minimal_acetate	minimal_succinate	minimal_galactose	minimal_mannose	minimal_pyruvate	minimal_lactate	minimal_glycerol	minimal_sorbitol	minimal_fructose	minimal_glcNAc	minimal_mannitol	minimal_gluconate	minimal_g6p	minimal_plus_cas_amino_acids
"2-KETOGLUTARATE"	1.0	0.881	2.072	0.565	0.887	2.256	1.709	1.171	0.976	1.306	1.155	1.268	1.313	1.272	2.603
"ACETYL-COA"	1.0	1.086	0.263	0.348	0.492	1.353	1.107	0.474	0.734	0.808	1.039	0.782	1.056	1.135	0.526
"ADP"	1.0	0.91	0.851	0.957	0.929	0.797	0.834	0.871	1.152	1.013	0.875	0.981	0.949	0.87	0.887
"AMP"	1.0	0.883	0.795	0.915	0.944	0.768	0.823	0.831	1.141	0.948	0.822	0.94	0.92	0.852	0.768
"ARG"	1.0	3.613	1.311	0.505	0.854	3.89	3.352	1.038	1.026	1.009	1.437	1.006	1.46	1.55	0.53
"ASN"	1.0	0.851	1.062	0.971	1.157	1.144	1.993	1.089	1.044	1.243	1.026	0.91	1.267	1.065	NaN
"ATP"	1.0	0.932	0.888	1.011	0.97	0.815	0.853	0.838	1.197	0.987	0.942	0.997	0.947	0.874	1.119
"CAMP"	1.0	7.299	1.909	5.35	4.47	2.455	1.591	3.437	3.123	3.764	1.038	1.357	0.964	0.304	0.439
"CIS-ACONITATE"	1.0	8.913	1.232	1.307	1.298	1.906	1.764	1.407	1.665	1.596	1.306	1.822	1.596	1.988	2.326
"CPD-2961"	1.0	0.382	0.41	0.965	0.478	0.225	0.341	0.246	0.358	0.287	0.539	0.529	2.507	2.897	1.22
"D-SEDOHEPTULOSE-7-P"	1.0	0.762	1.088	0.963	1.064	0.475	0.938	0.279	1.151	0.231	0.757	0.854	1.65	2.157	0.999
"DIHYDROXY-ACETONE-PHOSPHATE"	1.0	0.56	0.674	0.617	0.897	0.232	0.318	2.491	1.366	1.045	0.888	1.076	1.348	2.382	1.293
"DPG"	1.0	0.747	1.038	1.484	1.131	0.639	0.847	3.008	1.029	1.606	0.708	0.804	1.376	1.183	1.637
"FRU1P"	1.0	0.296	0.45	0.571	1.162	0.068	0.146	2.431	1.327	10.307	0.887	0.939	1.435	2.859	1.007
"FRUCTOSE-16-DIPHOSPHATE"	1.0	0.108	0.142	0.414	0.617	0.024	0.062	1.08	1.076	0.799	0.818	0.913	0.831	2.654	1.062
"FRUCTOSE-6P"	1.0	1.19	1.884	NaN	2.629	0.908	1.412	0.876	1.451	1.127	1.135	0.962	1.062	NaN	1.297
"FUM"	1.0	1.223	NaN	0.209	0.309	2.406	0.754	0.568	0.575	0.949	0.823	0.658	1.181	1.644	3.523
"GDP"	1.0	0.676	0.403	0.563	0.642	0.701	0.625	0.366	1.061	0.509	0.623	0.865	0.682	0.909	1.061
"GLC-6-P"	1.0	0.707	1.111	NaN	0.703	0.562	0.817	0.485	0.566	0.357	0.471	0.467	0.591	NaN	1.383
"GLN"	1.0	1.086	1.724	0.737	0.982	1.435	2.96	1.294	1.085	1.163	1.068	1.037	1.52	1.551	1.498
"GLT"	1.0	0.827	2.089	0.448	1.355	1.995	3.679	1.575	1.619	1.534	1.086	1.311	1.478	1.255	2.144
