"id"	"location"
"EG10872_RNA"	"[c]"
"EG10879_RNA"	"[c]"
"EG11232_RNA"	"[c]"
"EG10877_RNA"	"[c]"
"EG10876_RNA"	"[c]"
"EG10892_RNA"	"[c]"
"EG10874_RNA"	"[c]"
"EG50001_RNA"	"[c]"
"EG10875_RNA"	"[c]"
"EG10884_RNA"	"[c]"
"EG11231_RNA"	"[c]"
"EG10887_RNA"	"[c]"
"EG10871_RNA"	"[c]"
"EG10878_RNA"	"[c]"
"EG10886_RNA"	"[c]"
"EG10870_RNA"	"[c]"
"EG10889_RNA"	"[c]"
"EG10891_RNA"	"[c]"
"EG10888_RNA"	"[c]"
"EG50002_RNA"	"[c]"
"EG10869_RNA"	"[c]"
"EG10882_RNA"	"[c]"
"EG10883_RNA"	"[c]"
"EG10885_RNA"	"[c]"
"EG10890_RNA"	"[c]"
"EG10864_RNA"	"[c]"
"EG10881_RNA"	"[c]"
"EG10865_RNA"	"[c]"
"EG10868_RNA"	"[c]"
"EG10880_RNA"	"[c]"
"EG10867_RNA"	"[c]"
"EG10873_RNA"	"[c]"
"EG10866_RNA"	"[c]"
"EG10912_RNA"	"[c]"
"EG10916_RNA"	"[c]"
"EG10920_RNA"	"[c]"
"EG10914_RNA"	"[c]"
"EG10909_RNA"	"[c]"
"EG10903_RNA"	"[c]"
"EG10911_RNA"	"[c]"
"EG10904_RNA"	"[c]"
"EG10900_RNA"	"[c]"
"EG10901_RNA"	"[c]"
"EG10905_RNA"	"[c]"
"EG10915_RNA"	"[c]"
"EG10918_RNA"	"[c]"
"EG10919_RNA"	"[c]"
"EG10907_RNA"	"[c]"
"EG11508_RNA"	"[c]"
"EG10908_RNA"	"[c]"
"EG10906_RNA"	"[c]"
"EG10910_RNA"	"[c]"
"EG10902_RNA"	"[c]"
"EG10917_RNA"	"[c]"
"EG10913_RNA"	"[c]"
