# Generated by reconstruction/ecoli/scripts/rna_half_lives/convert_to_flat.py on Wed Apr 20 16:52:03 2022
"id"	"half_life (units.min)"
"EG10001"	1.1
"EG10002"	9.4
"EG10003"	2.0
"EG10004"	2.4
"EG10006"	6.1
"EG10007"	4.7
"EG10008"	16.4
"EG10010"	7.3
"EG10011"	1.5
"EG10012"	4.1
"EG10013"	1.1
"EG10014"	6.1
"EG10015"	2.7
"EG10016"	5.0
"EG10017"	1.1
"EG10018"	5.3
"EG10020"	6.1
"EG10021"	7.8
"EG10022"	11.5
"EG10023"	6.0
"EG10024"	6.2
"EG10025"	9.9
"EG10026"	4.0
"EG10027"	3.6
"EG10028"	1.5
"EG10029"	5.5
"EG10030"	2.5
"EG10031"	2.4
"EG10032"	3.3
"EG10033"	18.3
"EG10034"	1.8
"EG10035"	5.7
"EG10036"	7.2
"EG10037"	4.9
"EG10039"	6.6
"EG10040"	5.9
"EG10041"	4.3
"EG10042"	3.9
"EG10043"	2.5
"EG10044"	3.7
"EG10045"	3.4
"EG10046"	5.5
"EG10047"	2.9
"EG10048"	3.6
"EG10051"	1.9
"EG10052"	5.4
"EG10053"	10.6
"EG10054"	4.9
"EG10055"	11.1
"EG10056"	8.3
"EG10057"	5.8
"EG10058"	4.5
"EG10060"	6.1
"EG10061"	2.8
"EG10062"	3.6
"EG10063"	1.4
"EG10064"	3.9
"EG10065"	5.4
"EG10066"	1.4
"EG10067"	5.7
"EG10068"	2.6
"EG10069"	1.7
"EG10070"	2.1
"EG10071"	1.7
"EG10072"	8.1
"EG10073"	1.9
"EG10074"	1.7
"EG10075"	2.8
"EG10076"	6.4
"EG10077"	4.4
"EG10078"	2.0
"EG10079"	2.2
"EG10080"	2.0
"EG10081"	4.3
"EG10082"	2.3
"EG10083"	3.7
"EG10084"	4.1
"EG10085"	9.3
"EG10086"	6.4
"EG10087"	5.9
"EG10088"	8.2
"EG10089"	4.6
"EG10090"	8.9
"EG10091"	2.0
"EG10092"	2.3
"EG10093"	1.6
"EG10094"	4.5
"EG10095"	3.8
"EG10096"	7.6
"EG10097"	2.1
"EG10098"	5.8
"EG10099"	4.3
"EG10102"	5.1
"EG10103"	4.6
"EG10104"	12.7
"EG10105"	5.2
"EG10106"	5.9
"EG10107"	1.1
"EG10112"	1.6
"EG10122"	3.2
"EG10125"	3.6
"EG10131"	5.1
"EG10132"	9.9
"EG10133"	5.6
"EG10134"	4.1
"EG10135"	5.2
"EG10136"	4.5
"EG10137"	3.5
"EG10138"	1.4
"EG10139"	2.0
"EG10140"	6.4
"EG10141"	14.1
"EG10142"	7.3
"EG10143"	5.7
"EG10144"	6.8
"EG10145"	5.4
"EG10146"	10.4
"EG10147"	7.2
"EG10148"	5.7
"EG10150"	4.9
"EG10151"	7.0
"EG10152"	7.5
"EG10153"	5.8
"EG10154"	4.0
"EG10155"	2.3
"EG10156"	8.4
"EG10157"	3.3
"EG10158"	2.5
"EG10159"	2.1
"EG10160"	2.5
"EG10161"	10.2
"EG10163"	2.6
"EG10164"	1.7
