# Note: Reactions listed in rna_modification_reactions_removed.tsv are removed from simulation data.
"id"	"stoichiometry"	"catalyzed_by"
"RX_WC_METHIONYL-TRNA-FORMYLTRANSFERASE-RXN1"	[{"type": "rna", "coeff": -1.0, "molecule": "RNA0-306", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "10FTHF", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "CHARGED-FMETV-TRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "THF", "location": "c", "form": "mature"}]	["EG11268-MONOMER"]
"RX_WC_METHIONYL-TRNA-FORMYLTRANSFERASE-RXN2"	[{"type": "rna", "coeff": -1.0, "molecule": "metW-tRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "10FTHF", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "CHARGED-FMETW-TRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "THF", "location": "c", "form": "mature"}]	["EG11268-MONOMER"]
"RX_WC_METHIONYL-TRNA-FORMYLTRANSFERASE-RXN3"	[{"type": "rna", "coeff": -1.0, "molecule": "metY-tRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "10FTHF", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "CHARGED-FMETY-TRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "THF", "location": "c", "form": "mature"}]	["EG11268-MONOMER"]
"RX_WC_METHIONYL-TRNA-FORMYLTRANSFERASE-RXN4"	[{"type": "rna", "coeff": -1.0, "molecule": "metZ-tRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "10FTHF", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "CHARGED-FMETZ-TRNA", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "THF", "location": "c", "form": "mature"}]	["EG11268-MONOMER"]
"ISOLEUCINE--TRNA-LIGASE-R_3"	[{"type": "rna", "coeff": -1.0, "molecule": "RNA0-305", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ILE", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-309", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["ILES-MONOMER"]
"ASPARAGINE--TRNA-LIGASE-R_2"	[{"type": "rna", "coeff": -1.0, "molecule": "RNA0-304", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ASN", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-310", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["ASNS-CPLX"]
"VALINE--TRNA-LIGASE-R_4"	[{"type": "rna", "coeff": -1.0, "molecule": "RNA0-300", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "VAL", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-311", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["VALS-MONOMER"]
"LYSINE--TRNA-LIGASE-R_3"	[{"type": "metabolite", "coeff": -1.0, "molecule": "LYS", "location": "c", "form": "mature"}, {"type": "rna", "coeff": -1.0, "molecule": "RNA0-301", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-312", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["LYSS-CPLX", "LYSU-CPLX"]
"LYSINE--TRNA-LIGASE-R_4"	[{"type": "metabolite", "coeff": -1.0, "molecule": "LYS", "location": "c", "form": "mature"}, {"type": "rna", "coeff": -1.0, "molecule": "RNA0-302", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-313", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["LYSS-CPLX", "LYSU-CPLX"]
"LYSINE--TRNA-LIGASE-R_2"	[{"type": "metabolite", "coeff": -1.0, "molecule": "LYS", "location": "c", "form": "mature"}, {"type": "rna", "coeff": -1.0, "molecule": "RNA0-303", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": -1.0, "molecule": "ATP", "location": "c", "form": "mature"}, {"type": "rnamodified", "coeff": 1.0, "molecule": "RNA0-314", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "PPI", "location": "c", "form": "mature"}, {"type": "metabolite", "coeff": 1.0, "molecule": "AMP", "location": "c", "form": "mature"}]	["LYSS-CPLX", "LYSU-CPLX"]
