"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"EG10001"	58.6866666667	71.14	81.3633333333	45.1833333333	45.71
"EG10002"	115.996666667	81.0433333333	213.696666667	421.233333333	410.366666667
"EG10003"	48.1066666667	46.1033333333	37.3333333333	47.3	41.9366666667
"EG10004"	133.0	133.34	110.883333333	126.246666667	75.2333333333
"EG10006"	1.55333333333	2.19	12.14	2.04666666667	2.10333333333
"EG10007"	72.05	79.6766666667	24.13	33.25	30.2033333333
"EG10008"	4.09	4.10333333333	10.9866666667	5.95	3.40333333333
"EG10010"	2.10666666667	1.82	1.86666666667	2.0	2.69333333333
"EG10011"	80.1733333333	78.0966666667	76.2633333333	81.8466666667	74.8
"EG10012"	66.55	65.89	72.75	67.8233333333	50.37
"EG10013"	50.0133333333	55.27	32.5733333333	50.94	39.92
"EG10014"	5.27333333333	5.68666666667	4.86666666667	5.48	5.83333333333
"EG10015"	206.22	209.923333333	254.086666667	229.343333333	301.783333333
"EG10016"	2.6	2.32	2.71666666667	8.29666666667	4.43666666667
"EG10017"	252.546666667	244.75	260.41	217.033333333	205.716666667
"EG10018"	38.63	37.8666666667	34.94	41.16	40.0533333333
"EG10020"	215.666666667	205.2	215.723333333	259.09	362.32
"EG10021"	95.1033333333	92.1266666667	140.9	166.88	82.7233333333
"EG10022"	1603.62	1575.25666667	250.453333333	4711.54666667	552.613333333
"EG10023"	1516.11666667	1376.92	221.44	2913.26333333	648.216666667
"EG10024"	875.196666667	829.02	2404.18	115.36	1820.52666667
"EG10025"	600.183333333	575.936666667	1824.36	82.91	1369.75
"EG10026"	211.526666667	225.733333333	43.4766666667	369.76	61.38
"EG10027"	270.356666667	221.306666667	1023.19	204.376666667	316.776666667
"EG10028"	37.8666666667	52.3266666667	81.9166666667	34.4066666667	68.6633333333
"EG10029"	15.4566666667	15.5633333333	15.4133333333	14.3166666667	54.3933333333
"EG10030"	36.8966666667	42.7233333333	48.4933333333	50.2433333333	73.41
"EG10031"	852.036666667	808.766666667	1992.64666667	749.953333333	1773.08333333
"EG10032"	722.493333333	765.193333333	706.213333333	441.603333333	140.043333333
"EG10033"	40.4333333333	41.5866666667	18.29	238.823333333	147.473333333
"EG10034"	454.813333333	468.9	457.566666667	453.453333333	257.573333333
"EG10035"	220.816666667	298.06	27.2533333333	1003.64666667	46.51
"EG10036"	32.6966666667	38.4133333333	5.82	5.65	32.48
"EG10037"	7.76	7.61666666667	4.91666666667	6.56	19.6966666667
"EG10039"	287.38	278.32	192.836666667	246.113333333	281.903333333
"EG10040"	19.6233333333	17.82	20.19	19.98	11.11
"EG10041"	60.55	67.5066666667	125.09	66.9066666667	77.3833333333
"EG10042"	39.2466666667	44.35	44.62	39.4066666667	47.4666666667
"EG10043"	66.32	52.0966666667	79.45	114.203333333	233.77
"EG10044"	498.883333333	428.936666667	151.35	361.52	936.823333333
"EG10045"	119.103333333	123.17	76.92	108.183333333	65.7366666667
"EG10046"	7.34	6.35666666667	48.4733333333	10.2633333333	12.5533333333
"EG10047"	197.323333333	234.093333333	196.34	131.87	253.226666667
"EG10048"	53.1733333333	52.8933333333	41.6533333333	36.75	84.25
"EG10049"	10.7266666667	10.56	7.65	13.6666666667	79.0333333333
"EG10050"	10.5666666667	10.4133333333	14.7133333333	5.79	26.3166666667
"EG10051"	314.363333333	346.08	196.27	275.036666667	163.113333333
"EG10052"	3.79666666667	4.21666666667	3.52333333333	10.8566666667	5.79333333333
"EG10053"	1.84333333333	1.59333333333	1.70333333333	5.02666666667	2.71666666667
"EG10054"	28.1466666667	22.6	18.0733333333	42.1266666667	32.26
"EG10055"	1.23	1.42	1.82	5.58666666667	1.76333333333
"EG10056"	10.5766666667	9.16333333333	8.19666666667	12.0466666667	12.23
"EG10057"	5.49333333333	5.71333333333	4.09333333333	31.4066666667	3.65666666667
"EG10058"	13.06	11.7566666667	10.4433333333	22.4566666667	11.4133333333
"EG10059"	23.1933333333	20.0333333333	10.7433333333	24.31	27.1033333333
"EG10060"	11.3833333333	11.32	10.9133333333	8.78	15.5366666667
"EG10061"	660.793333333	597.336666667	633.503333333	774.146666667	1557.51
"EG10062"	51.3566666667	55.5233333333	103.32	65.2266666667	86.1566666667
"EG10063"	170.473333333	118.866666667	10.33	27.57	24.8866666667
"EG10064"	186.683333333	171.816666667	21.8666666667	62.4066666667	45.6566666667
"EG10065"	151.346666667	114.82	11.5433333333	37.6766666667	23.8133333333
"EG10066"	145.65	141.48	17.1833333333	27.27	26.9833333333
"EG10067"	220.03	215.076666667	15.58	48.3933333333	57.2666666667
"EG10068"	427.863333333	447.286666667	46.93	98.87	122.98
"EG10069"	141.38	132.28	7.58666666667	45.1766666667	12.74
"EG10070"	197.376666667	161.586666667	122.14	152.44	208.39
"EG10071"	144.3	145.246666667	80.6933333333	108.856666667	85.7066666667
"EG10072"	259.503333333	276.446666667	38.9733333333	157.953333333	185.59
"EG10073"	552.903333333	616.55	175.203333333	270.97	272.716666667
"EG10074"	276.883333333	304.806666667	193.26	235.6	228.74
"EG10075"	269.993333333	257.95	185.846666667	157.823333333	175.673333333
"EG10076"	75.3033333333	70.0033333333	36.7566666667	87.3033333333	90.9833333333
"EG10077"	42.2233333333	53.7233333333	39.7933333333	33.7333333333	89.99
"EG10078"	1076.65666667	997.126666667	31.8066666667	50.9433333333	52.6766666667
"EG10079"	1087.80666667	1208.85333333	447.556666667	308.52	644.91
"EG10080"	206.76	182.226666667	52.1566666667	164.633333333	75.89
"EG10081"	403.69	416.873333333	250.186666667	293.646666667	310.76
"EG10082"	437.023333333	506.363333333	166.83	156.45	54.5233333333
"EG10083"	40.74	49.1633333333	16.79	17.77	23.0733333333
"EG10084"	472.926666667	512.426666667	54.92	37.7666666667	62.7133333333
"EG10085"	8.22666666667	9.25	9.09333333333	10.42	12.1033333333
"EG10086"	6.85666666667	5.43666666667	6.94666666667	7.61	8.91666666667
"EG10087"	15.6666666667	15.1866666667	12.5533333333	17.7166666667	11.2866666667
"EG10088"	1259.62	1314.52	665.24	833.39	1066.52666667
"EG10089"	4.56	3.61	4.18333333333	4.90666666667	7.25
"EG10090"	2.55666666667	2.14333333333	1.49	3.26	2.3
"EG10091"	51.1833333333	116.453333333	492.756666667	33.2533333333	34.0266666667
"EG10092"	150.353333333	163.89	300.356666667	135.52	162.023333333
"EG10093"	19.3266666667	22.4933333333	26.9133333333	20.7533333333	25.48
"EG10094"	706.336666667	730.22	355.696666667	585.306666667	304.436666667
"EG10095"	46.29	45.4633333333	786.326666667	527.066666667	41.84
"EG10096"	1120.4	1116.75333333	469.383333333	1006.24333333	708.416666667
"EG10097"	241.27	240.583333333	192.243333333	245.526666667	310.523333333
"EG10098"	1935.18333333	1802.68333333	1936.62	2111.66333333	521.276666667
"EG10099"	875.71	860.013333333	582.543333333	870.143333333	231.293333333
"EG10100"	1187.99	1093.89333333	1310.42333333	1348.27	373.486666667
"EG10101"	1399.91666667	1305.01333333	1589.95666667	1566.27666667	493.236666667
"EG10102"	2564.33	2660.46	2319.05	3028.65	637.913333333
"EG10103"	2147.32666667	2184.55	2001.94666667	2344.64	523.833333333
"EG10104"	1736.61666667	1694.27	1973.66333333	2025.9	484.516666667
"EG10105"	1002.32333333	972.693333333	841.846666667	994.9	283.076666667
"EG10106"	511.47	612.87	268.486666667	418.906666667	69.4566666667
"EG10107"	314.95	369.366666667	204.226666667	157.743333333	178.736666667
"EG10108"	1324.88666667	1296.14666667	839.973333333	1219.67666667	495.826666667
"EG10109"	24.76	25.4166666667	29.4266666667	18.23	27.9333333333
"EG10110"	44.1733333333	40.9166666667	34.6466666667	38.7333333333	57.5466666667
"EG10111"	97.5766666667	90.4133333333	79.2533333333	83.0866666667	95.6533333333
"EG10112"	21.2666666667	20.9233333333	11.6833333333	13.5733333333	18.1366666667
"EG10113"	128.74	175.856666667	170.97	78.9533333333	244.126666667
"EG10114"	1.59666666667	1.75333333333	3.24	3.59666666667	1.45333333333
"EG10115"	26.4066666667	30.0333333333	27.6833333333	18.72	9.73333333333
"EG10116"	0.55	0.82	0.37	2.15	0.453333333333
"EG10117"	92.18	81.09	80.1033333333	120.89	311.21
"EG10118"	172.3	147.656666667	180.6	231.436666667	539.476666667
"EG10119"	66.31	59.3633333333	66.6966666667	78.3433333333	171.326666667
"EG10120"	98.5	99.58	106.833333333	114.836666667	230.153333333
"EG10121"	84.0433333333	78.8533333333	78.06	105.156666667	240.593333333
"EG10122"	27.59	28.2533333333	32.9	29.95	32.63
"EG10123"	42.2933333333	48.82	43.21	35.4833333333	51.0066666667
"EG10124"	44.4666666667	45.9066666667	36.57	37.4366666667	35.92
"EG10125"	292.183333333	300.283333333	181.063333333	364.403333333	1132.99666667
"EG10126"	100.57	116.066666667	112.583333333	79.0766666667	45.07
"EG10127"	23.2833333333	28.43	26.38	21.7733333333	17.98
"EG10128"	81.81	79.3566666667	45.9533333333	70.25	120.91
"EG10129"	81.8833333333	93.7766666667	54.6766666667	79.3433333333	168.743333333
"EG10130"	62.6233333333	66.6533333333	61.13	81.43	55.41
"EG10131"	3.15333333333	3.16333333333	3.45333333333	3.22333333333	7.45666666667
"EG10132"	1.04	0.716666666667	1.12333333333	1.08666666667	3.58333333333
"EG10133"	4.88666666667	5.75333333333	15.1066666667	4.24333333333	4.64333333333
"EG10134"	658.756666667	716.423333333	578.23	10.58	48.9433333333
"EG10135"	462.046666667	506.77	1051.99	11.2833333333	45.68
"EG10136"	79.4333333333	74.08	72.51	72.4666666667	127.65
"EG10137"	21.9033333333	20.44	37.0766666667	39.41	79.92
"EG10138"	25.4066666667	23.6566666667	28.1766666667	30.6	26.8033333333
"EG10139"	117.103333333	135.656666667	82.2833333333	90.95	95.9466666667
