"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"EG10001"	6.4847693354	7.7048621013	8.18189057207	5.48210117868	5.32476290552
"EG10002"	17.5681141086	6.96290408762	105.329360263	52.234391289	58.145761955
"EG10003"	7.57823418306	6.05013498472	3.25785716896	11.2586899771	5.21795298305
"EG10004"	28.1621252749	35.5834076502	34.0507405695	5.131728104	11.0653347592
"EG10006"	0.161967074843	0.779294552785	5.9812289707	0.117189305542	0.136137185711
"EG10007"	5.62533554555	10.9995196865	7.14655861237	4.19102612733	2.95926229546
"EG10008"	1.86515414913	0.690096611594	2.54900634235	1.87288547434	0.280237994093
"EG10010"	0.92872672694	0.805170789336	0.425715084691	0.317647603485	0.392088425401
"EG10011"	7.92732195217	4.64459183711	6.21905405454	13.8958423038	17.9528242903
"EG10012"	3.94097703622	5.19306268015	5.40419281669	12.787065079	5.77833886165
"EG10013"	2.93002275304	2.71696521877	0.546015872785	21.0383174232	2.70199925981
"EG10014"	0.292973263854	0.355293306063	0.300055550412	1.22845431335	0.417891532976
"EG10015"	22.8900677151	12.0227880849	40.0456393798	49.7731959325	10.8381840422
"EG10016"	0.285832118559	0.851586754242	0.560119034968	3.67022251823	0.603020176556
"EG10017"	7.88114416397	15.4975223826	7.31182603732	38.1334201631	8.30314599013
"EG10018"	5.57325757524	6.94710251352	5.17898638732	6.08712575852	4.36245725863
"EG10020"	51.303056764	40.9809919353	18.0407326163	53.9976286516	37.488970378
"EG10021"	23.2066290817	21.0859202629	8.66871962864	15.037915414	10.46425503
"EG10022"	260.594474232	58.4439332466	54.6189576368	802.035073069	123.01996762
"EG10023"	217.629564704	305.62377918	48.3901518906	297.321759098	186.376792904
"EG10024"	99.0469122857	13.2001401508	126.627035423	12.6216758	151.521795902
"EG10025"	99.7553819768	13.6013577754	141.02795893	9.30420872509	123.810455536
"EG10026"	13.2612002976	33.5038301293	8.07289497847	107.196430444	6.86622895045
"EG10027"	54.6389168389	44.3626333003	35.4211561076	54.4926842185	67.6230917168
"EG10028"	3.12810379197	16.9939410771	15.30607178	9.03580839401	15.0333540281
"EG10029"	1.75525876535	0.143643076176	1.87502888867	2.66237362767	10.8689297235
"EG10030"	7.40156965335	4.36230825749	19.6988231459	34.3696295199	18.6277400669
"EG10031"	275.972890214	312.653648841	174.390573235	211.730592342	185.958425551
"EG10032"	41.7660164887	103.001708886	267.876119565	222.244120132	31.6824641298
"EG10033"	14.0632653866	17.6989726632	2.01129311638	53.7645927478	21.4184250899
"EG10034"	40.3480387793	30.4125747019	31.3445885813	98.4878948568	70.9366325204
"EG10035"	101.516158976	130.585607553	9.93845729142	416.529417729	7.99249648108
"EG10036"	6.92404746758	2.18596279322	0.202237484162	1.99005025062	4.14676982723
"EG10037"	2.10409125277	3.1010535844	4.26009780795	0.313209195267	4.46068754043
"EG10039"	120.190681419	158.330626222	71.257098126	53.354003911	18.3115300653
"EG10040"	2.80093436791	2.93869018442	4.50434234933	4.9756909068	2.29971737394
"EG10041"	33.7100296648	41.2281946407	63.9342287042	10.6834888184	8.42888090634
"EG10042"	14.0119460937	12.3386506556	11.1874438546	11.8151865552	4.00637408804
"EG10043"	13.4396019286	6.56233444236	12.2055438224	58.8858406863	48.2058782723
"EG10044"	228.692021141	183.075659314	12.4597311367	191.465235226	159.878546507
"EG10045"	15.8188189614	21.2611829398	34.2628603593	37.7057466884	8.83371005486
"EG10046"	1.05740247777	0.971716693967	31.4378280632	3.70914185942	0.780149558311
"EG10047"	25.465330026	51.3501327489	41.0385538244	24.5294904146	19.7638769813
"EG10048"	6.06017601505	8.92162728057	9.03884026484	8.99962221429	10.0833674931
"EG10049"	2.01505169495	2.05019511267	1.06663020771	4.56979576495	10.3446814032
"EG10050"	4.1763780161	4.25126255756	0.0450924975282	2.46081287383	13.4955449439
"EG10051"	25.4495605725	35.6690888586	26.5270145324	154.509505317	21.56231512
"EG10052"	0.312143129563	0.43189504898	0.465761025992	1.58827999211	0.453578365151
"EG10053"	0.405010287935	0.132035348802	0.414045086112	1.8708910533	0.775972508104
"EG10054"	6.30755367265	2.37151850088	7.40568250287	12.4721142287	5.43503449851
"EG10055"	0.62449979984	0.484974226119	0.544426303553	1.65185754027	0.638774869053
"EG10056"	1.78911523758	1.54098453377	2.47778799201	2.45911230596	0.460325971459
"EG10057"	0.630661028868	1.59716415353	0.850960241923	8.45904446928	0.707271753524
"EG10058"	4.65152663112	4.34327449436	0.373139830805	2.1647247708	0.945639113686
"EG10059"	13.3608432868	7.46887095439	1.46827563262	3.24499614792	2.10088870084
"EG10060"	1.97241814363	1.31533265754	0.626843946556	1.76850219112	1.99041034295
"EG10061"	64.7124920965	93.6926263552	79.0764670008	254.782020624	115.877404182
"EG10062"	15.9792406995	17.5246692789	9.42541245782	10.5352092211	10.0137771761
"EG10063"	119.960311076	43.4595355858	5.05518545654	10.2647990726	5.66785967834
"EG10064"	101.453514643	42.2037928785	5.51646928146	27.2820020038	14.7154216159
"EG10065"	109.153865865	37.7722490726	0.610764548196	18.5441805786	9.45029805526
"EG10066"	56.401478704	51.1615588113	4.23266267654	5.59324592701	3.5600889502
"EG10067"	153.44097269	82.7953635981	1.38043471414	24.7678608954	20.3944461394
"EG10068"	206.97768052	120.732169008	2.9713801507	35.4720833896	15.700407638
"EG10069"	80.9003609386	43.1036668974	1.67060867151	36.1549890518	11.2500133333
"EG10070"	36.1596603045	35.5811218673	8.87588305466	20.7705488613	20.0742895267
"EG10071"	11.0674116215	7.47874543846	9.07073499411	26.3651935956	14.9657486727
"EG10072"	27.7100096235	7.76528385401	5.60200261811	62.400686962	18.9805057888
"EG10073"	179.798359651	266.636283352	52.9110057864	66.9243744834	42.4550318965
"EG10074"	13.0226968533	14.4926337611	8.37127827754	24.1696338408	6.04191194904
"EG10075"	26.6591528998	29.1767304543	24.2400440044	31.023694708	19.8924617213
"EG10076"	20.9634928705	16.1010600065	8.81220933327	11.1707176732	18.7766033492
"EG10077"	13.6010747124	15.8447225704	9.35171285559	14.2550564128	34.9761575934
"EG10078"	710.548743531	444.790179898	1.87163921025	15.8265610078	2.07656768089
"EG10079"	166.070939461	219.322201871	16.7852445122	11.5361735424	228.85726141
"EG10080"	27.8777402241	26.1514537518	2.56624888375	95.7497996517	9.92329078482
"EG10081"	38.4235331535	68.8065726027	42.8009232766	67.7509980246	6.92696903414
"EG10082"	155.099720932	185.256927086	44.5612645691	47.013070523	8.3600378787
"EG10083"	1.61024842804	5.45110386374	1.05697682094	3.55810342739	7.02866511746
"EG10084"	45.2175644339	35.6731290096	1.53098007825	12.5637428075	2.73653674072
"EG10085"	2.1261545883	3.30803567091	0.991682072709	0.514198405287	0.599110451698
"EG10086"	0.423359579239	0.666508314527	2.49458079311	1.70164626171	0.92974907009
"EG10087"	6.62551381655	5.85887645657	4.53601513813	4.9062850848	2.26327933171
