"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose minus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"EG10001"	53.0695666667	46.5797333333	53.0695666667	28.7305	32.7309666667
"EG10002"	135.1277	46.4230666667	135.1277	249.220433333	280.042066667
"EG10003"	27.0657	29.1569666667	27.0657	31.5539333333	30.0327666667
"EG10004"	95.3067333333	118.203933333	95.3067333333	104.160733333	62.2939333333
"EG10006"	9.02546666667	1.46136666667	9.02546666667	1.1965	1.52666666667
"EG10007"	14.1023	49.1301333333	14.1023	19.3777666667	20.2904
"EG10008"	7.9421	2.59953333333	7.9421	3.77386666667	2.5158
"EG10010"	1.5237	1.52173333333	1.5237	1.62493333333	2.68533333333
"EG10011"	46.4189333333	44.1712333333	46.4189333333	45.3848666667	46.5954333333
"EG10012"	47.1013333333	41.2588	47.1013333333	41.3831	35.4643333333
"EG10013"	21.982	35.2422	21.982	31.4485333333	28.5014333333
"EG10014"	3.37376666667	3.7701	3.37376666667	3.4652	4.084
"EG10015"	206.2437	164.5835	206.2437	170.941466667	253.2862
"EG10016"	2.67703333333	2.30993333333	2.67703333333	6.81126666667	3.65626666667
"EG10017"	186.684866667	169.5987	186.684866667	145.377733333	157.019866667
"EG10018"	24.3211333333	25.2475333333	24.3211333333	26.5578666667	33.1207
"EG10020"	126.971033333	113.5351	126.971033333	141.218066667	224.7449
"EG10021"	94.1829333333	59.6089666667	94.1829333333	105.561233333	58.5197666667
"EG10022"	161.8173	966.5933	161.8173	2810.87773333	371.6373
"EG10023"	194.6844	1127.00756667	194.6844	2285.90913333	516.233733333
"EG10024"	1640.9688	546.130966667	1640.9688	72.9942333333	1289.7101
"EG10025"	1230.48296667	372.415833333	1230.48296667	51.5405333333	940.571666667
"EG10026"	28.9757333333	142.819433333	28.9757333333	232.7379	43.7645666667
"EG10027"	733.833333333	162.9982	733.833333333	144.513833333	243.8688
"EG10028"	53.9597666667	33.7828	53.9597666667	21.5639333333	49.6084333333
"EG10029"	10.4728	9.89523333333	10.4728	8.94253333333	35.6936333333
"EG10030"	38.7485666667	29.8643	38.7485666667	35.8952333333	55.8179666667
"EG10031"	1315.1796	506.8502	1315.1796	462.0759	1252.26133333
"EG10032"	421.6399	444.613066667	421.6399	246.949566667	90.5239666667
"EG10033"	12.7033333333	25.2578333333	12.7033333333	140.5319	102.7373
"EG10034"	315.7285	313.0465	315.7285	293.638533333	186.147466667
"EG10035"	18.4771333333	192.455566667	18.4771333333	628.7749	33.5649
"EG10036"	3.99596666667	25.8688666667	3.99596666667	3.69353333333	23.4338666667
"EG10037"	3.33746666667	4.23513333333	3.33746666667	3.6703	13.4387666667
"EG10039"	122.420733333	170.1658	122.420733333	149.2863	193.391533333
"EG10040"	13.0468666667	11.1279333333	13.0468666667	12.446	7.63456666667
"EG10041"	76.2678	41.4195666667	76.2678	42.3524666667	57.4873
"EG10042"	33.5844333333	36.0685333333	33.5844333333	25.5828	37.5420666667
"EG10043"	56.5041	40.7340666667	56.5041	77.2266333333	189.9122
"EG10044"	83.1650333333	227.631466667	83.1650333333	189.6794	547.997433333
"EG10045"	52.0765	78.9013333333	52.0765	70.0612333333	48.1414333333
"EG10046"	30.2444333333	4.0499	30.2444333333	6.3536	9.0378
"EG10047"	132.5968	152.641066667	132.5968	83.3146333333	178.6676
"EG10048"	31.1895666667	40.7469333333	31.1895666667	26.6524333333	63.0965
"EG10049"	5.10993333333	6.6013	5.10993333333	8.52973333333	55.3425333333
"EG10050"	9.15416666667	6.15106666667	9.15416666667	3.6187	16.2988666667
"EG10051"	193.0529	296.613466667	193.0529	224.089133333	144.235266667
"EG10052"	2.37983333333	2.5609	2.37983333333	6.56956666667	3.86
"EG10053"	1.13546666667	1.08663333333	1.13546666667	3.437	1.95356666667
"EG10054"	12.5996333333	14.6635	12.5996333333	26.5183	22.7737
"EG10055"	1.6021	1.32663333333	1.6021	4.09503333333	1.95646666667
"EG10056"	4.95163333333	5.55183333333	4.95163333333	6.86266666667	7.82346666667
"EG10057"	2.6437	3.84463333333	2.6437	19.8237333333	2.69063333333
"EG10058"	6.44883333333	6.99763333333	6.44883333333	13.6318666667	7.66506666667
"EG10059"	6.93436666667	12.0872	6.93436666667	14.4915333333	17.7381333333
"EG10060"	9.69116666667	9.26933333333	9.69116666667	7.5291	13.2758
"EG10061"	406.007533333	354.9245	406.007533333	460.623933333	1080.5715
"EG10062"	64.2202333333	32.7376666667	64.2202333333	38.1422333333	57.1238333333
"EG10063"	6.96156666667	72.0983	6.96156666667	16.8863333333	17.1573333333
"EG10064"	13.2625	104.314833333	13.2625	36.2679666667	29.3545666667
"EG10065"	10.6009666667	83.8198	10.6009666667	27.758	21.9046666667
"EG10066"	13.1107666667	92.9720333333	13.1107666667	18.4046	20.6820666667
"EG10067"	10.6220666667	136.704233333	10.6220666667	30.0076666667	39.5458333333
"EG10068"	29.5752	268.137333333	29.5752	57.3104666667	80.8162333333
"EG10069"	5.93856666667	84.7731666667	5.93856666667	28.6486666667	8.77983333333
"EG10070"	80.2318	91.4054666667	80.2318	90.4793666667	133.2682
"EG10071"	50.5906666667	88.9803	50.5906666667	63.4754666667	56.5868666667
"EG10072"	24.6749	175.162333333	24.6749	101.090566667	132.557233333
"EG10073"	122.1683	402.453166667	122.1683	176.394133333	209.0552
"EG10074"	156.8689	239.869833333	156.8689	178.364566667	194.049533333
"EG10075"	128.863866667	173.8082	128.863866667	102.414933333	125.6726
"EG10076"	22.9944333333	39.9472333333	22.9944333333	50.0841333333	60.3276
"EG10077"	31.4509333333	38.7064333333	31.4509333333	24.7235333333	69.7143
"EG10078"	25.2653666667	784.533533333	25.2653666667	37.878	44.0964666667
"EG10079"	324.914833333	830.785866667	324.914833333	206.644566667	481.628566667
"EG10080"	33.2041333333	116.210633333	33.2041333333	107.304666667	54.4308
"EG10081"	189.403666667	307.869333333	189.403666667	204.050366667	233.8577
"EG10082"	114.352833333	322.6032	114.352833333	99.2513333333	44.1764333333
"EG10083"	12.3223	32.8499	12.3223	11.9233333333	17.5404333333
"EG10084"	37.5276333333	329.7771	37.5276333333	24.9793	46.6969
"EG10085"	5.80863333333	5.60313333333	5.80863333333	6.1629	8.2913
"EG10086"	4.16076666667	3.36623333333	4.16076666667	4.36896666667	5.7961
"EG10087"	9.1613	10.033	9.1613	11.5511666667	8.4073
"EG10088"	458.573066667	847.480033333	458.573066667	521.202033333	742.362033333
"EG10089"	3.07676666667	2.41946666667	3.07676666667	3.27286666667	5.12836666667
"EG10090"	1.0723	1.30316666667	1.0723	1.98576666667	1.55963333333
"EG10091"	325.8741	76.0066333333	325.8741	20.7042333333	23.6310333333
"EG10092"	193.6964	103.1428	193.6964	83.9364666667	109.841533333
"EG10093"	18.9487333333	14.6698	18.9487333333	13.8246333333	19.5863666667
"EG10094"	243.265466667	479.9438	243.265466667	375.8873	220.840233333
"EG10095"	560.7017	31.7910666667	560.7017	350.052533333	31.6586333333
"EG10096"	298.747633333	681.341566667	298.747633333	595.1704	472.4626
"EG10097"	130.944533333	158.2869	130.944533333	156.3135	222.1818
"EG10098"	1317.79513333	1175.07763333	1317.79513333	1314.0383	361.502
"EG10099"	654.004	905.702666667	654.004	887.7725	233.400733333
"EG10100"	1148.81696667	929.431366667	1148.81696667	1089.93796667	333.181
"EG10101"	1077.98263333	865.269066667	1077.98263333	990.614133333	341.880133333
"EG10102"	2025.6665	2320.65736667	2025.6665	2425.39546667	529.422866667
"EG10103"	1523.9648	1604.73433333	1523.9648	1661.43843333	404.3281
"EG10104"	1290.57	1088.0195	1290.57	1238.59753333	332.137666667
"EG10105"	1079.193	1104.1196	1079.193	1179.5351	333.068333333
"EG10106"	188.6743	413.2648	188.6743	267.275733333	57.3175666667
"EG10107"	128.463066667	221.990166667	128.463066667	91.5367	116.242633333
"EG10108"	582.6942	822.501166667	582.6942	772.9216	406.027866667
"EG10109"	20.9808	17.8737333333	20.9808	12.5821	20.8357
"EG10110"	24.1858333333	27.4891	24.1858333333	25.1601333333	41.3427
"EG10111"	60.9744333333	65.2577333333	60.9744333333	56.7942333333	71.0980333333
"EG10112"	7.57873333333	13.4782333333	7.57873333333	8.2239	12.8864333333
"EG10113"	133.4087	130.8581	133.4087	60.3539666667	209.3197
"EG10114"	2.01396666667	1.00966666667	2.01396666667	2.04133333333	0.933533333333
"EG10115"	16.6603	17.1950666667	16.6603	10.5758	6.221
"EG10116"	0.211233333333	0.4808	0.211233333333	1.26906666667	0.2706
"EG10117"	52.1559666667	49.5423	52.1559666667	73.4594666667	214.316833333
"EG10118"	108.8485	86.8097666667	108.8485	133.341966667	353.372833333
"EG10119"	47.4668	41.4540666667	47.4668	51.0451333333	126.420866667
"EG10120"	63.7022	57.9710666667	63.7022	65.5312	145.880633333
"EG10121"	51.0496333333	49.9947666667	51.0496333333	64.3297666667	166.831633333
"EG10122"	22.4869333333	17.7822666667	22.4869333333	18.4123333333	23.4229666667
"EG10123"	28.3063666667	30.7707333333	28.3063666667	22.2646666667	36.6956
"EG10124"	23.8275666667	28.7540666667	23.8275666667	23.1609	25.1232333333
"EG10125"	130.039933333	180.445033333	130.039933333	240.483966667	751.935966667
"EG10126"	73.8542	72.7701333333	73.8542	48.5010333333	31.0866
"EG10127"	20.4606	20.3530333333	20.4606	15.5548666667	14.6166666667
"EG10128"	32.5119666667	55.1560666667	32.5119666667	44.8979333333	84.6721
"EG10129"	37.1356	61.5011333333	37.1356	51.683	123.4419
"EG10130"	37.4885	39.6152333333	37.4885	45.3774333333	36.0628333333
"EG10131"	2.2614	2.0369	2.2614	1.9361	5.08893333333
"EG10132"	0.768666666667	0.469633333333	0.768666666667	0.668766666667	2.54296666667
"EG10133"	9.87023333333	4.00766666667	9.87023333333	2.7102	3.29576666667
"EG10134"	491.416766667	557.8798	491.416766667	8.01803333333	38.1325666667
"EG10135"	673.067933333	317.168033333	673.067933333	6.8092	30.4650666667
"EG10136"	48.3684333333	48.172	48.3684333333	45.2589333333	85.0403333333
"EG10137"	27.532	14.1785333333	27.532	26.4044	63.1435333333
"EG10138"	23.1330333333	16.0039333333	23.1330333333	19.0895	20.5305666667
"EG10139"	54.3698333333	86.3741666667	54.3698333333	55.5704333333	66.2135
"EG10140"	22.2243333333	22.2093666667	22.2243333333	24.0931333333	24.0164
"EG10141"	2.48856666667	2.72343333333	2.48856666667	3.84346666667	2.9144
