# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG10001_RNA"	"alr"	["alr", "alr5", "b4053", "ECK4045"]	"mRNA"	[]	"EG10001"	["ALARACEBIOSYN-MONOMER"]	null	[]
"EG10002_RNA"	"modB"	["modB", "chlJ", "tslJ", "b0764", "ECK0753"]	"mRNA"	[]	"EG10002"	["MODB-MONOMER"]	null	[]
"EG10003_RNA"	"cysZ"	["cysZ", "b2413", "ECK2408"]	"mRNA"	[]	"EG10003"	["EG10003-MONOMER"]	null	[]
"EG10004_RNA"	"dfp"	["dfp", "coaBC", "b3639", "ECK3629"]	"mRNA"	[]	"EG10004"	["EG10004-MONOMER"]	null	[]
"EG10006_RNA"	"dcuB"	["dcuB", "genF", "b4123", "ECK4116"]	"mRNA"	[]	"EG10006"	["DCUB-MONOMER"]	null	[]
"EG10007_RNA"	"hisM"	["hisM", "b2307", "ECK2301"]	"mRNA"	[]	"EG10007"	["HISM-MONOMER"]	null	[]
"EG10008_RNA"	"zraS"	["zraS", "hydH", "b4003", "ECK3995"]	"mRNA"	[]	"EG10008"	["HYDH-MONOMER"]	null	[]
"EG10010_RNA"	"rhsE"	["rhsE", "b1456", "ECK1450"]	"pseudo"	[]	"EG10010"	["EG10010-MONOMER"]	null	[]
"EG10011_RNA"	"yaaA"	["yaaA", "b0006", "ECK0006"]	"mRNA"	[]	"EG10011"	["EG10011-MONOMER"]	null	[]
"EG10012_RNA"	"cydC"	["cydC", "mdrA", "mdrH", "surB", "ycaB", "b0886", "ECK0877"]	"mRNA"	[]	"EG10012"	["CYDC-MONOMER"]	null	[]
"EG10013_RNA"	"mepM"	["mepM", "yebA", "b1856", "ECK1857"]	"mRNA"	[]	"EG10013"	["EG10013-MONOMER"]	null	[]
"EG10014_RNA"	"acrD"	["acrD", "yffA", "b2470", "ECK2465"]	"mRNA"	[]	"EG10014"	["ACRD-MONOMER"]	null	[]
"EG10015_RNA"	"rodZ"	["rodZ", "yfgA", "b2516", "ECK2512"]	"mRNA"	[]	"EG10015"	["EG10015-MONOMER"]	null	[]
