"id"	"halfLife"
"6S-RNA"	344.82
"C0067-RNA"	344.82
"C0293-RNA"	344.82
"C0299-RNA"	344.82
"C0343-RNA"	344.82
"C0362-RNA"	344.82
"C0465-RNA"	344.82
"C0614-RNA"	344.82
"C0664-RNA"	344.82
"C0719-RNA"	344.82
"C0730-RNA"	344.82
"CSRB-RNA"	344.82
"CSRC-RNA"	344.82
"DICF-RNA"	344.82
"DSRA-RNA"	344.82
"EG10001_RNA"	49.4096912369
"EG10002_RNA"	119.397741383
"EG10003_RNA"	87.0918109328
"EG10004_RNA"	101.446409858
"EG10006_RNA"	86.8842101935
"EG10007_RNA"	71.1839231452
"EG10008_RNA"	86.8842101935
"EG10010_RNA"	86.8842101935
"EG10011_RNA"	68.9237032559
"EG10012_RNA"	50.5475703675
"EG10013_RNA"	93.1760307886
"EG10014_RNA"	48.305939177
"EG10015_RNA"	52.8159849988
"EG10016_RNA"	86.8842101935
"EG10017_RNA"	47.6048504263
"EG10018_RNA"	27.856953091
"EG10020_RNA"	165.69239281
"EG10021_RNA"	169.99040009
"EG10022_RNA"	322.658692384
"EG10023_RNA"	86.8842101935
"EG10024_RNA"	107.98037497
"EG10025_RNA"	119.446187778
"EG10026_RNA"	99.3043152101
"EG10027_RNA"	123.818893336
"EG10028_RNA"	78.7802530431
"EG10029_RNA"	68.5428278213
"EG10030_RNA"	98.7545016198
"EG10031_RNA"	151.333710366
"EG10032_RNA"	201.250979384
"EG10033_RNA"	417.671042788
"EG10034_RNA"	81.9640647101
"EG10035_RNA"	271.840563332
"EG10036_RNA"	86.8842101935
"EG10037_RNA"	86.8842101935
"EG10039_RNA"	306.714602713
"EG10040_RNA"	66.84837605
"EG10041_RNA"	129.402475078
"EG10042_RNA"	141.265805535
"EG10043_RNA"	138.843486672
"EG10044_RNA"	225.461156054
"EG10045_RNA"	78.0863297821
"EG10046_RNA"	86.8842101935
"EG10047_RNA"	82.4854694503
"EG10048_RNA"	41.5813181975
"EG10049_RNA"	86.8842101935
"EG10050_RNA"	86.8842101935
"EG10051_RNA"	101.117944445
"EG10052_RNA"	86.8842101935
"EG10053_RNA"	86.8842101935
"EG10054_RNA"	86.8842101935
"EG10055_RNA"	86.8842101935
"EG10056_RNA"	130.029399144
"EG10057_RNA"	86.8842101935
"EG10058_RNA"	86.8842101935
"EG10059_RNA"	86.8842101935
"EG10060_RNA"	48.5485221846
"EG10061_RNA"	199.174859408
"EG10062_RNA"	121.577599747
"EG10063_RNA"	86.8842101935
"EG10064_RNA"	116.672524112
"EG10065_RNA"	86.8842101935
"EG10066_RNA"	79.4892694098
"EG10067_RNA"	113.179378623
"EG10068_RNA"	141.931034004
"EG10069_RNA"	86.8842101935
"EG10070_RNA"	105.794348718
"EG10071_RNA"	77.0548592641
"EG10072_RNA"	157.12967347
"EG10073_RNA"	78.016069858
"EG10074_RNA"	48.5017461993
"EG10075_RNA"	125.706862611
"EG10076_RNA"	155.179342992
"EG10077_RNA"	68.0943335271
"EG10078_RNA"	97.1308383687
"EG10079_RNA"	87.3910807551
"EG10080_RNA"	96.5806299997
"EG10081_RNA"	57.1372130128
"EG10082_RNA"	106.355476729
"EG10083_RNA"	70.7857073702
"EG10084_RNA"	134.342454424
"EG10085_RNA"	206.558513442
"EG10086_RNA"	124.424946632
"EG10087_RNA"	49.3462665161
"EG10088_RNA"	317.100466991
"EG10089_RNA"	67.7007514475
"EG10090_RNA"	52.1304720947
"EG10091_RNA"	137.653829622
"EG10092_RNA"	132.794731075
"EG10093_RNA"	69.7969728531
"EG10094_RNA"	113.674427537
"EG10095_RNA"	158.197391486
"EG10096_RNA"	293.644367821
"EG10097_RNA"	73.6784608227
"EG10098_RNA"	79.7994135209
"EG10099_RNA"	97.6618371499
"EG10100_RNA"	122.954991787
"EG10101_RNA"	95.3996553322
"EG10102_RNA"	133.091520865
"EG10103_RNA"	90.0849363406
"EG10104_RNA"	81.7893807415
"EG10105_RNA"	83.4029797126
"EG10106_RNA"	43.5369812891
"EG10107_RNA"	49.4834710727
"EG10108_RNA"	147.626347994
"EG10109_RNA"	186.988375945
"EG10110_RNA"	194.161534899
"EG10111_RNA"	86.8842101935
"EG10112_RNA"	45.8543678747
"EG10113_RNA"	86.8842101935
"EG10114_RNA"	86.8842101935
"EG10115_RNA"	86.8842101935
"EG10116_RNA"	86.8842101935
"EG10117_RNA"	86.8842101935
"EG10118_RNA"	117.474910526
"EG10119_RNA"	85.0777658418
"EG10120_RNA"	214.150255612
"EG10121_RNA"	150.895802417
"EG10122_RNA"	113.17475256
"EG10123_RNA"	75.5101369074
"EG10124_RNA"	81.8100787409
"EG10125_RNA"	343.629397655
"EG10126_RNA"	87.3828881775
"EG10127_RNA"	107.734665848
"EG10128_RNA"	120.329040089
"EG10129_RNA"	163.272186583
"EG10130_RNA"	118.600921758
"EG10131_RNA"	86.8842101935
"EG10132_RNA"	86.8842101935
"EG10133_RNA"	57.228933206
"EG10134_RNA"	296.215286593
"EG10135_RNA"	259.805459946
"EG10136_RNA"	64.4734391655
"EG10137_RNA"	194.856937943
"EG10138_RNA"	67.437519278
"EG10139_RNA"	61.7205183426
"EG10140_RNA"	308.35479565
"EG10141_RNA"	154.921769662
"EG10142_RNA"	238.028076856
"EG10143_RNA"	116.825679424
"EG10144_RNA"	609.291518139
"EG10145_RNA"	121.013424637
"EG10146_RNA"	182.116411038
"EG10147_RNA"	120.804881357
"EG10148_RNA"	86.8842101935
"EG10149_RNA"	184.317896296
"EG10150_RNA"	320.973739372
"EG10151_RNA"	376.178776273
"EG10152_RNA"	81.4940942119
"EG10153_RNA"	114.094073476
"EG10154_RNA"	83.5664352199
"EG10155_RNA"	120.53548898
"EG10156_RNA"	195.477746675
"EG10157_RNA"	86.8842101935
"EG10158_RNA"	213.532488694
"EG10159_RNA"	157.299216817
"EG10160_RNA"	186.958529775
"EG10161_RNA"	86.8842101935
"EG10162_RNA"	86.8842101935
"EG10163_RNA"	106.171733083
"EG10164_RNA"	95.3133671411
"EG10165_RNA"	210.468462713
"EG10166_RNA"	98.2260697465
"EG10167_RNA"	94.4385503119
"EG10168_RNA"	71.9902347651
"EG10169_RNA"	91.0697233583
"EG10170_RNA"	19.9883366596
"EG10172_RNA"	74.4464330247
"EG10173_RNA"	177.805460736
"EG10174_RNA"	207.103475495
"EG10175_RNA"	86.8842101935
"EG10176_RNA"	365.82799568
"EG10177_RNA"	140.07432132
"EG10178_RNA"	85.4824399482
"EG10179_RNA"	73.3734201467
"EG10180_RNA"	102.509375798
"EG10181_RNA"	117.823805795
"EG10182_RNA"	107.366942349
"EG10183_RNA"	52.0762853189
"EG10184_RNA"	146.233827457
"EG10185_RNA"	86.8842101935
"EG10186_RNA"	90.9822634005
"EG10187_RNA"	86.9276463192
"EG10188_RNA"	119.802896921
"EG10189_RNA"	161.493869693
"EG10190_RNA"	84.8373877261
"EG10191_RNA"	59.388428962
"EG10192_RNA"	228.588473787
"EG10193_RNA"	81.6958722705
"EG10194_RNA"	166.421017632
"EG10195_RNA"	35.0663151654
"EG10196_RNA"	98.3670334507
"EG10197_RNA"	86.8842101935
"EG10198_RNA"	61.9951877416
"EG10200_RNA"	36.9601314345
"EG10201_RNA"	57.878181189
"EG10202_RNA"	86.8842101935
"EG10203_RNA"	75.641048785
"EG10204_RNA"	47.626720509
"EG10205_RNA"	94.8152777453
"EG10206_RNA"	134.621776192
"EG10207_RNA"	91.7416345981
"EG10208_RNA"	107.793201625
"EG10209_RNA"	47.6993655566
"EG10210_RNA"	77.5280038358
"EG10211_RNA"	44.0684123346
"EG10212_RNA"	237.191297911
"EG10213_RNA"	125.29506298
"EG10214_RNA"	46.8700392074
"EG10215_RNA"	79.1070664668
"EG10216_RNA"	114.68814967
"EG10217_RNA"	101.658458108
"EG10218_RNA"	78.2316490321
"EG10219_RNA"	235.047435794
"EG10220_RNA"	370.255868693
"EG10221_RNA"	234.653438953
"EG10222_RNA"	178.353834833
"EG10223_RNA"	52.005110711
"EG10224_RNA"	135.014288154
"EG10225_RNA"	80.1307351288
"EG10226_RNA"	27.8519127269
"EG10227_RNA"	86.8842101935
"EG10228_RNA"	86.8842101935
"EG10229_RNA"	125.556287888
"EG10230_RNA"	277.804912503
"EG10231_RNA"	162.525200183
"EG10232_RNA"	115.656424198
"EG10233_RNA"	181.206510628
"EG10234_RNA"	167.767745421
"EG10235_RNA"	48.5142830791
"EG10236_RNA"	27.8763193265
"EG10237_RNA"	86.8842101935
"EG10238_RNA"	54.5515661548
"EG10239_RNA"	34.6429397992
"EG10240_RNA"	73.6209723058
"EG10241_RNA"	85.478643685
"EG10242_RNA"	55.2057137311
"EG10243_RNA"	86.8842101935
"EG10244_RNA"	34.4087857447
"EG10245_RNA"	112.372051081
"EG10246_RNA"	53.5975232628
"EG10247_RNA"	155.494167271
"EG10248_RNA"	41.8862260628
"EG10249_RNA"	155.823018656
"EG10250_RNA"	137.230240921
"EG10251_RNA"	129.353192151
"EG10252_RNA"	63.9361117801
"EG10253_RNA"	117.246164401
"EG10254_RNA"	88.2492332553
"EG10255_RNA"	434.631081806
"EG10256_RNA"	301.939466517
"EG10257_RNA"	279.283426362
"EG10258_RNA"	226.69746173
"EG10259_RNA"	132.377933393
"EG10260_RNA"	148.431853131
"EG10261_RNA"	244.479410994
"EG10262_RNA"	86.8842101935
"EG10263_RNA"	127.374880201
"EG10264_RNA"	99.6072974494
"EG10265_RNA"	141.906160421
"EG10266_RNA"	86.8842101935
"EG10267_RNA"	115.376158821
"EG10268_RNA"	86.8842101935
"EG10269_RNA"	128.775225525
"EG10270_RNA"	55.3741007544
"EG10271_RNA"	47.3726123262
"EG10272_RNA"	46.172429625
"EG10273_RNA"	194.345284396
"EG10274_RNA"	64.0585314811
"EG10275_RNA"	140.119026325
"EG10276_RNA"	97.1217976412
"EG10277_RNA"	79.0778962409
"EG10278_RNA"	208.130102076
"EG10279_RNA"	231.914068612
"EG10280_RNA"	203.713765862
"EG10281_RNA"	44.7268917212
"EG10282_RNA"	142.778477338
"EG10283_RNA"	107.810286285
"EG10284_RNA"	81.0365203978
"EG10285_RNA"	146.223351775
"EG10286_RNA"	80.0048038043
"EG10287_RNA"	80.814251045
"EG10288_RNA"	88.1096343176
"EG10289_RNA"	60.4203389086
"EG10290_RNA"	84.4576662468
"EG10291_RNA"	42.0374529912
"EG10292_RNA"	30.7713041008
"EG10293_RNA"	68.97137588
"EG10294_RNA"	44.847492081
"EG10295_RNA"	63.0884672755
"EG10296_RNA"	86.8842101935
"EG10297_RNA"	86.8842101935
"EG10298_RNA"	33.2331553673
"EG10299_RNA"	86.8842101935
"EG10300_RNA"	58.1736908073
"EG10301_RNA"	82.1458221951
"EG10302_RNA"	71.7029381048
"EG10303_RNA"	59.1022776907
"EG10304_RNA"	51.9199673073
"EG10305_RNA"	39.8942337924
"EG10306_RNA"	166.88754092
"EG10307_RNA"	86.8842101935
"EG10308_RNA"	86.8842101935
"EG10309_RNA"	334.616339458
"EG10310_RNA"	67.6009459361
"EG10311_RNA"	86.8842101935
"EG10312_RNA"	86.8842101935
"EG10313_RNA"	86.8842101935
"EG10314_RNA"	86.8842101935
"EG10315_RNA"	56.2575119559
"EG10316_RNA"	80.5144395522
"EG10317_RNA"	120.540082364
"EG10318_RNA"	101.028363975
"EG10319_RNA"	54.2823681643
"EG10320_RNA"	74.0306142722
