"molecule id"	"lower bound"	"upper bound"
"ATP[c]"	3.15	3.15
"WATER[c]"	3.15	3.15
"CARBON-DIOXIDE[p]"	null	null
"WATER[p]"	null	null
"Pi[p]"	null	null
"PROTON[p]"	null	null
"FORMATE[p]"	null	null
"ACET[p]"	null	null
"ETOH[p]"	null	null
"SUC[p]"	null	null
"D-LACTATE[p]"	null	null
"GLYCEROL[p]"	null	null
"HYDROGEN-MOLECULE[c]"	null	null
"URACIL[p]"	null	null
"XANTHINE[p]"	null	null
"HYPOXANTHINE[p]"	null	null
"THYMINE[p]"	null	null
"INDOLE[p]"	null	null
"UREA[p]"	null	null
"D-ALANINE[p]"	null	null
"UNDECAPRENYL-DIPHOSPHATE[p]"	null	null
"CPD-560[p]"	null	null
"CPD-108[p]"	null	null
"MI-PENTAKISPHOSPHATE[p]"	null	null
"CPD-534[p]"	null	null
"CARBON-MONOXIDE[p]"	null	null
"METOH[p]"	null	null
"CPD-10774[p]"	null	null
"BETAINE[p]"	null	null
"CPD-239[p]"	null	null
"CPD-564[c]"	null	null
"CPD0-2167[c]"	null	null
"CH33ADO[c]"	null	null
"CPD-1772[c]"	null	null
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c]"	null	null
"BUTANAL[c]"	null	null
"GLYCOLALDEHYDE[c]"	null	null
"GLYCOLLATE[c]"	null	null
# "CPD-10774[c]"	null	null
