Gene Name	Mean_Protein
yaaA	14.738
mog	21.221
dnaK	2435.911
dnaJ	68.948
ribF	13.22
ileS	64.061
lytB	30.665
dapB	50.366
carA	477.221
fixB	0.326
fixC	3.352
kefC	3.107
folA	37.932
apaG	0.82
surA	6.869
yabO	5.437
hepA	25.95
araB	1.594
fruR	28.733
yabB	5.859
yabC	20.017
murE	31.722
murF	19.117
murG	12.39
ftsA	58.922
secA	71.319
mutT	3.868
yacG	21.952
guaC	67.478
hofB	0.774
nadC	39.117
aceE	843.19
aceF	850.657
lpd	485.277
acnB	231.593
yacL	3.867
speD	48.701
yacK	0.661
yadG	11.416
yadE	1.944
panC	53.307
htrE	1.275
pcnB	26.676
yadB	2.26
yadP	1.557
mrcB	0.945
fhuA	3.905
fhuC	11.085
yadR	199.339
yaeG	0.642
yaeH	150.126
glnD	7.718
map	124.971
tsf	726.726
pyrH	136.925
frr	8.957
b0174	21.068
hlpA	20.347
lpxD	96.296
fabZ	169.29
lpxB	13.028
dnaE	8.149
ldcC	8.881
yaeR	30.764
yaeQ	8.473
yaeJ	0.526
yaeC	15.557
yafC	18.608
yafD	7.967
dniR	0.772
gloB	7.29
yafV	22.611
fadE	11.891
dinJ	55.045
yafM	0.157
yafO	2.34
pepD	165.478
yafA	4.914
proA	50.991
mhpF	18.658
mhpE	1.758
adhC	28.569
yaiN	183.053
ddlA	25.582
yaiI	3.5
yaiA	40.98
yaiE	102.751
sbcC	3.02
phoR	10.944
yajC	1538.261
b0420	59.694
ispA	22.682
yajQ	128.245
cyoE	6.786
cyoD	114.088
cyoC	46.768
yajG	9.556
bolA	82.072
tig	729.704
clpP	434.101
lon	158.851
hupB	1146.626
ybaX	15.784
ybaE	3.347
mdlA	1.871
mdlB	5.423
ybaZ	4.021
ybaA	1.058
ylaD	8.178
ybaJ	0.281
dnaX	14.346
ybaB	91.551
adk	687.39
hemH	0.502
ybaK	27.612
ybaP	8.2
ybaS	22.11
ybbN	127.561
ybbO	28.971
b0502	0.48
ybbB	6.821
gcl	1.181
glxK	4.205
allC	1.03
ybbF	5.421
ppiB	384.865
cysS	80
intD	1.77
b0542	3.438
nfrA	1.075
nfrB	2.786
cusS	2.136
ybdG	9.066
ybdF	5.995
ybdK	11.685
entF	32.275
fepB	8.456
entE	33.049
ybdB	88.981
ybdN	1.991
dsbG	15.511
ybdQ	80.329
rnk	4.373
rna	1.475
citG	0.455
citB	1.062
cspE	3057.05
ybeC	27.157
lipA	30.797
ybeD	213.204
dacA	5.122
ybeA	14.628
ybeB	61.01
phpB	2.07
leuS	96.516
ybeL	68.529
ybeW	0.3
gltI	0.207
ybeX	43.68
ybeY	20.673
ybeZ	56.629
yleB	18.52
nagC	37.702
glnS	67.294
fur	193.209
fldA	355.062
ybfF	13.199
seqA	49.983
pgm	98.608
kdpE	5.556
kdpD	8.768
b0703	9.911
phrB	3.476
nei	0.885
gltA	89.104
b0725	0.302
sucA	158.495
cydA	485.087
ybgC	32.895
tolB	3.359
ybgF	0.253
gpmA	760.082
galM	48.021
bioF	0.961
uvrB	11.53
moaC	0.181
moaD	8.855
moaE	7.619
ybhF	1.038
ybiB	51.812
ybiC	55.45
ybiM	1.64
ybiN	20.175
dps	8.687
ybiS	9.515
ybiT	25.551
b0822	13.503
moeB	1.41
moeA	22.914
yliB	2.167
b0836	0.616
yliJ	106.978
b0844	6.345
artP	35.802
ybjP	0.922
b0866	56.032
ybjX	9.267
b0878	0.251
cspD	53.579
clpA	197.673
infA	637.755
cydC	16.468
cydD	15.779
ftsK	4.585
lolA	2.87
ycaJ	8.66
serS	168.148
ycaK	0.721
pflB	238.944
ycaO	0.325
serC	187.766
msbA	24.296
kdsB	35.914
b0919	1.183
mukF	11
mukB	37.896
ycbB	2.697
ycbL	42.293
aspC	248.055
pncB	27.614
pepN	133.679
ycbE	0.256
ycbY	0.418
uup	14.02
pqiB	0.756
ymbA	0.744
fabA	610.512
sulA	1.571
b0959	0.383
b0964	0.32
b0965	24.635
b0968	14.755
appC	3.091
cspG	0.06
torS	2.764
torA	0.811
yccD	44.788
yccJ	108.101
wrbA	219.007
b1010	0.218
b1012	0.093
putA	12.847
putP	32.437
ycdO	5.872
phoH	14.447
pgaA	1.314
ycdW	13.396
csgG	2.845
csgD	23.322
ymdC	3.143
mdoH	30.192
yceA	36.831
mviM	17.7
yceC	12.929
yceF	23.693
yceD	42.904
plsX	18.22
fabH	84.754
fabD	5.316
fabF	73.676
tmk	13.506
holB	11.615
ycfH	7.146
ycfF	73.177
nagZ	5.274
ycfP	51.647
ndh	58.781
ycfR	1.134
mfd	10.744
b1117	56.729
ycfX	9.764
cobB	25.486
pepT	14.968
ycfD	28.655
phoQ	7.058
purB	100.924
ycfB	60.094
ycgE	11.335
b1163	9.01
fadR	28.758
dadX	10.883
treA	2.07
ycgC	19.418
b1200	64.567
ycgV	0.341
pth	15.983
prsA	283.238
ychB	8.579
prfA	25.663
kdsA	94.955
narG	2.978
narH	1.101
narJ	5.44
b1228	0.67
ychJ	12.163
ychK	13.06
b1240	0.244
b1248	17.477
kch	29.372
yciI	93.78
yciE	4.107
yciF	62.672
yciL	51.674
sohB	42.35
yciN	88.954
topA	60.165
cysB	46.069
yciM	13.589
fabI	342.234
sapF	7.617
sapA	3.547
ymjA	39.293
ycjX	5.889
tyrR	10.341
b1327	8.579
ydaA	87.363
ogt	2.209
b1337	0.173
b1341	29.269
recE	0.183
b1355	0.403
ydaW	1.778
b1371	1.865
b1374	5.622
ynaF	125.83
ydbK	14.723
hslJ	2.78
ydbO	2.214
b1391	0.487
paaF	0.699
b1396	0.17
b1398	0.05
b1399	6.23
ydbC	6.566
b1410	0.112
hrpA	10.191
aldA	125.054
ydcI	1.772
b1423	3.925
tehB	11.537
ydcN	4.435
ydcP	11
yncB	52.44
narW	2.926
narZ	0.987
fdnG	0.209
rpsV	3123.624
osmC	1.205
ddpA	14
pqqL	0.851
b1501	0.779
hipA	4.308
ydeH	6.114
ydeI	0.653
ydeJ	11.72
dcp	32.605
ydfG	126.723
b1552	54.184
b1555	90.108
cspB	53.435
relE	1.943
relB	33.857
rspA	0.223
b1593	2.989
b1598	1.263
fumC	20.83
manA	22.119
b1624	23.166
b1625	41.427
b1628	3.979
rsxC	8.534
nth	6.104
pdxH	25.51
b1648	18.493
b1649	6.373
gloA	98.724
lhr	4.216
ydhD	448.401
b1667	70.832
b1668	18.178
b1672	0.433
b1673	0.927
b1675	21.463
pykF	0.152
ynhG	3.653
b1685	253.529
ydiJ	6.558
ydiB	0.364
pps	115.188
ydiA	18.364
thrS	783.577
pfkB	36.614
b1731	7.844
katE	149.12
ydjC	1.772
nadE	30.911
spy	0.158
b1745	2.875
astC	19.916
xthA	6.681
topB	8.997
ydjA	29.847
ansA	29.931
ydjB	18.786
b1770	23.538
b1773	0.921
yeaA	60.858
gapA	2380.382
yeaU	2.432
rnd	5.04
yeaB	4.674
manX	57.951
manY	197.264
cspC	7890.539
htpX	22.639
yebJ	166.482
yebE	13.232
yebG	75.599
edd	16.906
zwf	113.158
pykA	118.856
lpxM	24.963
yebM	8.029
yebB	0.557
ruvC	4.108
yebC	162.088
aspS	182.294
yecM	9.311
cheY	11.765
tar	0.334
cheW	0.437
flhC	1.058
flhD	8.244
otsA	43.825
pgsA	25.135
uvrC	9.982
uvrY	29.111
sdiA	11.684
yecC	9.903
yedO	19.701
fliY	4.901
fliN	0.153
yedJ	1.016
yedU	31.362
yedV	3.461
yedW	1.456
b1983	47.252
cobT	6.713
flu	2.273
yeeR	1.753
