rna id	ratio to 16SrRNA at 0.4 hr^-1	ratio to 16SrRNA at 0.7 hr^-1	ratio to 16SrRNA at 1.07 hr^-1	ratio to 16SrRNA at 1.6 hr^-1	ratio to 16SrRNA at 2.5 hr^-1
alaX-tRNA[c]	0.154	0.11	0.072	0.096	0.078
valV-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
trpT-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
metY-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
glyV-tRNA[c]	0.06	0.045	0.035	0.0375	0.035
cysT-tRNA[c]	0.1725	0.135	0.11	0.12	0.12
ileX-tRNA[c]	0.095	0.08	0.0675	0.0625	0.065
glyU-tRNA[c]	0.2167	0.18	0.1533	0.1467	0.1333
argX-tRNA[c]	0.2167	0.18	0.1533	0.1467	0.1333
metW-tRNA[c]	0.2167	0.18	0.1533	0.1467	0.1333
lysV-tRNA[c]	0.06	0.05	0.04	0.04	0.035
leuU-tRNA[c]	0.06	0.05	0.04	0.04	0.035
thrT-tRNA[c]	0.2375	0.1675	0.125	0.15	0.1225
gltV-tRNA[c]	0.17	0.11	0.09	0.08	0.07
alaV-tRNA[c]	0.2375	0.1675	0.125	0.15	0.1225
argV-tRNA[c]	0.08	0.07	0.05	0.06	0.04
alaW-tRNA[c]	0.13	0.12	0.05	0.06	0.04
leuV-tRNA[c]	0.2375	0.1675	0.125	0.15	0.1225
serU-tRNA[c]	0.2375	0.1675	0.125	0.15	0.1225
leuZ-tRNA[c]	0.06	0.045	0.035	0.0375	0.035
leuW-tRNA[c]	0.06	0.045	0.035	0.0375	0.035
glyX-tRNA[c]	0.06	0.045	0.035	0.0375	0.035
hisR-tRNA[c]	0.16	0.1233	0.09	0.1	0.0967
glyY-tRNA[c]	0.16	0.1233	0.09	0.1	0.0967
RNA0-300[c]	0.16	0.1233	0.09	0.1	0.0967
serV-tRNA[c]	0.32	0.22	0.17	0.18	0.14
glyW-tRNA[c]	0.075	0.06	0.06	0.04	0.04
glnU-tRNA[c]	0.09	0.07	0.055	0.065	0.06
glnX-tRNA[c]	0.075	0.06	0.06	0.04	0.04
lysT-tRNA[c]	0.09	0.07	0.055	0.065	0.06
argY-tRNA[c]	0.235	0.1775	0.135	0.1525	0.14
tyrT-tRNA[c]	0.235	0.1775	0.135	0.1525	0.14
tyrU-tRNA[c]	0.235	0.1775	0.135	0.1525	0.14
valY-tRNA[c]	0.235	0.1775	0.135	0.1525	0.14
proK-tRNA[c]	0.215	0.17	0.13	0.14	0.11
argQ-tRNA[c]	0.215	0.17	0.13	0.14	0.11
leuQ-tRNA[c]	0.2175	0.175	0.1375	0.125	0.12
proM-tRNA[c]	0.2175	0.175	0.1375	0.125	0.12
gltW-tRNA[c]	0.2175	0.175	0.1375	0.125	0.12
glnW-tRNA[c]	0.2175	0.175	0.1375	0.125	0.12
valT-tRNA[c]	0.13	0.1	0.09	0.08	0.08
asnV-tRNA[c]	0.115	0.09	0.0733	0.08	0.08
glnV-tRNA[c]	0.115	0.09	0.0733	0.08	0.08
pheU-tRNA[c]	0.115	0.09	0.0733	0.08	0.08
thrW-tRNA[c]	0.1725	0.135	0.11	0.12	0.12
ileV-tRNA[c]	0.2225	0.17	0.1375	0.135	0.105
proL-tRNA[c]	0.2225	0.17	0.1375	0.135	0.105
gltU-tRNA[c]	0.2225	0.17	0.1375	0.135	0.105
argW-tRNA[c]	0.19	0.16	0.13	0.12	0.11
metZ-tRNA[c]	0.2225	0.17	0.1375	0.135	0.105
gltT-tRNA[c]	0.13	0.11	0.09	0.08	0.06
metT-tRNA[c]	0.38	0.29	0.23	0.24	0.18
thrU-tRNA[c]	0.23	0.16	0.13	0.09	0.07
alaT-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
argZ-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
aspT-tRNA[c]	0.0633	0.0517	0.04	0.0367	0.0333
serX-tRNA[c]	0.07	0.06	0.045	0.05	0.045
leuX-tRNA[c]	0.07	0.06	0.045	0.05	0.045
alaU-tRNA[c]	0.095	0.08	0.0675	0.0625	0.065
