"rna id"	"ratio to 16SrRNA"
"alaX-tRNA[c]"	0.078
"valV-tRNA[c]"	0.0333
"trpT-tRNA[c]"	0.0333
"metY-tRNA[c]"	0.0333
"glyV-tRNA[c]"	0.035
"cysT-tRNA[c]"	0.12
"ileX-tRNA[c]"	0.065
"glyU-tRNA[c]"	0.1333
"argX-tRNA[c]"	0.1333
"metW-tRNA[c]"	0.1333
"lysV-tRNA[c]"	0.035
"leuU-tRNA[c]"	0.035
"thrT-tRNA[c]"	0.1225
"gltV-tRNA[c]"	0.07
"alaV-tRNA[c]"	0.1225
"argV-tRNA[c]"	0.04
"alaW-tRNA[c]"	0.04
"leuV-tRNA[c]"	0.1225
"serU-tRNA[c]"	0.1225
"leuZ-tRNA[c]"	0.035
"leuW-tRNA[c]"	0.035
"glyX-tRNA[c]"	0.035
"hisR-tRNA[c]"	0.0967
"glyY-tRNA[c]"	0.0967
"RNA0-300[c]"	0.0967
"serV-tRNA[c]"	0.14
"glyW-tRNA[c]"	0.04
"glnU-tRNA[c]"	0.06
"glnX-tRNA[c]"	0.04
"lysT-tRNA[c]"	0.06
"argY-tRNA[c]"	0.14
"tyrT-tRNA[c]"	0.14
"tyrU-tRNA[c]"	0.14
"valY-tRNA[c]"	0.14
"proK-tRNA[c]"	0.11
"argQ-tRNA[c]"	0.11
"leuQ-tRNA[c]"	0.12
"proM-tRNA[c]"	0.12
"gltW-tRNA[c]"	0.12
"glnW-tRNA[c]"	0.12
"valT-tRNA[c]"	0.08
"asnV-tRNA[c]"	0.08
"glnV-tRNA[c]"	0.08
"pheU-tRNA[c]"	0.08
"thrW-tRNA[c]"	0.12
"ileV-tRNA[c]"	0.105
"proL-tRNA[c]"	0.105
"gltU-tRNA[c]"	0.105
"argW-tRNA[c]"	0.11
"metZ-tRNA[c]"	0.105
"gltT-tRNA[c]"	0.06
"metT-tRNA[c]"	0.18
"thrU-tRNA[c]"	0.07
"alaT-tRNA[c]"	0.0333
"argZ-tRNA[c]"	0.0333
"aspT-tRNA[c]"	0.0333
"serX-tRNA[c]"	0.045
"leuX-tRNA[c]"	0.045
"alaU-tRNA[c]"	0.065
"aspU-tRNA[c]"	0.065
"asnT-tRNA[c]"	0.065
"lysW-tRNA[c]"	0.05
"RNA0-306[c]"	0.05
"RNA0-305[c]"	0.05
"RNA0-304[c]"	0.07
"RNA0-303[c]"	0.05
"RNA0-302[c]"	0.02
"RNA0-301[c]"	0.14
"leuT-tRNA[c]"	0.03
"metU-tRNA[c]"	0.11
"asnU-tRNA[c]"	0.04
"valU-tRNA[c]"	0.04
"valX-tRNA[c]"	0.11
"argU-tRNA[c]"	0.13
"serW-tRNA[c]"	0.01
"valW-tRNA[c]"	0.06
"selC-tRNA[c]"	0.1
"glyT-tRNA[c]"	0.04
"aspV-tRNA[c]"	0.1
"serT-tRNA[c]"	0.04
"ileT-tRNA[c]"	0.078
"pheV-tRNA[c]"	0.078
"tyrV-tRNA[c]"	0.08
"ileU-tRNA[c]"	0.05
"leuP-tRNA[c]"	0.078
"thrV-tRNA[c]"	0.078
