"rna id"	"ratio to 16SrRNA"
"alaX-tRNA[c]"	0.11
"valV-tRNA[c]"	0.0517
"trpT-tRNA[c]"	0.0517
"metY-tRNA[c]"	0.0517
"glyV-tRNA[c]"	0.045
"cysT-tRNA[c]"	0.135
"ileX-tRNA[c]"	0.08
"glyU-tRNA[c]"	0.18
"argX-tRNA[c]"	0.18
"metW-tRNA[c]"	0.18
"lysV-tRNA[c]"	0.05
"leuU-tRNA[c]"	0.05
"thrT-tRNA[c]"	0.1675
"gltV-tRNA[c]"	0.11
"alaV-tRNA[c]"	0.1675
"argV-tRNA[c]"	0.07
"alaW-tRNA[c]"	0.12
"leuV-tRNA[c]"	0.1675
"serU-tRNA[c]"	0.1675
"leuZ-tRNA[c]"	0.045
"leuW-tRNA[c]"	0.045
"glyX-tRNA[c]"	0.045
"hisR-tRNA[c]"	0.1233
"glyY-tRNA[c]"	0.1233
"RNA0-300[c]"	0.1233
"serV-tRNA[c]"	0.22
"glyW-tRNA[c]"	0.06
"glnU-tRNA[c]"	0.07
"glnX-tRNA[c]"	0.06
"lysT-tRNA[c]"	0.07
"argY-tRNA[c]"	0.1775
"tyrT-tRNA[c]"	0.1775
"tyrU-tRNA[c]"	0.1775
"valY-tRNA[c]"	0.1775
"proK-tRNA[c]"	0.17
"argQ-tRNA[c]"	0.17
"leuQ-tRNA[c]"	0.175
"proM-tRNA[c]"	0.175
"gltW-tRNA[c]"	0.175
"glnW-tRNA[c]"	0.175
"valT-tRNA[c]"	0.1
"asnV-tRNA[c]"	0.09
"glnV-tRNA[c]"	0.09
"pheU-tRNA[c]"	0.09
"thrW-tRNA[c]"	0.135
"ileV-tRNA[c]"	0.17
"proL-tRNA[c]"	0.17
"gltU-tRNA[c]"	0.17
"argW-tRNA[c]"	0.16
"metZ-tRNA[c]"	0.17
"gltT-tRNA[c]"	0.11
"metT-tRNA[c]"	0.29
"thrU-tRNA[c]"	0.16
"alaT-tRNA[c]"	0.0517
"argZ-tRNA[c]"	0.0517
"aspT-tRNA[c]"	0.0517
"serX-tRNA[c]"	0.06
"leuX-tRNA[c]"	0.06
"alaU-tRNA[c]"	0.08
"aspU-tRNA[c]"	0.08
"asnT-tRNA[c]"	0.08
"lysW-tRNA[c]"	0.085
"RNA0-306[c]"	0.085
"RNA0-305[c]"	0.11
"RNA0-304[c]"	0.12
"RNA0-303[c]"	0.09
"RNA0-302[c]"	0.04
"RNA0-301[c]"	0.25
"leuT-tRNA[c]"	0.05
"metU-tRNA[c]"	0.2
"asnU-tRNA[c]"	0.06
"valU-tRNA[c]"	0.06
"valX-tRNA[c]"	0.17
"argU-tRNA[c]"	0.14
"serW-tRNA[c]"	0.02
"valW-tRNA[c]"	0.09
"selC-tRNA[c]"	0.13
"glyT-tRNA[c]"	0.055
"aspV-tRNA[c]"	0.18
"serT-tRNA[c]"	0.055
"ileT-tRNA[c]"	0.11
"pheV-tRNA[c]"	0.11
"tyrV-tRNA[c]"	0.11
"ileU-tRNA[c]"	0.09
"leuP-tRNA[c]"	0.11
"thrV-tRNA[c]"	0.11
