# From Sander et al. Table S7 (https://ars.els-cdn.com/content/image/1-s2.0-S2405471218304794-mmc2.xlsx)
	"Amino Acid Concentrations (mM)"									"Standard Deviation (mM)"
"Name"	"WT"	"argA*"	"trpE*"	"hisG*"	"leuA*"	"thrA*"	"ilvA*"	"proB*"		"WT"	"argA*"	"trpE*"	"hisG*"	"leuA*"	"thrA*"	"ilvA*"	"proB*"
"Glutamic acid"	65.7256	57.9094	65.8024	67.2983	71.8740	60.4359	63.5644	67.0189		1.5920	0.3201	2.0102	2.6739	0.8473	2.0073	1.8545	2.1758
"Glutamine"	6.6051	7.0832	6.6978	6.4007	6.9661	5.9412	5.6814	6.4987		0.8215	0.3318	0.2375	0.3037	0.4208	0.6460	0.2874	0.0574
"Arginine"	0.1382	0.3078	0.1210	0.1284	0.1092	0.0776	0.1020	0.1364		0.0159	0.0282	0.0053	0.0145	0.0184	0.0248	0.0089	0.0108
"Proline"	0.4398	0.3850	0.5346	0.5981	0.5225	0.4656	0.4843	2.9528		0.0673	0.0352	0.0217	0.1176	0.0228	0.0263	0.0323	1.6073
"Aspartic acid"	2.9319	2.7415	2.4983	3.0707	2.2454	2.1832	2.3410	2.6685		0.2992	0.2817	0.3055	0.6978	0.2765	0.2512	0.1236	0.5011
"Asparagine"	0.4525	0.4426	0.4478	0.4802	0.4416	0.3844	0.4473	0.4737		0.1118	0.0106	0.0139	0.0713	0.0476	0.0119	0.0202	0.0448
"Lysine"	1.5447	1.5178	1.4104	1.3669	1.2533	0.9458	1.1176	1.2986		0.2936	0.1039	0.0636	0.1302	0.0863	0.1641	0.0665	0.1605
"Methionine"	0.0435	0.0452	0.0483	0.0543	0.0439	0.0593	0.0478	0.0546		0.0011	0.0048	0.0065	0.0087	0.0071	0.0043	0.0042	0.0108
"Threonine"	0.2934	0.3471	0.3104	0.3019	0.2675	3.4891	0.3265	0.3225		0.0423	0.0381	0.0068	0.0284	0.0265	0.1288	0.0267	0.0349
"(Iso-)Leucine"	0.2859	0.2678	0.2931	0.2924	2.3391	0.3534	1.3932	0.3112		0.0290	0.0099	0.0207	0.0641	0.0153	0.0623	0.0377	0.0965
"Valine"	0.3047	0.3076	0.3443	0.3712	0.1787	0.2746	0.2306	0.4319		0.0470	0.0245	0.0551	0.0230	0.0510	0.0752	0.0353	0.1337
"Alanine"	0.4007	0.4171	0.4518	0.4817	0.1717	0.3006	0.3616	0.4954		0.0441	0.0155	0.0491	0.1335	0.0296	0.0428	0.0210	0.1054
"Serine"	0.8872	0.8607	1.4223	2.3488	0.9344	1.1237	1.1327	1.9646		0.1688	0.1983	0.8965	1.1146	0.1814	0.3212	0.1499	0.9609
"Glycine"	0.8149	1.2319	1.3486	1.7086	0.9890	1.4286	0.8021	1.3114		0.1178	0.1245	0.3791	0.4859	0.2387	0.2806	0.2958	0.3665
"Histidine"	0.0825	0.0746	0.1399	1.3332	0.0939	0.1076	0.1073	0.1894		0.0145	0.0110	0.0744	0.0884	0.0248	0.0392	0.0114	0.0845
"Phenylalanine"	0.1187	0.1197	0.1547	0.1977	0.1495	0.1355	0.1271	0.1745		0.0153	0.0102	0.0616	0.0684	0.0331	0.0364	0.0024	0.0645
"Tryptophan"	0.0286	0.0290	0.1027	0.0652	0.0367	0.0458	0.0340	0.0440		0.0063	0.0042	0.0209	0.0324	0.0077	0.0151	0.0022	0.0111
"Tyrosine"	0.2287	0.2204	0.2750	0.4008	0.2832	0.2319	0.2286	0.3029		0.0228	0.0311	0.1315	0.1661	0.0083	0.0457	0.0338	0.0837
