Column array (EcoMAC)	CEL file name	GEO accession	Author	Date	Strain	Medium	Treatment (value)	Treatment (conditions)	Time (min)	Gene perturbated	Type of perturbation	Replicate	Predicted arrays by EBA	Environmental perturbations	Genetic perturbations	Arrays in WT condition	Growth rate (1/h)	Flag growth
1	GSM311429	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	0	WT		r1	0	0	0	1	1	0
2	GSM311430	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	0	WT		r1	0	0	0	1	1	0
3	GSM311431	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	90	WT		r1	0	0	0	1	1	0
4	GSM311432	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	90	WT		r1	0	0	0	1	1	0
5	GSM311433	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	210	WT		r1	0	0	0	1	1	0
6	GSM311434	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	210	WT		r1	0	0	0	1	1	0
7	GSM311435	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	90	rhsA	U	r1	1	0	0	0	1	0
8	GSM311436	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	90	rhsA	U	r1	1	0	0	0	1	0
9	GSM311437	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	210	rhsA	U	r1	1	0	0	0	1	0
10	GSM311438	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	210	rhsA	U	r1	1	0	0	0	1	0
11	GSM311439	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	90	rhsA	U	r1	1	0	0	0	1	0
12	GSM311440	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	90	rhsA	U	r1	1	0	0	0	1	0
13	GSM311441	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	210	rhsA	U	r1	1	0	0	0	1	0
14	GSM311442	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	210	rhsA	U	r1	1	0	0	0	1	0
15	GSM311443	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	0	rhsA	U	r2	1	0	0	0	1	0
16	GSM311444	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	0	rhsA	U	r2	1	0	0	0	1	0
17	GSM311445	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
18	GSM311446	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
19	GSM311447	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
20	GSM311448	GSE12411	K. Aggarwal	20080811	MG1655	LB	0mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
21	GSM311449	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
22	GSM311450	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
23	GSM311451	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
24	GSM311452	GSE12411	K. Aggarwal	20080811	MG1655	LB	0.1mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
25	GSM311453	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
26	GSM311454	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	90	rhsA	U	r2	1	0	0	0	1	0
27	GSM311455	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
28	GSM311456	GSE12411	K. Aggarwal	20080811	MG1655	LB	1mM	iptg	210	rhsA	U	r2	1	0	0	0	1	0
29	GSM543896	GSE21869	Y. Asakura	20110726	YA027	Davis MM	200mg/L	aa		WT		r1	0	0	0	0	1	0
30	GSM543897	GSE21869	Y. Asakura	20110726	YA027	Davis MM	200mg/L	aa		WT		r2	0	0	0	0	1	0
31	GSM543898	GSE21869	Y. Asakura	20110726	YA027	Davis MM	200mg/L	aa		WT		r3	0	0	0	0	1	0
32	GSM543899	GSE21869	Y. Asakura	20110726	YA074	Davis MM	200mg/L	aa		WT		r1	0	0	0	0	1	0
33	GSM543900	GSE21869	Y. Asakura	20110726	YA074	Davis MM	200mg/L	aa		WT		r2	0	0	0	0	1	0
34	GSM543901	GSE21869	Y. Asakura	20110726	YA074	Davis MM	200mg/L	aa		WT		r3	0	0	0	0	1	0
35	GSM543902	GSE21869	Y. Asakura	20110726	YA105	Davis MM	200mg/L	aa		WT		r1	0	0	0	0	1	0
36	GSM543903	GSE21869	Y. Asakura	20110726	YA105	Davis MM	200mg/L	aa		WT		r2	0	0	0	0	1	0
37	GSM543904	GSE21869	Y. Asakura	20110726	YA105	Davis MM	200mg/L	aa		WT		r3	0	0	0	0	1	0
38	GSM543905	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r1	0	0	0	0	1	0
39	GSM543906	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r2	0	0	0	0	1	0
40	GSM543907	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r1	0	0	0	0	1	0
41	GSM543908	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r2	0	0	0	0	1	0
42	GSM543909	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r1	0	0	0	0	1	0
43	GSM543910	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r2	0	0	0	0	1	0
44	GSM543911	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r1	0	0	0	0	1	0
45	GSM543912	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	11days			r2	0	0	0	0	1	0
46	GSM543913	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r1	0	0	0	0	1	0
47	GSM543914	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r2	0	0	0	0	1	0
48	GSM543915	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r1	0	0	0	0	1	0
49	GSM543916	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r2	0	0	0	0	1	0
50	GSM543917	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r1	0	0	0	0	1	0
51	GSM543918	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r2	0	0	0	0	1	0
52	GSM543919	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r1	0	0	0	0	1	0
53	GSM543920	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r2	0	0	0	0	1	0
