Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
0	0.797604184810109	0.14765890780399737	0.2717289298451086	0.01673595217522923	0.2627575583558929	0.01627171042987262
1	0.7480661423832948	0.1367895865168589	0.26816897629135633	0.01833880022835452	0.2515836094800006	0.019886762671918686
2	0.8023058785630877	0.12800297023709478	0.2737828008846835	0.022233543638306315	0.265657563613863	0.02147847943538283
3	0.827703480638397	0.12982572001928622	0.274743253947754	0.017492994021474098	0.2605067403514115	0.01621667386345107
4	0.7857702861245404	0.13606279008019226	0.2667400156457694	0.019422896890270165	0.25880812016770355	0.019102169154998253
5	0.7899485874078473	0.13122219701384386	0.275941871389841	0.015933600292566345	0.26731265092666423	0.015256455635140994
6	0.9462866565300024	0.14461372896783248	0.29757185845430795	0.022618175411982844	0.28747369481631346	0.022195827377877658
7	0.8400747870534988	0.12293515823486253	0.2823653649861856	0.02061539297112265	0.27226824125933935	0.01935180449762224
8	0.9668951278652239	0.13770471078666732	0.29775228308442214	0.02299928292518909	0.28688141031248443	0.022056135245327083
9	0.8187478396152328	0.10960502104260585	0.2805582749187948	0.012792641574723729	0.2719652048568521	0.012360760086950716
10	0.7482143595171152	0.11201266718177535	0.27829731360266524	0.02138469852956193	0.26938863541796926	0.020309458273348627
11	0.7628495327839698	0.09391267849965909	0.26839167066191216	0.018311548141549762	0.24961529756710601	0.016630851164164972
12	0.8066347882414318	0.14291748811225538	0.2780938940805331	0.019619717177895797	0.26970766256626233	0.019026936988867746
13	0.7573238392520294	0.1435105916333454	0.2697773728193544	0.019513334876500553	0.253665778300944	0.018293413330969868
14	0.7807293668412859	0.09957774646005521	0.2684652283639163	0.01740217263008117	0.26003821913594605	0.016587461653151232
15	0.8383077946201068	0.13350407206796974	0.27769502013705794	0.018738278540907535	0.2676621816305935	0.017515310172170548
16	0.8044283327738234	0.10977394998988177	0.27656499828585085	0.017582997794899167	0.2684222155258822	0.016665631897743272
17	0.8370876755010301	0.11864150046479599	0.2730637681357754	0.016648422520363804	0.26168224576734556	0.01577659440507005
18	0.7742988473933268	0.11867074043566457	0.26797326068138017	0.016585511946421258	0.2544487850310911	0.014866740636728498
19	0.7763083617921079	0.14029667442011085	0.2734298410482612	0.020595747383217733	0.2647271536455538	0.02021719258493612
20	0.7883153740669273	0.1234774977798861	0.2699264300668901	0.020564217522521078	0.2612407202622274	0.019928288111299618
