Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std
0	0.7741796620176024	0.13335025223833494	0.2779816348612098	0.015942418748215084
1	0.7627229788544241	0.21069001341843765	0.27496537717103053	0.025436410886244685
2	0.7698381840571198	0.14554768228069923	0.2645312667580152	0.024461791806061364
3	0.7219217167174945	0.1585233525836454	0.2670240401239652	0.022323338704084515
4	0.7727438641947657	0.13252926585447058	0.28371830125233605	0.014907815061530064
5	0.7916771579067073	0.11351316741303939	0.27818516104846164	0.02198744310771597
6	0.8372547684316504	0.1375922664815565	0.28703161928188925	0.016005813250238223
7	0.8329009962367134	0.12928280716053833	0.2832748562137823	0.01733529659190798
8	0.8359045557191768	0.14991097108457793	0.28828045900541205	0.01699349746854949
9	0.7507798115360322	0.19345492391954722	0.26859966446873507	0.02408267963494834
10	0.7530362998300044	0.16816723533700437	0.267385361352612	0.02127740301667517
11	0.7620196051651831	0.141077851028678	0.2730368881787289	0.020561434796627566
12	0.8106225026144089	0.13398309787125423	0.28618820206667067	0.015261573512629717
13	0.8430336395246795	0.1402975900247764	0.287811791541153	0.019224648290028745
14	0.7257285613533739	0.18362937265536247	0.27113127186177666	0.019343071262148813
15	0.806609237710732	0.1278124535779305	0.2818738894624732	0.01385009045584635
16	0.7814124421106245	0.12760116580780417	0.27517746233655427	0.022734129103785472
17	0.7728385413755101	0.26804894272663876	0.27057025378484256	0.019610919357401828
18	0.7999706865556552	0.12718065385461821	0.2818550809054022	0.01923535506847247
19	0.7751235643230815	0.1636318037519013	0.27587234905241487	0.017663190651816603
20	0.7519531958231513	0.13018891250868536	0.26616105132074785	0.02198257600523129
21	0.7198316108088233	0.17792208764812253	0.26509957620678554	0.025011515862881452
22	0.7973837064518958	0.16111368954879257	0.28530615908264445	0.017887471917610306
23	0.7844909604265212	0.16159391108046484	0.2768807673378084	0.019635869351248284
24	0.7673971156065502	0.13047643543667303	0.27296554662672784	0.016442681212355047
25	0.8098257974958908	0.30073268790694013	0.2817432448768951	0.01592386877551701
26	0.8086538009978107	0.13735011173971445	0.28146679911607553	0.021853801410892323
27	0.7988560670545098	0.13382865389603485	0.2760660918965228	0.02078220644492735
28	0.7987594000248649	0.1420702122173239	0.2817623350098251	0.019266263903284862
29	0.8134551454960203	0.13314480138181728	0.28484445243468914	0.016903528771662454
30	0.7572353833407406	0.14321262159564452	0.27416853895892357	0.015879824962153438
31	0.7024801679425443	0.1360107841114772	0.26723220497665595	0.02299483119661355
32	0.7820821435678936	0.13476725661647843	0.2843385838741897	0.0205183601172863
33	0.8066741600828622	0.28443521761890384	0.27191420152584894	0.028329187034975042
34	0.7402321623976619	0.12917463726945475	0.26862705289944144	0.023234782898003157
35	0.7876199768669611	0.3343986347473397	0.27270623500124136	0.022469518423258415
