Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
0	1.4614478574594714	0.15838039492519015	0.4160057720726598	0.01942956895698238	0.327767511175391	0.018634518981221867
1	1.5230560837274754	0.1086855387187761	0.42838233496596223	0.016434348653746756	0.3567922390326239	0.01497140282485399
2	1.5228706168070436	0.168069687115838	0.4469607633444346	0.02252044391381793	0.34321295605524166	0.0205834941472262
3	1.5612027575161882	0.10322251902477285	0.4368266766249641	0.026228985435648347	0.3749306405595515	0.024836594923669995
4	1.5063571076950377	0.1716075568408969	0.43961563137583326	0.04278272403129542	0.3444046155668756	0.03903651757086511
5	1.5835431477730284	0.12632604309147216	0.46110811398205	0.028001920379415485	0.36352605677305483	0.024984549985819546
6	1.5073682176251926	0.1304077918555162	0.42064911072056715	0.02636211956363348	0.31964886941288584	0.033746264570212514
7	1.5490520042244225	0.14965766203839462	0.42935526182255074	0.015357145885826564	0.3505167562273294	0.01728745679326514
8	1.3404464043708684	0.1591369624410962	0.40544662224865163	0.02221435206520135	0.29660407818669204	0.0220234672187448
9	1.5604979998768584	0.12630756760354714	0.45441712851388166	0.03393702842027141	0.355423266868277	0.021583906520051398
10	1.5054918382159648	0.12257637629646986	0.4401698107876729	0.018238155528119034	0.35426157993921326	0.019616312098932
11	1.3597903263037077	0.1495182958718593	0.38574486781022227	0.02622099963708012	0.32454070412363173	0.029455478696801454
12	1.5049092326651512	0.12749274011516323	0.4440745777194968	0.02264063150593306	0.34593811958571885	0.0261832987982135
13	1.467359715789402	0.20007764219748997	0.40575766056939094	0.04356210739559971	0.3210302873648088	0.03518203557933768
14	1.4511985720030198	0.17025655553220503	0.4171061929547925	0.029260275535258576	0.32410479877007625	0.027806893647843035
15	1.40253190455121	0.2604813902987262	0.3979550171331419	0.04898939845526482	0.3239819920427553	0.0418767570354552
16	1.490485434060882	0.12693525272072845	0.4242113400098122	0.019525980465788295	0.3287166045187189	0.02947372930554294
17	1.4176515534160685	0.15219995786122958	0.42842585764901436	0.03447861479616317	0.3385168957475475	0.027726896825073313
18	1.5434351530438657	0.14793176518953274	0.45379880465253286	0.0450296499555135	0.3661317174654029	0.029607608973363925
19	1.5353090502517823	0.12956552095282783	0.4338883531017388	0.03308459704818055	0.3470403637190725	0.034251185264306934
20	1.4770506332889308	0.13149250497933537	0.4206428653040901	0.03363027557502776	0.34149819036484225	0.03493517638060263
