Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
0	0.6158506932957923	0.11975240613004845	0.6896718649741737	0.15621235084608248	0.6581504310863673	0.14246377616073314
3	0.30754283133461086	0.09787543556917337	1.3411001629196475	0.44326333686770314	1.0883137867873862	0.2910486853938954
4	0.563817953028275	0.08926153602153003	0.684487614324416	0.10441387118494894	0.6510021340556844	0.09677783798043361
5	0.5110395807782194	0.13587513053259184	0.8405146923701821	0.29342243421051883	0.7865680475350164	0.2452107535677778
6	0.562866912965213	0.09109198568694837	0.7378925255965442	0.1623466131961503	0.6917408002245672	0.1450991532393527
7	0.4986525710347754	0.13258565721883173	0.7462399534736732	0.16127563643794138	0.6213387806969711	0.12110498095133512
8	0.5247647507120894	0.10853547617998695	0.7219121556039304	0.1296380103158508	0.47320936178751943	0.0700921512941627
9	0.537432887115623	0.21578141941232148	0.8588553585296617	0.21491725149377403	0.20025653814547778	0.041690212386290185
10	0.5595266460326725	0.0767485685533748	0.7232306679307913	0.14965276654226478	0.6990642309448217	0.14040420266257098
11	0.554983096080121	0.11168360880896779	0.7606839373947571	0.1450545303417117	0.7327471359540273	0.1374509796311144
12	0.5570737445582883	0.09050515297918313	0.6859314387527233	0.1310349248385461	0.6599490959438771	0.12344475135477241
13	0.5603536137618523	0.1601708789213658	0.7103197702333309	0.17392538974040694	0.670950270749497	0.14703583343087978
14	0.6613186033174695	0.12904215426973314	0.6962456591740656	0.13662942796849717	0.6610053659249977	0.12445845788175593
15	0.6316976623576498	0.1170539794046334	0.645680104265677	0.1381623209906054	0.6137265481782609	0.12618269682054015
16	0.6081449454698485	0.17895421106710607	0.6856152163255496	0.18111249334930618	0.6302483717241228	0.1440671239241563
17	0.6382343791187175	0.1302798594446815	0.6537826396434598	0.12351086255035626	0.6099540522211099	0.11308042919801689
18	0.7326127132697458	0.13534591161048193	0.5580082321777353	0.09407592581535942	0.5092801196265035	0.07857236489112898
20	0.4237880945048128	0.08705546424678387	0.9705379474327874	0.22274001863095433	0.9191312957903709	0.19812760984958303
21	0.5237702115501212	0.11022200591608819	0.7281448378989553	0.13933285153498068	0.6911483038711473	0.1256629457869131
22	0.538059988739051	0.11819212273208443	0.829389027242002	0.21481037106483317	0.7790942468962653	0.18730048520078763
23	0.6277704877597671	0.10471253231401371	0.6786999289775256	0.10125591191643214	0.6500320648974065	0.09547322555699478
24	0.6668033262400084	0.10011672824531999	0.6372729790863892	0.11862514490942876	0.6068143203455618	0.10866930804489983
25	0.7839930472206569	0.0992955498478571	0.5326366099866063	0.06519957335009828	0.5113793841043645	0.061503469848861125
26	1.0787383865045566	0.08078178299817215	0.4625902849594637	0.05960257190271772	0.4453463941626245	0.05620418382935065
27	1.2735013958092025	0.15681530647972888	0.36416595843310146	0.026628534932046106	0.34698772209012013	0.027568056131816693
28	0.41973180325591347	0.19191124288669015	1.0861854822737729	0.4086792601959467	0.9315304989824846	0.2908393876256065
29	0.6054354326168142	0.13192806252338007	0.6783370280040586	0.1380099564485678	0.6446581372897239	0.12171180996697219
30	0.5689869010327407	0.14237158899544944	0.6826204492711466	0.17524404872211688	0.6453972441147381	0.15410344626735048
31	0.6218318153449449	0.12302676370643305	0.6456517195000228	0.12541506717427203	0.6131631343447457	0.1144630757111318
32	0.565361797759025	0.16180951023603735	0.6720066591554842	0.13808929888399663	0.6382329445698296	0.12178260131225929
33	0.5468237528793345	0.1250781005165841	0.7377399598267605	0.20394597094161931	0.7031576917473046	0.1897007545779183
34	0.6026293564872516	0.08124505306069114	0.6528066960440942	0.10383825861747739	0.6246011771553271	0.09730364707134809
35	0.5192986177332436	0.11664897387473519	0.7006628696614423	0.14150706084332243	0.6640610985940503	0.12660199442991404
36	0.4612464980761417	0.114052856673585	0.7374134436588496	0.14762993144014036	0.7009029151041584	0.1352088065969597
