"Data from Sander et al. Allosteric Feedback Inhibition Enables Robust Amino Acid Biosynthesis in E. coli by Enforcing Enzyme Overabundance. Table S7"								
"https://ars.els-cdn.com/content/image/1-s2.0-S2405471218304794-mmc2.xlsx"								
"Amino acid concentrations (mM)"								
"Name"	"WT"	"argA"	"trpE"	"hisG"	"leuA"	"thrA"	"ilvA"	"proB"
"GLT"	65.7256	57.9094	65.8024	67.2983	71.8740	60.4359	63.5644	67.0189
"GLN"	6.6051	7.0832	6.6978	6.4007	6.9661	5.9412	5.6814	6.4987
"ARG"	0.1382	0.3078	0.1210	0.1284	0.1092	0.0776	0.1020	0.1364
"PRO"	0.4398	0.3850	0.5346	0.5981	0.5225	0.4656	0.4843	2.9528
"L-ASPARTATE"	2.9319	2.7415	2.4983	3.0707	2.2454	2.1832	2.3410	2.6685
"ASN"	0.4525	0.4426	0.4478	0.4802	0.4416	0.3844	0.4473	0.4737
"LYS"	1.5447	1.5178	1.4104	1.3669	1.2533	0.9458	1.1176	1.2986
"MET"	0.0435	0.0452	0.0483	0.0543	0.0439	0.0593	0.0478	0.0546
"THR"	0.2934	0.3471	0.3104	0.3019	0.2675	3.4891	0.3265	0.3225
"LEU"	0.2859	0.2678	0.2931	0.2924	2.3391	0.3534	1.3932	0.3112
"ILE"	0.2859	0.2678	0.2931	0.2924	2.3391	0.3534	1.3932	0.3112
"VAL"	0.3047	0.3076	0.3443	0.3712	0.1787	0.2746	0.2306	0.4319
"L-ALPHA-ALANINE"	0.4007	0.4171	0.4518	0.4817	0.1717	0.3006	0.3616	0.4954
"SER"	0.8872	0.8607	1.4223	2.3488	0.9344	1.1237	1.1327	1.9646
"GLY"	0.8149	1.2319	1.3486	1.7086	0.9890	1.4286	0.8021	1.3114
"HIS"	0.0825	0.0746	0.1399	1.3332	0.0939	0.1076	0.1073	0.1894
"PHE"	0.1187	0.1197	0.1547	0.1977	0.1495	0.1355	0.1271	0.1745
"TRP"	0.0286	0.0290	0.1027	0.0652	0.0367	0.0458	0.0340	0.0440
"TYR"	0.2287	0.2204	0.2750	0.4008	0.2832	0.2319	0.2286	0.3029
