# Supplementary Table 5. Comprehensive absolute cellular metabolite concentrations.
KEGG ID	Brenda ID	Mammalian iBMK cells	L.B.	U.B.	Yeast	L.B.	U.B.	E. coli	L.B.	U.B.
C00236	18032	2.24E-6	6.77E-7	3.28E-6	4.91E-6	3.26E-7	6.47E-5	1.65E-5	1.07E-5	2.97E-5
C01159	18034	2.37E-4	1.76E-4	3.16E-4	3.61E-5	2.58E-5	5.07E-5	8.29E-5	6.08E-5	1.05E-4
C00196	24972	-	-	-	-	-	-	1.38E-4	1.17E-4	1.64E-4
C06473	-	2.77E-6	2.05E-6	3.48E-6	-	-	-	-	-	-
C00631	17976	9.49E-6	1.37E-6	9.18E-5	2.38E-5	4.39E-6	1.60E-4	9.18E-5	3.81E-5	3.22E-4
C00197	17981	3.75E-4	2.88E-4	4.63E-4	5.78E-4	3.45E-4	8.10E-4	1.54E-3	1.51E-3	1.58E-3
C01005	36327	4.40E-4	3.45E-4	5.35E-4	-	-	-	-	-	-
C00156	-	-	-	-	-	-	-	5.22E-5	4.43E-5	6.15E-5
C00345	22563	1.65E-5	1.23E-5	2.20E-5	2.43E-4	1.77E-4	3.08E-4	3.77E-3	3.69E-3	3.85E-3
C00332	13538	-	-	-	-	-	-	2.18E-5	1.37E-5	3.47E-5
C00024	36329	2.88E-5	2.25E-5	3.50E-5	4.36E-5	3.62E-5	5.22E-5	6.06E-4	5.29E-4	6.94E-4
C00227	-	-	-	-	-	-	-	1.07E-3	1.02E-3	1.13E-3
C00417	23413	1.10E-5	8.72E-6	1.34E-5	-	-	-	1.61E-5	1.38E-5	1.88E-5
C00979	-	5.72E-5	7.28E-6	1.07E-4	-	-	-	-	-	-
C00147	20886	-	-	-	-	-	-	1.47E-6	1.26E-6	1.71E-6
C00212	850	-	-	-	-	-	-	1.31E-7	9.44E-8	1.82E-7
C00224	1024	-	-	-	-	-	-	6.63E-6	5.10E-6	8.62E-6
C00008	1228	5.69E-4	4.52E-4	7.15E-4	4.88E-4	4.29E-4	5.52E-4	5.55E-4	4.37E-4	7.04E-4
C00498	7320	-	-	-	-	-	-	4.27E-6	2.83E-6	6.44E-6
C00026	21003	7.97E-4	7.86E-4	8.08E-4	8.48E-4	7.91E-4	9.04E-4	4.43E-4	3.12E-4	6.31E-4
C00041	17908	6.98E-3	6.19E-3	7.77E-3	2.23E-2	1.96E-2	2.51E-2	2.55E-3	2.32E-3	2.80E-3
C00020	147	4.23E-5	3.57E-5	5.02E-5	8.12E-5	6.38E-5	1.03E-4	2.81E-4	2.32E-4	3.41E-4
C00108	-	-	-	-	-	-	-	3.48E-6	3.34E-6	3.62E-6
C00062	36213	2.55E-4	1.75E-4	3.35E-4	2.18E-2	1.76E-2	2.61E-2	5.69E-4	4.79E-4	6.75E-4
C00152	19609	2.15E-4	1.56E-4	2.74E-4	5.69E-3	5.23E-3	6.14E-3	5.11E-4	4.42E-4	5.92E-4
C00049	19556	1.49E-2	1.38E-2	1.60E-2	6.29E-3	5.79E-3	6.79E-3	4.23E-3	3.56E-3	5.04E-3
C00002	1395	4.67E-3	2.40E-3	6.94E-3	1.93E-3	1.66E-3	2.21E-3	9.63E-3	8.13E-3	1.14E-2
C00438	21131	-	-	-	-	-	-	5.90E-4	3.64E-4	9.55E-4
C00011	28651	7.63E-3	6.37E-3	9.55E-3	8.16E-5	6.01E-5	9.01E-5	7.52E-5	5.02E-5	7.54E-5
C00011	28651	6.53E-3	6.37E-3	9.55E-3	7.71E-5	6.01E-5	9.01E-5	-	-	-
C00158	23703	5.84E-4	5.59E-4	6.09E-4	1.49E-3	1.31E-3	1.67E-3	1.96E-3	1.10E-3	3.48E-3
C00327	22426	-	-	-	2.70E-2	2.41E-2	3.00E-2	1.35E-3	1.23E-3	1.48E-3
C00055	36522	1.18E-5	9.13E-6	1.44E-5	5.18E-6	2.95E-6	7.40E-6	3.60E-4	1.87E-4	6.94E-4
C00010	11741	-	-	-	-	-	-	1.37E-3	8.83E-5	2.12E-2
C00010	11741	4.04E-3	4.00E-3	6.00E-3	4.90E-3	4.00E-3	6.00E-3	-	-	-
C00063	27764	8.97E-4	7.55E-4	1.04E-3	2.49E-4	2.02E-4	2.95E-4	2.73E-3	2.27E-3	3.27E-3
C00575	664	1.30E-7	6.29E-8	1.97E-7	4.00E-7	3.19E-7	4.82E-7	3.52E-5	2.82E-5	4.39E-5
C00097	17926	8.40E-5	6.19E-5	1.06E-4	-	-	-	-	-	-
C00475	27472	-	-	-	-	-	-	2.59E-6	1.18E-6	5.67E-6
C00380	19308	-	-	-	-	-	-	1.41E-5	8.65E-6	2.29E-5
C00360	1037	1.68E-5	5.76E-6	2.79E-5	-	-	-	8.84E-6	2.99E-6	2.62E-5
C00131	1369	9.74E-7	7.52E-7	1.20E-6	9.78E-6	6.55E-6	1.30E-5	1.55E-5	8.13E-6	2.96E-5
C00705	27662	1.82E-6	1.62E-6	2.02E-6	-	-	-	-	-	-
C00239	27589	3.71E-5	2.55E-5	4.88E-5	-	-	-	-	-	-
C00458	27759	-	-	-	4.46E-6	1.96E-6	6.96E-6	3.45E-5	2.60E-5	4.57E-5
C00559	836	-	-	-	-	-	-	2.82E-6	1.80E-6	4.41E-6
C00330	842	-	-	-	-	-	-	5.22E-7	4.11E-7	6.62E-7
C00673	34541	-	-	-	-	-	-	3.03E-4	4.82E-5	1.90E-3
C00362	1047	-	-	-	-	-	-	5.07E-5	3.91E-5	6.58E-5
C00337	20954	7.35E-4	6.30E-4	8.40E-4	-	-	-	1.19E-5	1.16E-5	1.23E-5
C00111	89172	-	-	-	8.07E-4	7.01E-4	9.13E-4	3.06E-3	2.90E-3	3.22E-3
C00111	89172	1.63E-3	1.47E-3	1.75E-3	8.23E-4	7.46E-4	9.10E-4	-	-	-
C00363	1308	-	-	-	-	-	-	3.78E-4	3.37E-4	4.26E-4
C00364	1170	1.18E-5	7.20E-6	1.65E-5	-	-	-	-	-	-
C00459	1479	-	-	-	-	-	-	4.62E-3	4.21E-3	5.08E-3
C00279	59851	1.03E-5	7.54E-6	1.58E-5	1.46E-5	6.92E-6	1.95E-5	4.90E-5	4.19E-5	5.64E-5
C00016	33700	5.60E-6	3.17E-6	8.03E-6	3.53E-5	2.93E-5	4.13E-5	1.73E-4	9.33E-5	3.19E-4
C00061	36301	-	-	-	-	-	-	5.37E-5	3.84E-5	7.51E-5
C00354	22767	1.52E-3	1.40E-3	1.63E-3	4.00E-3	3.41E-3	4.59E-3	1.52E-2	1.40E-2	1.64E-2
C00085	56501	9.69E-5	8.18E-5	1.27E-4	2.37E-3	1.53E-3	2.92E-3	2.52E-3	2.16E-3	2.89E-3
C00122	19266	3.87E-4	2.83E-4	4.90E-4	1.21E-4	8.05E-5	1.61E-4	1.15E-4	3.00E-6	4.42E-3
C00122	19266	-	-	-	-	-	-	2.88E-4	2.85E-4	2.93E-4
C00122	19266	4.85E-4	4.80E-4	4.90E-4	1.24E-4	8.88E-5	1.54E-4	-	-	-
C00035	36200	3.02E-5	1.96E-5	4.08E-5	4.21E-5	2.63E-5	5.79E-5	6.76E-4	4.99E-4	9.16E-4
C00257	22387	2.11E-4	1.24E-4	2.98E-4	9.51E-5	7.75E-5	1.13E-4	4.16E-5	5.74E-6	3.02E-4
C00198	-	-	-	-	-	-	-	1.04E-3	6.47E-4	1.68E-3
C00352	22727	-	-	-	-	-	-	1.15E-3	9.59E-4	1.39E-3
C00092	22626	6.75E-4	6.74E-4	1.05E-3	5.31E-3	4.36E-3	6.18E-3	7.88E-3	7.59E-3	8.17E-3
C00025	21361	6.38E-2	4.36E-2	8.39E-2	3.91E-2	3.66E-2	4.17E-2	9.60E-2	9.24E-2	9.98E-2
C00064	20287	1.72E-2	1.62E-2	1.82E-2	3.55E-2	3.23E-2	3.86E-2	3.81E-3	3.50E-3	4.15E-3
C00051	1508	3.09E-3	2.95E-3	3.22E-3	4.30E-3	4.12E-3	4.48E-3	1.66E-2	1.53E-2	1.79E-2
C00127	47962	1.80E-5	1.57E-5	2.03E-5	9.73E-5	8.71E-5	1.07E-4	2.37E-3	1.94E-3	2.90E-3
C00661	59	1.41E-4	1.28E-4	1.52E-4	1.18E-4	1.07E-4	1.30E-4	2.71E-4	2.56E-4	2.89E-4
C00258	28971	-	-	-	-	-	-	1.41E-3	6.44E-4	3.08E-3
C00037	15491	3.71E-3	3.61E-3	3.81E-3	-	-	-	-	-	-
C00144	1070	1.81E-5	1.12E-5	2.49E-5	1.02E-5	6.30E-6	1.41E-5	2.37E-5	1.66E-5	3.38E-5
C00044	32483	6.77E-4	6.52E-4	7.03E-4	2.47E-4	1.72E-4	3.22E-4	4.87E-3	1.57E-3	1.51E-2
C00242	20891	-	-	-	-	-	-	1.88E-4	1.32E-4	2.69E-4
C00387	85516	1.35E-6	1.19E-6	1.51E-6	-	-	-	1.62E-6	1.22E-6	2.17E-6
C00135	23731	4.10E-4	3.86E-4	4.34E-4	-	-	-	6.76E-5	4.58E-5	9.97E-5
C00860	-	-	-	-	-	-	-	1.28E-5	1.26E-5	1.30E-5
C00155	84645	-	-	-	-	-	-	3.70E-4	3.65E-4	3.75E-4
C03467	-	-	-	-	2.68E-5	2.23E-5	3.12E-5	-	-	-
C00104	1009	-	-	-	-	-	-	2.38E-5	1.76E-5	3.22E-5
C00130	1203	1.23E-5	9.06E-6	1.55E-5	3.80E-5	2.32E-5	5.28E-5	2.72E-4	1.73E-4	4.26E-4
C00294	645	1.33E-6	5.38E-7	2.11E-6	6.12E-6	4.94E-6	7.31E-6	-	-	-
C00311	23698	-	-	-	-	-	-	3.67E-5	4.68E-6	4.29E-5
C00311	23698	3.21E-5	2.10E-5	3.38E-5	5.79E-6	1.90E-6	9.79E-6	-	-	-
C00407	22459	1.76E-3	1.66E-3	1.86E-3	3.53E-4	3.00E-4	4.05E-4	1.52E-4	1.49E-4	1.54E-4
C00081	1200	-	-	-	-	-	-	2.05E-4	1.38E-4	3.03E-4
C00123	22465	1.76E-3	1.66E-3	1.86E-3	3.53E-4	3.00E-4	4.05E-4	1.52E-4	1.49E-4	1.54E-4
C00047	22685	5.06E-4	4.58E-4	5.54E-4	5.16E-3	2.89E-3	7.44E-3	4.05E-4	3.27E-4	5.02E-4
C00149	19469	1.39E-3	1.06E-3	1.72E-3	9.25E-4	6.82E-4	1.17E-3	1.68E-3	1.66E-3	1.70E-3
C00083	13046	4.95E-6	4.76E-6	5.13E-6	-	-	-	3.54E-5	4.05E-7	3.09E-3
