Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators	Degradation rate (1/min)	Expression rate (a.u./min)
TU-8381	spy	1823081	1823712	-	"[""G6939""]"	PM-8764	"[""SPY-TERMINATOR""]"	0.085573725995054972	28.146909954293477
TU-8382	ycaC	944152	944780	-	"[""EG11241""]"	PM_WC-363	"[""TERM_WC-2659""]"	0.12161736185347703	68.373280834024783
TU-8383	yfeKS	2535337	2536507	+	"[""G7261"", ""G7260""]"	PM-8766	"[""TERM_WC-3162""]"	0.12602676010180824	22.502078016177862
TU-8384	yfgCD	2614090	2615961	+	"[""G7312"", ""G7311""]"	PM-8767	"[""TERM_WC-3181""]"	0.21004460016968041	379.27321674155405
TU-8385	bamB-der	2633904	2636997	-	"[""G7319"", ""G7320""]"	PM-8768	"[""TERM_WC-190""]"	0.34657359027997264	246.6633556740621
TU-8387	qseBC	3167773	3169857	+	"[""EG12658"", ""G7575""]"	PM-8770	"[""TERM_WC-1756""]"	0.087740149437967749	5.3065242380082891
TU-8388	recC	2957080	2960529	-	"[""EG10825""]"	PM-8771	"[""TERM_WC-1799""]"	0.12161736185347703	20.30523473505653
TU-8389	infA	925385	925702	-	"[""EG10504""]"	PM-8772	"[""TERM1""]"	0.20386681781174862	1982.914680782329
TU-8390	infA	925385	925908	-	"[""EG10504""]"	PM-8773	"[""TERM1""]"	0.20386681781174862	1982.914680782329
TU-8391	bamD	2733983	2734907	+	"[""G7352""]"	PM-8774	"[""TERM_WC-191""]"	0.36481430555786598	658.73769223533077
TU-8392	dsbC-recJ-prfB	3033204	3037655	-	"[""EG10762"", ""EG10830"", ""EG11070""]"	PM-8775	"[""TERM_WC-507""]"	0.1961737303471543	73.141413622633038
TU-8393	htrG-cca	3199064	3201153	+	"[""EG10136"", ""EG12434""]"	PM-8776	"[""TERM_WC-960""]"	0.15403270679109896	106.59371375357631
TU-8394	qseBC	3167823	3169857	+	"[""EG12658"", ""G7575""]"	PM-8777	"[""TERM_WC-1757""]"	0.087740149437967749	5.3065242380082891
TU-8396	yraP	3294094	3295008	+	"[""G7644""]"	PM-8779	"[""TERM_WC-4009""]"	0.21004460016968041	326.38830420366645
TU-8397	greA	3326828	3326875	-	"[""EG10415""]"	PM-8780	"[""TERM0-1134""]"	0.15753345012726028	215.89644273040767
TU-8398	lptB-rpoN-hpf-ptsN-yhbJ	3341418	3345993	+	"[""EG12146"", ""EG11682"", ""EG11681"", ""EG10898"", ""EG11680""]"	PM-8781	"[""TERM_WC-1175""]"	0.19797329353435036	684.33428376018901
TU-8399	yecR	1986224	1986571	+	"[""G7035""]"	PM-8784	"[""TERM_WC-2994""]"	0.11552453009332421	208.60026920785472
TU-8401	yejO	2284410	2287198	-	"[""EG12051""]"	PM-8786	"[""TERM_WC-3085""]"	0.13862943611198905	42.351292732212649
TU-8405	flhBAE	1960602	1964240	-	"[""G7027"", ""G370"", ""G7028""]"	PM-8790	"[""TERM_WC-658""]"	0.089246418097847044	79.119329548224016
TU-8407	rne	1140403	1143951	-	"[""EG10859""]"	PM0-9361	"[""TERM_WC-1889""]"	0.12161736185347703	230.89056147882613
TU-8408	fliE	2010722	2011060	-	"[""EG11346""]"	PM-8794	"[""TERM_WC-665""]"	0.080598509367435497	299.8893216841667
TU-8411	fliFGHIJK	2011170	2017539	+	"[""G379"", ""G378"", ""G377"", ""EG11656"", ""EG11654"", ""EG11347""]"	PM-8797	"[""TERM_WC-667""]"	0.074398624031478913	172.07608153158071
TU-8412	gltIJKL-sroC	683751	687119	-	"[""G0-9383"", ""EG12663"", ""EG12662"", ""EG12661"", ""G6359""]"	PM-8798	"[""TERM_WC-813""]"	0.099021025794277892	145.88272625141994
TU-8414	malQ	3546006	3548421	-	"[""EG10561""]"	PM-8800	"[""TERM_WC-1211""]"	0.65584392931245961	145.28254722129603
TU-8417	yhjJ	3678465	3680039	-	"[""EG12254""]"	PM-8803	"[""TERM_WC-3482""]"	0.11748257297626191	107.45191089554868
TU-8419	yieEF	3891852	3893243	+	"[""EG11723"", ""EG11722""]"	PM-8805	"[""TERM_WC-3551""]"	0.10746467915658067	37.356871768410578
TU-8421	plsB	4252064	4254621	-	"[""EG10740""]"	PM-8807	"[""TERM_WC-1631""]"	0.18240715277893299	148.14744134399379
TU-8422	essD-ybcS-rzpD	576096	577793	+	"[""G6311"", ""G6310"", ""G6309""]"	PM-8808	"[""TERM_WC-588""]"	0.11060859264254447	19.875258011938815
TU-8423	rutR	1073357	1074105	+	"[""EG12301""]"	PM-8809	"[""TERM_WC-1984""]"	0.11950813457930091	215.79338193916007
TU-8427	narWV	1533959	1536711	-	"[""EG10644"", ""EG10645""]"	PM-8813	"[""TERM_WC-1442""]"	0.10118936942480954	9.2598391960643216
TU-8428	ydhIJK	1719022	1722159	+	"[""G6885"", ""G6884"", ""G6883""]"	PM-8814	"[""TERM_WC-2891""]"	0.13415751881805391	34.389938373819938
TU-8430	lhr	1726377	1731764	+	"[""EG11548""]"	PM-8816	"[""TERM0-1171""]"	0.17773004629742187	0.0
TU-8431	rnlB	2764729	2765379	+	"[""G7366""]"	PM-8817	"[""TERM_WC-1899""]"	0.12161736185347703	45.292737901471909
