# From Sanchez-Vazquez et al. Genome-wide effects on Escherichia coli transcription from ppGpp binding to its two sites on RNA polymerase. PNAS. 2019. (Dataset S01)
# Downloaded from: https://www.pnas.org/highwire/filestream/859108/field_highwire_adjunct_files/1/pnas.1819682116.sd01.xlsx
"Gene"	"Synonym"	"length"	"Start"	"end"	"Strand"	"1+2+ 5 min"	"1+2+ 5 min Category"	"1+2+ 10 min"	"1+2+ 10 min Category"	"1-2- 5 min"	"1-2- 5 min Category"	"1-2- 10 min"	"1-2- 10 min Category"	"1-2-/1+2+ 0 min"	"1-2-/1+2+ 0 min Category"
"ydgI"	"b1605"	1383	1679557	1680939	"+"	-3.97	"A"	-4.03	"A"	-1.23	"A"	-1.38	"A"	-0.38	"C"
"mgtA"	"b4242"	2697	4467625	4470321	"+"	-1.71	"A"	-2.86	"A"	-0.69	"C"	-1.23	"A"	-1.73	"A"
"deaD"	"b3162"	1890	3305971	3307860	"-"	-2.91	"A"	-4.56	"A"	-0.73	"C"	-1.65	"A"	-0.80	"C"
"lysP"	"b2156"	1470	2247063	2248532	"-"	-2.41	"A"	-3.37	"A"	-0.40	"C"	-1.06	"A"	-0.47	"C"
"ybiT"	"b0820"	1593	855963	857555	"+"	-1.80	"A"	-2.78	"A"	-0.52	"C"	-1.21	"A"	-0.44	"C"
"sdaC"	"b2796"	1290	2928229	2929518	"+"	-2.73	"A"	-3.73	"A"	-0.40	"C"	-1.07	"A"	-0.38	"C"
"apt"	"b0469"	552	491412	491963	"+"	-2.28	"A"	-3.77	"A"	-0.43	"C"	-1.12	"A"	-0.35	"C"
"greA"	"b3181"	477	3328239	3328715	"-"	-1.74	"A"	-2.61	"A"	-0.48	"C"	-1.05	"A"	-0.79	"C"
"plaP"	"b2014"	1359	2085704	2087062	"-"	-3.88	"A"	-7.08	"A"	-0.52	"C"	-1.79	"A"	0.15	"D"
"ygiQ"	"b4469"	2220	3158927	3161146	"-"	-3.16	"A"	-3.86	"A"	-0.42	"C"	-1.18	"A"	0.52	"D"
"yjcD"	"b4064"	1350	4278479	4279828	"+"	-3.74	"A"	-5.46	"A"	-0.60	"C"	-1.32	"A"	0.25	"D"
"epmA"	"b4155"	978	4382643	4383620	"+"	-3.21	"A"	-3.72	"A"	-0.69	"C"	-1.50	"A"	0.57	"D"
"rsxC"	"b1629"	2223	1706919	1709141	"+"	-2.44	"A"	-3.84	"A"	-0.62	"C"	-1.11	"A"	0.21	"D"
"codB"	"b0336"	1260	354922	356181	"+"	-2.24	"A"	-3.23	"A"	-0.39	"C"	-1.40	"A"	0.79	"D"
"rsxB"	"b1628"	579	1706348	1706926	"+"	-2.70	"A"	-3.86	"A"	-0.65	"C"	-1.33	"A"	0.24	"D"
"satP"	"b0010"	567	9928	10494	"-"	-2.75	"A"	-3.06	"A"	-0.87	"C"	-1.86	"A"	0.94	"D"
"rsxA"	"b1627"	582	1705767	1706348	"+"	-2.49	"A"	-3.49	"A"	-0.57	"C"	-1.10	"A"	0.36	"D"
"purP"	"b3714"	1338	3895272	3896609	"-"	-3.08	"A"	-4.06	"A"	-0.44	"C"	-1.23	"A"	-0.08	"E"
"suhB"	"b2533"	804	2663442	2664245	"+"	-3.84	"A"	-4.93	"A"	-0.60	"C"	-1.15	"A"	0.10	"E"
"xanP"	"b3654"	1392	3828945	3830336	"+"	-4.14	"A"	-4.58	"A"	-1.00	"C"	-1.46	"A"	0.00	"E"
"ydiY"	"b1722"	759	1805325	1806083	"-"	-3.19	"A"	-4.61	"A"	-0.61	"C"	-1.03	"A"	0.14	"E"
"rapA"	"b0059"	2907	60358	63264	"-"	-3.58	"A"	-3.82	"A"	-0.42	"C"	-1.32	"A"	0.06	"E"
"dusB"	"b3260"	966	3410280	3411245	"+"	-1.92	"A"	-4.61	"A"	-0.36	"C"	-1.10	"A"	-0.04	"E"
"rluA"	"b0058"	660	59687	60346	"-"	-2.74	"A"	-3.40	"A"	-0.47	"C"	-1.50	"A"	0.03	"E"
"yihG"	"b3862"	933	4045670	4046602	"-"	-2.47	"A"	-3.52	"A"	-0.54	"C"	-1.01	"A"	-0.08	"E"
"yjeM"	"b4156"	1503	4383839	4385341	"+"	-2.20	"A"	-2.94	"A"	-0.73	"C"	-1.76	"A"	0.20	"E"
"pheS"	"b1714"	984	1797959	1798942	"-"	-1.28	"A"	-2.55	"A"	-0.32	"C"	-0.75	"C"	-1.04	"A"
"prfC"	"b4375"	1590	4609414	4611003	"+"	-2.11	"A"	-2.76	"A"	-0.21	"C"	-0.46	"C"	-0.37	"C"
"yhbE"	"b3184"	966	3331770	3332735	"-"	-3.11	"A"	-3.98	"A"	-0.52	"C"	-0.94	"C"	-0.65	"C"
"sdaB"	"b2797"	1368	2929576	2930943	"+"	-2.45	"A"	-4.08	"A"	-0.34	"C"	-0.99	"C"	-0.45	"C"
"dnaG"	"b3066"	1746	3211107	3212852	"+"	-2.46	"A"	-2.91	"A"	-0.39	"C"	-0.82	"C"	-0.16	"C"
"rluB"	"b1269"	876	1326852	1327727	"+"	-2.75	"A"	-4.14	"A"	-0.29	"C"	-0.63	"C"	-0.56	"C"
"secE"	"b3981"	384	4177358	4177741	"+"	-1.80	"A"	-2.33	"A"	-0.31	"C"	-0.80	"C"	-0.32	"C"
"purR"	"b1658"	1026	1737844	1738869	"+"	-2.01	"A"	-3.29	"A"	-0.47	"C"	-0.92	"C"	-0.46	"C"
