"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_id"
"EG10001"	"alr"	["alr", "alr5", "b4053", "ECK4045"]	4265782	4266861	"+"	"EG10001_RNA"
"EG10002"	"modB"	["modB", "chlJ", "tslJ", "b0764", "ECK0753"]	795862	796551	"+"	"EG10002_RNA"
"EG10003"	"cysZ"	["cysZ", "b2413", "ECK2408"]	2531463	2532224	"+"	"EG10003_RNA"
"EG10004"	"dfp"	["dfp", "coaBC", "b3639", "ECK3629"]	3812731	3813951	"+"	"EG10004_RNA"
"EG10006"	"dcuB"	["dcuB", "genF", "b4123", "ECK4116"]	4347404	4348744	"-"	"EG10006_RNA"
"EG10007"	"hisM"	["hisM", "b2307", "ECK2301"]	2424517	2425233	"-"	"EG10007_RNA"
"EG10008"	"zraS"	["zraS", "hydH", "b4003", "ECK3995"]	4201926	4203323	"+"	"EG10008_RNA"
"EG10010"	"rhsE"	["rhsE", "b1456", "ECK1450"]	1527890	1529938	"+"	"EG10010_RNA"
"EG10011"	"yaaA"	["yaaA", "b0006", "ECK0006"]	5683	6459	"-"	"EG10011_RNA"
"EG10012"	"cydC"	["cydC", "mdrA", "mdrH", "surB", "ycaB", "b0886", "ECK0877"]	927474	929195	"-"	"EG10012_RNA"
"EG10013"	"mepM"	["mepM", "yebA", "b1856", "ECK1857"]	1940313	1941635	"-"	"EG10013_RNA"
"EG10014"	"acrD"	["acrD", "yffA", "b2470", "ECK2465"]	2587595	2590708	"+"	"EG10014_RNA"
"EG10015"	"rodZ"	["rodZ", "yfgA", "b2516", "ECK2512"]	2641831	2642844	"-"	"EG10015_RNA"
"EG10016"	"garL"	["garL", "yhaF", "b3126", "ECK3114"]	3272787	3273557	"-"	"EG10016_RNA"
"EG10017"	"ispB"	["ispB", "cel", "yhbD", "b3187", "ECK3176"]	3333710	3334681	"+"	"EG10017_RNA"
"EG10018"	"csrD"	["csrD", "yhdA", "b3252", "ECK3240"]	3401392	3403332	"-"	"EG10018_RNA"
"EG10020"	"cpxR"	["cpxR", "yiiA", "b3912", "ECK3905"]	4104972	4105670	"-"	"EG10020_RNA"
"EG10021"	"yjiA"	["yjiA", "b4352", "ECK4342"]	4587909	4588865	"-"	"EG10021_RNA"
"EG10022"	"aceA"	["aceA", "icl", "b4015", "ECK4007"]	4217109	4218413	"+"	"EG10022_RNA"
"EG10023"	"aceB"	["aceB", "mas", "b4014", "ECK4006"]	4215478	4217079	"+"	"EG10023_RNA"
"EG10024"	"aceE"	["aceE", "b0114", "ECK0113"]	123017	125680	"+"	"EG10024_RNA"
"EG10025"	"aceF"	["aceF", "b0115", "ECK0114"]	125695	127587	"+"	"EG10025_RNA"
"EG10026"	"aceK"	["aceK", "b4016", "ECK4008"]	4218596	4220332	"+"	"EG10026_RNA"
"EG10027"	"ackA"	["ackA", "b2296", "ECK2290"]	2413470	2414672	"+"	"EG10027_RNA"
"EG10028"	"pflA"	["pflA", "act", "b0902", "ECK0893"]	950340	951080	"-"	"EG10028_RNA"
"EG10029"	"ada"	["ada", "b2213", "ECK2205"]	2309341	2310405	"-"	"EG10029_RNA"
"EG10030"	"add"	["add", "b1623", "ECK1618"]	1702233	1703234	"+"	"EG10030_RNA"
"EG10031"	"adhE"	["adhE", "adhC", "ana", "b1241", "ECK1235"]	1295446	1298121	"-"	"EG10031_RNA"
"EG10032"	"adk"	["adk", "dnaW", "plsA", "b0474", "ECK0468"]	497175	497819	"+"	"EG10032_RNA"
