"id"	"mw"	"location"
"PHOSPHO-ARCA"	[0.0, 0.0, 0.0, 0.0, 0.0, 27282.049, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-ARCB-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 175899.976, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-BAER"	[0.0, 0.0, 0.0, 0.0, 0.0, 27651.011, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-BAES"	[0.0, 0.0, 0.0, 0.0, 0.0, 51991.529, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-BASR"	[0.0, 0.0, 0.0, 0.0, 0.0, 25024.866, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-BASS"	[0.0, 0.0, 0.0, 0.0, 0.0, 41022.360, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-DCUR"	[0.0, 0.0, 0.0, 0.0, 0.0, 27483.513, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-DCUS"	[0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-NARL"	[0.0, 0.0, 0.0, 0.0, 0.0, 23921.867, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-NARX"	[0.0, 0.0, 0.0, 0.0, 0.0, 134156.426, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-PHOP"	[0.0, 0.0, 0.0, 0.0, 0.0, 25525.239, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-PHOQ"	[0.0, 0.0, 0.0, 0.0, 0.0, 110577.528, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-PHOB"	[0.0, 0.0, 0.0, 0.0, 0.0, 26425.439, 77.963, 0.0, 0.0]	["c"]
"PHOSPHO-PHOR"	[0.0, 0.0, 0.0, 0.0, 0.0, 99217.306, 77.963, 0.0, 0.0]	["i"]
"PHOSPHO-ARCB-OXYGEN-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 175899.976, 109.961, 0.0, 0.0]	["i"]
"PHOSPHO-BAES-INDOLE-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 51991.529, 195.114, 0.0, 0.0]	["i"]
"PHOSPHO-BAES-TUNGSTATE-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 51991.529, 326.807, 0.0, 0.0]	["i"]
"PHOSPHO-BAES-CPD-520-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 51991.529, 379.193, 0.0, 0.0]	["i"]
"PHOSPHO-BAES-CPD-183-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 51991.529, 247.075, 0.0, 0.0]	["i"]
"PHOSPHO-BASS-FE+3-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 41022.360, 133.808, 0.0, 0.0]	["i"]
"PHOSPHO-DCUS-SUC-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 194.035, 0.0, 0.0]	["i"]
"PHOSPHO-DCUS-ACET-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 137.007, 0.0, 0.0]	["i"]
"PHOSPHO-DCUS-FUM-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 192.019, 0.0, 0.0]	["i"]
"PHOSPHO-DCUS-MAL-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 210.034, 0.0, 0.0]	["i"]
"PHOSPHO-NARX-NITRATE-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 134156.426, 139.967, 0.0, 0.0]	["i"]
"PHOSPHO-NARX-NITRITE-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 134156.426, 123.968, 0.0, 0.0]	["i"]
"PHOSPHO-PHOQ-CA+2-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 110577.528, 118.041, 0.0, 0.0]	["i"]
"PHOSPHO-PHOQ-MG+2-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 110577.528, 102.268, 0.0, 0.0]	["i"]
"PHOSPHO-PHOR-Pi-CPLX"	[0.0, 0.0, 0.0, 0.0, 0.0, 99217.306, 173.941, 0.0, 0.0]	["i"]
"RNA0-309"	[0.0, 24573.943, 0.0, 0.0, 0.0, 0.0, 114.168, 0.0, 0.0]	["c"]
"RNA0-310"	[0.0, 24576.895, 0.0, 0.0, 0.0, 0.0, 115.112, 0.0, 0.0]	["c"]
"RNA0-311"	[0.0, 24627.015, 0.0, 0.0, 0.0, 0.0, 100.141, 0.0, 0.0]	["c"]
