expression_rate	direction	right	terminator_id	name	promoter_id	degradation_rate	id	gene_id	left
28.1469099543	r	1823712	[u'SPY-TERMINATOR']	spy	PM-8764	0.0855737259951	TU-8381	[u'G6939']	1823081
68.373280834	r	944780	[u'TERM_WC-2659']	ycaC	PM_WC-363	0.121617361853	TU-8382	[u'EG11241']	944152
22.5020780162	f	2536507	[u'TERM_WC-3162']	yfeKS	PM-8766	0.126026760102	TU-8383	[u'G7260', u'G7261']	2535337
379.273216742	f	2615961	[u'TERM_WC-3181']	yfgCD	PM-8767	0.21004460017	TU-8384	[u'G7311', u'G7312']	2614090
246.663355674	r	2636997	[u'TERM_WC-190']	bamB-der	PM-8768	0.34657359028	TU-8385	[u'G7319', u'G7320']	2633904
5.30652423801	f	3169857	[u'TERM_WC-1756']	qseBC	PM-8770	0.087740149438	TU-8387	[u'EG12658', u'G7575']	3167773
20.3052347351	r	2960529	[u'TERM_WC-1799']	recC	PM-8771	0.121617361853	TU-8388	[u'EG10825']	2957080
1982.91468078	r	925702	[u'TERM1']	infA	PM-8772	0.203866817812	TU-8389	[u'EG10504']	925385
1982.91468078	r	925908	[u'TERM1']	infA	PM-8773	0.203866817812	TU-8390	[u'EG10504']	925385
658.737692235	f	2734907	[u'TERM_WC-191']	bamD	PM-8774	0.364814305558	TU-8391	[u'G7352']	2733983
73.1414136226	r	3037655	[u'TERM_WC-507']	dsbC-recJ-prfB	PM-8775	0.196173730347	TU-8392	[u'EG10762', u'EG10830', u'EG11070']	3033204
106.593713754	f	3201153	[u'TERM_WC-960']	htrG-cca	PM-8776	0.154032706791	TU-8393	[u'EG10136', u'EG12434']	3199064
5.30652423801	f	3169857	[u'TERM_WC-1757']	qseBC	PM-8777	0.087740149438	TU-8394	[u'EG12658', u'G7575']	3167823
326.388304204	f	3295008	[u'TERM_WC-4009']	yraP	PM-8779	0.21004460017	TU-8396	[u'G7644']	3294094
215.89644273	r	3326875	[u'TERM0-1134']	greA	PM-8780	0.157533450127	TU-8397	[u'EG10415']	3326828
684.33428376	f	3345993	[u'TERM_WC-1175']	lptB-rpoN-hpf-ptsN-yhbJ	PM-8781	0.197973293534	TU-8398	[u'EG10898', u'EG11680', u'EG11681', u'EG11682', u'EG12146']	3341418
208.600269208	f	1986571	[u'TERM_WC-2994']	yecR	PM-8784	0.115524530093	TU-8399	[u'G7035']	1986224
42.3512927322	r	2287198	[u'TERM_WC-3085']	yejO	PM-8786	0.138629436112	TU-8401	[u'EG12051']	2284410
79.1193295482	r	1964240	[u'TERM_WC-658']	flhBAE	PM-8790	0.0892464180978	TU-8405	[u'G370', u'G7027', u'G7028']	1960602
230.890561479	r	1143951	[u'TERM_WC-1889']	rne	PM0-9361	0.121617361853	TU-8407	[u'EG10859']	1140403
299.889321684	r	2011060	[u'TERM_WC-665']	fliE	PM-8794	0.0805985093674	TU-8408	[u'EG11346']	2010722
172.076081532	f	2017539	[u'TERM_WC-667']	fliFGHIJK	PM-8797	0.0743986240315	TU-8411	[u'EG11347', u'EG11654', u'EG11656', u'G377', u'G378', u'G379']	2011170
145.882726251	r	687119	[u'TERM_WC-813']	gltIJKL-sroC	PM-8798	0.0990210257943	TU-8412	[u'EG12661', u'EG12662', u'EG12663', u'G0-9383', u'G6359']	683751
145.282547221	r	3548421	[u'TERM_WC-1211']	malQ	PM-8800	0.655843929312	TU-8414	[u'EG10561']	3546006
107.451910896	r	3680039	[u'TERM_WC-3482']	yhjJ	PM-8803	0.117482572976	TU-8417	[u'EG12254']	3678465
37.3568717684	f	3893243	[u'TERM_WC-3551']	yieEF	PM-8805	0.107464679157	TU-8419	[u'EG11722', u'EG11723']	3891852
148.147441344	r	4254621	[u'TERM_WC-1631']	plsB	PM-8807	0.182407152779	TU-8421	[u'EG10740']	4252064
19.8752580119	f	577793	[u'TERM_WC-588']	essD-ybcS-rzpD	PM-8808	0.110608592643	TU-8422	[u'G6309', u'G6310', u'G6311']	576096
215.793381939	f	1074105	[u'TERM_WC-1984']	rutR	PM-8809	0.119508134579	TU-8423	[u'EG12301']	1073357
9.25983919606	r	1536711	[u'TERM_WC-1442']	narWV	PM-8813	0.101189369425	TU-8427	[u'EG10644', u'EG10645']	1533959
34.3899383738	f	1722159	[u'TERM_WC-2891']	ydhIJK	PM-8814	0.134157518818	TU-8428	[u'G6883', u'G6884', u'G6885']	1719022
0.0	f	1731764	[u'TERM0-1171']	lhr	PM-8816	0.177730046297	TU-8430	[u'EG11548']	1726377
45.2927379015	f	2765379	[u'TERM_WC-1899']	rnlB	PM-8817	0.121617361853	TU-8431	[u'G7366']	2764729
40.7138018329	r	3453656	[u'TERM_WC-865']	gspAB	PM-8819	0.11090354889	TU-8433	[u'EG11263', u'G7701']	3451528
16.9406530041	r	3834687	[u'TERM_WC-3529']	yicJI	PM-8820	0.0679556059372	TU-8434	[u'EG11685', u'EG11686']	3830240
0.0	f	640543	[u'TERM_WC-56']	ahpF	PM-8821	0.277258872224	TU-8435	[u'EG11385']	638225
227.563930045	f	1985454	[u'TERM_WC-708']	ftnB	PM-8824	0.126026760102	TU-8438	[u'G7033']	1984799
92.7133864512	f	3043125	[u'TERM_WC-214']	bglA	PM_WC-25	0.0990210257943	TU-8439	[u'G495']	3041684
22.0103936136	r	4430032	[u'TERM_WC-4035']	ytfE	PM-8827	0.0990210257943	TU-8441	[u'G7866']	4429342
34.0643331069	r	2854850	[u'TERM_WC-3241']	ygbA	PM-8829	0.128360588993	TU-8443	[u'EG11287']	2854473
