EG10001	4263805..4264884
EG10002	795085..795774
EG10003	2529485..2530246
EG10004	3810754..3811974
EG10006	(complement(4346767..4345427))
EG10007	(complement(2423255..2422539))
EG10008	4199949..4201346
EG10010	1525914..1527962
EG10011	(complement(6459..5683))
EG10012	(complement(928418..926697))
EG10013	(complement(1939659..1938337))
EG10014	2585617..2588730
EG10015	(complement(2640866..2639853))
EG10016	(complement(3271579..3270809))
EG10017	3331732..3332703
EG10018	(complement(3401354..3399414))
EG10020	(complement(4103693..4102995))
EG10021	(complement(4586888..4585932))
EG10022	4215132..4216436
EG10023	4213501..4215102
EG10024	123017..125680
EG10025	125695..127587
EG10026	4216619..4218355
EG10027	2411492..2412694
EG10028	(complement(950303..949563))
EG10029	(complement(2308427..2307363))
EG10030	1700257..1701258
EG10031	(complement(1297344..1294669))
EG10032	496399..497043
EG10033	1064808..1066049
EG10034	(complement(2820033..2817403))
EG10035	1486256..1487695
EG10036	1360767..1362254
EG10037	(complement(2307363..2306713))
EG10039	2053085..2054539
EG10040	(complement(4376967..4375834))
EG10041	118733..119284
EG10042	119281..120135
EG10043	4434778..4435518
EG10044	(complement(1820280..1819942))
EG10045	1848884..1849900
EG10046	(complement(3098750..3097704))
EG10047	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10047 apaG ""EG10047-MONOMER"" (complement(51606..51229))"
EG10048	(complement(51222..50380))
EG10049	1039840..1041138
EG10050	582904..583653
EG10051	490636..491187
EG10052	(complement(68337..66835))
EG10053	(complement(70048..68348))
EG10054	70387..71265
EG10055	(complement(66550..65855))
EG10056	(complement(2980204..2978786))
EG10057	(complement(1984152..1983163))
EG10058	(complement(1983093..1981579))
EG10059	(complement(1981567..1980578))
EG10060	(complement(411705..410521))
EG10061	(complement(4638329..4637613))
EG10062	(complement(3351047..3348711))
EG10063	2947264..2948595
EG10064	4154039..4154812
EG10065	4153024..4154028
EG10066	(complement(3488202..3486982))
EG10067	(complement(289529..288525))
EG10068	3316659..3318002
EG10069	(complement(4476334..4475330))
EG10070	3382725..3383195
EG10071	1958086..1959819
EG10072	(complement(2425813..2425031))
EG10073	958035..959318
EG10074	(complement(3516508..3515420))
EG10075	(complement(2445495..2444410))
EG10076	1772710..1773468
EG10077	(complement(3428860..3428042))
EG10078	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10078 aroF ""AROF-MONOMER"" (complement(2739172..2738102))"
EG10079	784856..785908
EG10080	1786459..1787505
EG10081	(complement(3517086..3516565))
EG10082	405629..406153
EG10083	406652..407329
EG10084	(complement(121551..120178))
EG10085	2839012..2840436
EG10086	2837546..2839003
EG10087	(complement(2837286..2836276))
EG10088	(complement(3572901..3571798))
EG10089	(complement(3984030..3982375))
EG10090	3980981..3982216
EG10091	3925178..3926170
EG10092	(complement(698400..696736))
EG10093	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10093 asnC ""PD00250"" (complement(3925026..3924568))"
EG10094	(complement(988208..986808))
EG10095	(complement(4366350..4364914))
EG10096	(complement(984932..983742))
EG10097	(complement(1948546..1946774))
EG10098	(complement(3917880..3916339))
EG10099	(complement(3920074..3919259))
EG10100	(complement(3913995..3913576))
EG10101	(complement(3915398..3914016))
EG10102	(complement(3919212..3918973))
EG10103	(complement(3918911..3918441))
EG10104	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10104 atpG ""ATPG-MONOMER"" (complement(3916288..3915425))"
EG10105	(complement(3918426..3917893))
EG10106	(complement(3920463..3920083))
EG10107	3737728..3738981
EG10108	2598500..2598970
EG10109	(complement(326471..324801))
EG10110	(complement(327957..326485))
EG10111	(complement(328558..327971))
EG10112	328687..330720
EG10113	(complement(3464747..3464271))
EG10114	(complement(3901724..3900312))
EG10115	(complement(3903620..3901743))
EG10116	(complement(3904590..3903754))
EG10117	(complement(808480..807191))
EG10118	808567..809607
EG10119	810745..811500
EG10120	811493..812170
EG10121	809604..810758
EG10122	(complement(3542866..3542096))
EG10123	4171105..4172070
EG10124	(complement(3714417..3712084))
EG10125	453696..454013
EG10126	4161662..4163506
EG10127	(complement(1793176..1792196))
EG10128	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10128 btuD ""BTUD-MONOMER"" (complement(1791582..1790833))"
EG10129	(complement(1792133..1791582))
EG10130	(complement(1326381..1325791))
EG10131	(complement(4356640..4354493))
EG10132	(complement(4358054..4356720))
EG10133	(complement(4359957..4358419))
EG10134	29651..30799
EG10135	30817..34038
EG10136	3199913..3201151
EG10137	2229866..2230750
EG10138	4107953..4108708
EG10139	195677..196534
EG10140	(complement(1819643..1819323))
EG10141	(complement(1819238..1817880))
EG10142	(complement(1817829..1817479))
EG10143	(complement(1817471..1816629))
EG10144	(complement(1816524..1815172))
EG10145	4636201..4637553
EG10146	(complement(1973348..1971384))
EG10146	(complement(1973348..1971384))
EG10147	(complement(1966525..1965476))
EG10148	(complement(1967388..1966528))
EG10149	(complement(1971363..1970860))
EG10150	(complement(1965461..1965072))
EG10151	(complement(1965061..1964417))
EG10152	795777..796835
EG10153	(complement(865587..864352))
EG10154	(complement(864352..863603))
EG10155	(complement(2244791..2242800))
EG10156	922487..924763
EG10157	(complement(2732195..2729622))
EG10158	455901..456524
EG10159	456650..457924
EG10160	(complement(4434588..4432645))
EG10161	(complement(2122544..2121108))
EG10162	(complement(2121003..2119633))
EG10163	(complement(4102998..4101625))
EG10164	3484142..3484774
EG10165	2533856..2534365
EG10166	3718072..3718284
EG10167	629117..631222
EG10168	(complement(690104..688566))
EG10169	(complement(2428785..2428297))
EG10170	3989176..3991722
EG10172	1488926..1489456
EG10173	770681..772249
EG10174	772265..773404
EG10175	358713..359183
EG10176	358023..358682
EG10177	359216..360370
EG10178	(complement(450834..449887))
EG10179	(complement(449865..447874))
EG10180	(complement(447884..447270))
EG10181	(complement(447270..446941))
EG10182	(complement(446929..446039))
EG10183	(complement(2538836..2537739))
EG10184	1331879..1332853
EG10185	(complement(2872014..2871409))
EG10186	(complement(2874351..2873443))
EG10187	(complement(3780585..3779764))
EG10188	3495850..3497223
EG10189	(complement(2886334..2885600))
EG10190	(complement(2888121..2886409))
EG10191	(complement(2889920..2888121))
EG10192	2530431..2531402
EG10193	(complement(2537605..2536694))
EG10194	(complement(2873441..2872014))
EG10195	(complement(2541550..2540534))
EG10196	553834..555219
EG10197	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10197 cysU ""CYST-MONOMER"" (complement(2540534..2539701))"
EG10198	(complement(2539701..2538826))
EG10200	(complement(4122479..4121454))
EG10201	(complement(663186..661975))
EG10202	3326985..3328418
EG10203	879950..881152
EG10204	(complement(3513935..3513099))
EG10205	(complement(2597782..2596904))
EG10206	28374..29195
EG10207	(complement(185947..185123))
EG10208	2589629..2590756
EG10209	3992785..3993609
EG10210	1407535..1408908
EG10211	(complement(2030341..2028923))
EG10212	(complement(1625404..1623359))
EG10213	(complement(400147..399053))
EG10214	102233..103153
EG10215	(complement(3305882..3303993))
EG10216	(complement(2432763..2432104))
EG10217	(complement(2431948..2431034))
EG10218	(complement(2429706..2429044))
EG10219	4616252..4617574
EG10220	4617626..4618849
EG10221	4615346..4616125
EG10222	4618906..4619625
EG10223	(complement(881957..881199))
EG10224	4254660..4255028
EG10225	179237..180754
EG10226	1645958..1646365
EG10227	1647633..1647821
EG10228	(complement(1645874..1645644))
EG10229	2435972..2436967
EG10230	(complement(160604..160149))
EG10231	2220207..2221922
EG10232	940182..942626
EG10233	942637..943254
EG10234	943256..944119
EG10235	(complement(3881752..3880349))
EG10236	4262337..4263752
EG10237	(complement(4598998..4598261))
EG10238	205126..208608
EG10239	3209129..3210874
EG10240	14168..15298
EG10241	12163..14079
EG10242	(complement(3880344..3879244))
EG10243	236067..236798
EG10244	(complement(4599540..4599001))
EG10245	join(491316..492599,492599..492610)
EG10245	join(491316..492599,492599..492610)
EG10246	(complement(233955..232597))
EG10247	(complement(2699020..2698640))
EG10248	(complement(3705728..3704121))
EG10249	2477224..2478552
EG10250	2475869..2477206
EG10251	3811955..3812410
EG10252	3220655..3223747
EG10253	3223744..3224193
EG10254	3219488..3220471
EG10255	2301927..2302415
EG10256	(complement(1930780..1930139))
EG10257	(complement(1932628..1930817))
EG10258	(complement(2905963..2904665))
EG10259	627774..628520
EG10260	626917..627774
EG10261	624108..625283
EG10262	(complement(609302..608682))
EG10263	625293..626903
EG10264	613380..617261
EG10265	106557..107474
EG10266	3411886..3413043
EG10267	3413055..3416159
EG10268	(complement(586131..585370))
EG10269	(complement(3533890..3532538))
EG10270	(complement(2701408..2700503))
EG10271	(complement(3150006..3149272))
EG10272	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10272 exbD ""EG10272-MONOMER"" (complement(3149265..3148840))"
EG10273	(complement(1015693..1015175))
EG10274	(complement(2439627..2438407))
EG10275	3403458..3403928
EG10276	3403939..3405288
EG10277	1147982..1148935
EG10278	(complement(4026795..4025632))
EG10279	(complement(4028994..4026805))
EG10280	2459322..2460668
EG10281	1234161..1234880
EG10282	(complement(3069266..3068187))
EG10283	(complement(4453632..4452634))
EG10284	(complement(4079251..4078322))
EG10285	(complement(4297389..4295242))
EG10286	(complement(4514700..4512376))
