"Object ID"	"Protein-Complexes"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"G6912-MONOMER"	G6912-MONOMER	"MenI" // "YdiI"	14.945
"NAPHTHOATE-SYN-MONOMER"	NAPHTHOATE-SYN-MONOMER	"MenB"	31.633
"DXPREDISOM-MONOMER"	DXPREDISOM-MONOMER	"YaeM" // "IspC" // "Dxr"	43.388 // 42.0
"DXS-MONOMER"	DXS-MONOMER	"YajP" // "Dxs"	67.617 // 65.0
"EG11081-MONOMER"	EG11081-MONOMER	"YaaE" // "LytB" // "IspH"	34.775
"1-PFK-MONOMER"	1-PFK-MONOMER	"Fpk" // "FruF" // "FruK"	33.756 // 34.0
"G7641-MONOMER"	G7641-MONOMER	"RsmI" // "YraL" // "ribosomal RNA small subunit methyltransferase I"	31.348
"EG12366-MONOMER"	EG12366-MONOMER	"YggJ" // "RsmE"	26.978
"EG11085-MONOMER"	EG11085-MONOMER	"RsmH" // "YabC" // "MraW"	34.878 // 35.0
"GPMA-MONOMER"	GPMA-MONOMER	"Gpm" // "GpmA"	28.556 // 27.0
"G7490-MONOMER"	G7490-MONOMER	"YgeX"	43.328 // 43
"ENTA-MONOMER"	ENTA-MONOMER	"EntA"	26.25 // 26
"ENTE-MONOMER"	ENTE-MONOMER	"EntE"	59.112 // 58.0
"EG12279-MONOMER"	EG12279-MONOMER	"YiaK"	36.573
"TRANS-CPLX-203"	TRANS-CPLX-203	"YiaMNO binding protein-dependent secondary (TRAP) transporter"	
"AKBLIG-MONOMER"	AKBLIG-MONOMER	"Kbl"	43.117 // 42.0
"EG11870-MONOMER"	EG11870-MONOMER	"YiiM" // "protein involved in base analog detoxification"	25.343
"EG11816-MONOMER"	EG11816-MONOMER	"YgbB" // "IspF"	16.898 // 17
"G7423-MONOMER"	G7423-MONOMER	"YgbP" // "IspD" // "4-diphosphocytidyl-2C-methyl-D-erythritol synthase"	25.737 // 26
"MHPCHYDROL-MONOMER"	MHPCHYDROL-MONOMER	"MhpC"	31.937 // 29.0
"G6721-MONOMER"	G6721-MONOMER	"YdbZ" // "PaaY"	21.325
"MHPDHYDROL-MONOMER"	MHPDHYDROL-MONOMER	"MhpS" // "MhpD"	28.89 // 28.0
"G7158-MONOMER"	G7158-MONOMER	"YfaU"	28.916
"G6198-MONOMER"	G6198-MONOMER	"YahS" // "YzzD" // "PrpC"	43.102 // 43.0
"G6196-MONOMER"	G6196-MONOMER	"YahQ" // "PrpB"	32.135 // 32.0
"2OXOGLUTARATEDEH-CPLX"	2OXOGLUTARATEDEH-CPLX	"OGDH"	
"MEND-MONOMER"	MEND-MONOMER	"MenD"	61.367 // 61
"G7845-MONOMER"	G7845-MONOMER	"RlmB" // "YjfH"	26.557
"EG11254-MONOMER"	EG11254-MONOMER	"YbeA" // "RlmH"	17.341
"G6501-MONOMER"	G6501-MONOMER	"YccW" // "RlmI"	44.357
"DIOHBUTANONEPSYN-MONOMER"	DIOHBUTANONEPSYN-MONOMER	"LuxH" // "HtrP" // "RibB"	23.353 // 23.4
"DHPDIOXYGEN-MONOMER"	DHPDIOXYGEN-MONOMER	"MhpB" // "2,3-dihydroxyphenylpropionate/2,3-dihydroxycinnamate 1,2-dioxygenase"	34.196 // 36.0
"AROD-MONOMER"	AROD-MONOMER	"AroD"	27.467 // 29.0
"AROG-MONOMER"	AROG-MONOMER	"AroG" // "2-dehydro-3-deoxyphosphoheptonate aldolase"	38.009 // 35.0
"AROH-MONOMER"	AROH-MONOMER	"2-dehydro-3-deoxyphosphoheptonate aldolase" // "AroH"	38.735 // 39.0
"AROF-MONOMER"	AROF-MONOMER	"AroF" // "2-dehydro-3-deoxyphosphoheptonate aldolase"	38.804 // 39.0
"G7663-MONOMER"	G7663-MONOMER	"YrbJ" // "KdsC" // "YrbI"	19.997
"KDO-8PSYNTH-MONOMER"	KDO-8PSYNTH-MONOMER	"KdsA"	30.833 // 30
"EG12345-MONOMER"	EG12345-MONOMER	"YdfG"	27.249 // 27
"G6804-MONOMER"	G6804-MONOMER	"LsrF" // "YneB"	31.893
"FABZ-MONOMER"	FABZ-MONOMER	"YaeA" // "SefA" // "FabZ"	17.033 // 17
"3-ISOPROPYLMALISOM-CPLX"	3-ISOPROPYLMALISOM-CPLX	"isopropylmalate isomerase" // "&alpha;-isopropylmalate isomerase" // "&alpha;-IPM isomerase" // "IPMI" // "3-isopropylmalate isomerase" // "3-carboxy-3-hydroxy-isocaproate isomerase"	
"3-ISOPROPYLMALDEHYDROG-MONOMER"	3-ISOPROPYLMALDEHYDROG-MONOMER	"LeuB"	39.517
"G7858-MONOMER"	G7858-MONOMER	"YjfV" // "SgaH" // "UlaD"	23.578
"FADA-MONOMER"	FADA-MONOMER	"OldA" // "FadA"	40.876
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	"PanB"	28.237 // 28.2
"EG11396-MONOMER"	EG11396-MONOMER	"YigY" // "YigC" // "UbiD"	55.604
"3-OXOACYL-ACP-REDUCT-MONOMER"	3-OXOACYL-ACP-REDUCT-MONOMER	"FabG" // "3-oxoacyl-[acyl-carrier-protein] reductase subunit"	25.56
"EG11847-MONOMER"	EG11847-MONOMER	"SquU" // "YihU"	31.158
"EG11294-MONOMER"	EG11294-MONOMER	"Ipk" // "YchB" // "IspE"	30.925 // 31
"PABASYN-CPLX"	PABASYN-CPLX		
"GABATRANSAM-MONOMER"	GABATRANSAM-MONOMER	"GabT"	45.775 // 43.0
"DIHYDROPICRED-MONOMER"	DIHYDROPICRED-MONOMER	"DapB" // "DHPR" // "dihydrodipicolinate reductase"	28.757 // 28.0
"DIHYDRODIPICSYN-MONOMER"	DIHYDRODIPICSYN-MONOMER	"DapA" // "DHDPS" // "dihydrodipicolinate synthase"	31.27 // 32.0
"PDXA-MONOMER"	PDXA-MONOMER	"PdxA"	35.114 // 35.1
